Date and time:,2020-12-01 16:07:25
Notes:

Chronoamperometry: CA I vs t
Date and time measurement:,2020-11-30 12:27:02,
s,µA
0.00000E+000,2.04194E-003
1.00000E-002,2.04613E-002
2.00000E-002,1.40837E-001
3.00000E-002,1.37843E-001
4.00000E-002,1.37361E-001
5.00000E-002,1.36868E-001
6.00000E-002,1.37074E-001
7.00000E-002,1.37174E-001
8.00000E-002,1.35699E-001
9.00000E-002,1.52787E-001
1.00000E-001,1.45812E-001
1.10000E-001,1.46443E-001
1.20000E-001,1.44849E-001
1.30000E-001,1.47343E-001
1.40000E-001,1.45243E-001
1.50000E-001,1.46443E-001
1.60000E-001,1.45649E-001
1.70000E-001,1.45218E-001
1.80000E-001,1.46080E-001
1.90000E-001,1.45987E-001
2.00000E-001,1.44612E-001
2.10000E-001,1.45799E-001
2.20000E-001,1.44480E-001
2.30000E-001,1.45649E-001
2.40000E-001,1.45674E-001
2.50000E-001,1.44687E-001
2.60000E-001,1.45487E-001
2.70000E-001,1.42830E-001
2.80000E-001,1.43112E-001
2.90000E-001,1.43874E-001
3.00000E-001,1.44487E-001
3.10000E-001,1.45055E-001
3.20000E-001,1.45474E-001
3.30000E-001,1.46099E-001
3.40000E-001,1.44755E-001
3.50000E-001,1.44912E-001
3.60000E-001,1.43937E-001
3.70000E-001,1.44493E-001
3.80000E-001,1.44655E-001
3.90000E-001,1.43124E-001
4.00000E-001,1.44112E-001
4.10000E-001,1.45299E-001
4.20000E-001,1.44943E-001
4.30000E-001,1.44568E-001
4.40000E-001,1.44362E-001
4.50000E-001,1.44180E-001
4.60000E-001,1.44618E-001
4.70000E-001,1.43930E-001
4.80000E-001,1.44999E-001
4.90000E-001,1.45487E-001
5.00000E-001,1.43974E-001
5.10000E-001,1.43493E-001
5.20000E-001,1.47424E-001
5.30000E-001,1.47737E-001
5.40000E-001,1.46855E-001
5.50000E-001,1.44605E-001
5.60000E-001,1.44793E-001
5.70000E-001,1.44324E-001
5.80000E-001,1.44212E-001
5.90000E-001,1.44830E-001
6.00000E-001,1.44505E-001
6.10000E-001,1.45187E-001
6.20000E-001,1.45574E-001
6.30000E-001,1.43749E-001
6.40000E-001,1.45187E-001
6.50000E-001,1.43480E-001
6.60000E-001,1.46137E-001
6.70000E-001,1.45768E-001
6.80000E-001,1.44568E-001
6.90000E-001,1.44899E-001
7.00000E-001,1.44030E-001
7.10000E-001,1.44562E-001
7.20000E-001,1.45749E-001
7.30000E-001,1.44887E-001
7.40000E-001,1.45212E-001
7.50000E-001,1.43737E-001
7.60000E-001,1.46893E-001
7.70000E-001,1.45874E-001
7.80000E-001,1.45012E-001
7.90000E-001,1.44862E-001
8.00000E-001,1.45668E-001
8.10000E-001,1.45305E-001
8.20000E-001,1.45568E-001
8.30000E-001,1.44655E-001
8.40000E-001,1.43068E-001
8.50000E-001,1.43762E-001
8.60000E-001,1.43693E-001
8.70000E-001,1.44780E-001
8.80000E-001,1.44187E-001
8.90000E-001,1.43312E-001
9.00000E-001,1.44199E-001
9.10000E-001,1.44649E-001
9.20000E-001,1.44812E-001
9.30000E-001,1.44837E-001
9.40000E-001,1.43555E-001
9.50000E-001,1.43318E-001
9.60000E-001,1.44368E-001
9.70000E-001,1.45224E-001
9.80000E-001,1.44643E-001
9.90000E-001,1.45205E-001
1.00000E+000,1.44624E-001
1.01000E+000,1.45974E-001
1.02000E+000,1.45218E-001
1.03000E+000,1.45899E-001
1.04000E+000,1.45743E-001
1.05000E+000,1.45862E-001
1.06000E+000,1.46699E-001
1.07000E+000,1.45705E-001
1.08000E+000,1.46487E-001
1.09000E+000,1.46680E-001
1.10000E+000,1.46437E-001
1.11000E+000,1.46474E-001
1.12000E+000,1.46674E-001
1.13000E+000,1.46168E-001
1.14000E+000,1.45055E-001
1.15000E+000,1.44255E-001
1.16000E+000,1.45874E-001
1.17000E+000,1.45074E-001
1.18000E+000,1.45637E-001
1.19000E+000,1.46318E-001
1.20000E+000,1.44887E-001
1.21000E+000,1.45268E-001
1.22000E+000,1.44368E-001
1.23000E+000,1.44674E-001
1.24000E+000,1.43762E-001
1.25000E+000,1.45262E-001
1.26000E+000,1.44674E-001
1.27000E+000,1.44112E-001
1.28000E+000,1.43749E-001
1.29000E+000,1.45205E-001
1.30000E+000,1.44330E-001
1.31000E+000,1.44937E-001
1.32000E+000,1.44599E-001
1.33000E+000,1.44237E-001
1.34000E+000,1.44162E-001
1.35000E+000,1.42243E-001
1.36000E+000,1.44230E-001
1.37000E+000,1.43174E-001
1.38000E+000,1.58662E-001
1.39000E+000,1.58284E-001
1.40000E+000,1.58221E-001
1.41000E+000,1.60221E-001
1.42000E+000,1.57159E-001
1.43000E+000,1.56096E-001
1.44000E+000,1.55471E-001
1.45000E+000,1.43846E-001
1.46000E+000,1.43909E-001
1.47000E+000,1.45783E-001
1.48000E+000,1.43909E-001
1.49000E+000,1.42846E-001
1.50000E+000,1.42658E-001
1.51000E+000,1.44783E-001
1.52000E+000,1.44471E-001
1.53000E+000,1.44158E-001
1.54000E+000,1.44846E-001
1.55000E+000,1.44096E-001
1.56000E+000,1.44533E-001
1.57000E+000,1.44221E-001
1.58000E+000,1.44721E-001
1.59000E+000,1.44783E-001
1.60000E+000,1.44596E-001
1.61000E+000,1.44408E-001
1.62000E+000,1.45783E-001
1.63000E+000,1.44596E-001
1.64000E+000,1.46409E-001
1.65000E+000,1.44596E-001
1.66000E+000,1.44721E-001
1.67000E+000,1.45283E-001
1.68000E+000,1.44658E-001
1.69000E+000,1.45721E-001
1.70000E+000,1.46909E-001
1.71000E+000,1.47659E-001
1.72000E+000,1.48471E-001
1.73000E+000,1.47908E-001
1.74000E+000,1.46846E-001
1.75000E+000,1.46909E-001
1.76000E+000,1.47471E-001
1.77000E+000,1.45846E-001
1.78000E+000,1.48721E-001
1.79000E+000,1.47408E-001
1.80000E+000,1.46221E-001
1.81000E+000,1.46721E-001
1.82000E+000,1.46846E-001
1.83000E+000,1.45596E-001
1.84000E+000,1.45471E-001
1.85000E+000,1.46471E-001
1.86000E+000,1.46471E-001
1.87000E+000,1.44971E-001
1.88000E+000,1.45221E-001
1.89000E+000,1.47096E-001
1.90000E+000,1.47784E-001
1.91000E+000,1.47408E-001
1.92000E+000,1.45408E-001
1.93000E+000,1.48096E-001
1.94000E+000,1.47846E-001
1.95000E+000,1.48596E-001
1.96000E+000,1.48221E-001
1.97000E+000,1.46283E-001
1.98000E+000,1.48221E-001
1.99000E+000,1.47284E-001
2.00000E+000,1.47221E-001
2.01000E+000,1.47221E-001
2.02000E+000,1.46283E-001
2.03000E+000,1.47533E-001
2.04000E+000,1.44408E-001
2.05000E+000,1.44971E-001
2.06000E+000,1.43533E-001
2.07000E+000,1.45096E-001
2.08000E+000,1.45971E-001
2.09000E+000,1.46096E-001
2.10000E+000,1.45534E-001
2.11000E+000,1.45971E-001
2.12000E+000,1.43346E-001
2.13000E+000,1.45408E-001
2.14000E+000,1.46846E-001
2.15000E+000,1.49096E-001
2.16000E+000,1.46721E-001
2.17000E+000,1.44658E-001
2.18000E+000,1.46909E-001
2.19000E+000,1.46471E-001
2.20000E+000,1.46784E-001
2.21000E+000,1.48221E-001
2.22000E+000,1.46909E-001
2.23000E+000,1.46158E-001
2.24000E+000,1.46596E-001
2.25000E+000,1.46784E-001
2.26000E+000,1.46409E-001
2.27000E+000,1.46846E-001
2.28000E+000,1.47096E-001
2.29000E+000,1.46909E-001
2.30000E+000,1.46533E-001
2.31000E+000,1.46909E-001
