Date and time:,2020-12-01 16:20:08
Notes:

Chronoamperometry: CA I vs t
Date and time measurement:,2020-11-30 10:42:58,
s,µA
0.00000E+000,1.31564E-003
1.00000E-002,8.71897E-004
2.00000E-002,8.40640E-004
3.00000E-002,6.40631E-004
4.00000E-002,5.28121E-004
5.00000E-002,5.25944E-004
6.00000E-002,3.49693E-004
7.00000E-002,4.37820E-004
8.00000E-002,3.28443E-004
9.00000E-002,3.17817E-004
1.00000E-001,3.67818E-004
1.10000E-001,2.30035E-004
1.20000E-001,3.40911E-004
1.30000E-001,2.21472E-004
1.40000E-001,2.57285E-004
1.50000E-001,2.76536E-004
1.60000E-001,1.68284E-004
1.70000E-001,2.89536E-004
1.80000E-001,1.68221E-004
1.90000E-001,2.12159E-004
2.00000E-001,2.33160E-004
2.10000E-001,1.35721E-004
2.20000E-001,2.53223E-004
2.30000E-001,1.46096E-004
2.40000E-001,1.95347E-004
2.50000E-001,2.06534E-004
2.60000E-001,1.14158E-004
2.70000E-001,2.27597E-004
2.80000E-001,1.23971E-004
2.90000E-001,1.76721E-004
3.00000E-001,1.92347E-004
3.10000E-001,1.03095E-004
3.20000E-001,2.13347E-004
3.30000E-001,1.11970E-004
3.40000E-001,1.57096E-004
3.50000E-001,1.82221E-004
3.60000E-001,7.49698E-005
3.70000E-001,2.07160E-004
3.80000E-001,9.65953E-005
3.90000E-001,1.47846E-004
4.00000E-001,1.76721E-004
4.10000E-001,7.62198E-005
4.20000E-001,2.10660E-004
4.30000E-001,9.12826E-005
4.40000E-001,1.39721E-004
4.50000E-001,1.50409E-004
4.60000E-001,7.31573E-005
4.70000E-001,1.90972E-004
4.80000E-001,8.73451E-005
4.90000E-001,1.38221E-004
5.00000E-001,1.58846E-004
5.10000E-001,6.35948E-005
5.20000E-001,1.78346E-004
5.30000E-001,7.84075E-005
5.40000E-001,1.21971E-004
5.50000E-001,1.56596E-004
5.60000E-001,6.13446E-005
5.70000E-001,1.81221E-004
5.80000E-001,6.87823E-005
5.90000E-001,1.26596E-004
6.00000E-001,1.44658E-004
6.10000E-001,5.33445E-005
6.20000E-001,1.74596E-004
6.30000E-001,6.47821E-005
6.40000E-001,1.29971E-004
6.50000E-001,1.40908E-004
6.60000E-001,5.92196E-005
6.70000E-001,1.72409E-004
6.80000E-001,6.20947E-005
6.90000E-001,1.21158E-004
7.00000E-001,1.30408E-004
7.10000E-001,4.59695E-005
7.20000E-001,1.72034E-004
7.30000E-001,6.29697E-005
7.40000E-001,1.12596E-004
7.50000E-001,1.32596E-004
7.60000E-001,4.64070E-005
7.70000E-001,1.65409E-004
7.80000E-001,5.89070E-005
7.90000E-001,1.14970E-004
8.00000E-001,1.32408E-004
8.10000E-001,4.24068E-005
8.20000E-001,1.63534E-004
8.30000E-001,5.36571E-005
8.40000E-001,1.13220E-004
8.50000E-001,1.25033E-004
8.60000E-001,3.65317E-005
8.70000E-001,1.63346E-004
8.80000E-001,5.34697E-005
8.90000E-001,1.12970E-004
9.00000E-001,1.24596E-004
9.10000E-001,4.13444E-005
9.20000E-001,1.57159E-004
9.30000E-001,4.80320E-005
9.40000E-001,1.01720E-004
9.50000E-001,1.26158E-004
9.60000E-001,3.87194E-005
9.70000E-001,1.71909E-004
9.80000E-001,5.19695E-005
9.90000E-001,1.04783E-004
1.00000E+000,1.15283E-004
1.01000E+000,2.62816E-005
1.02000E+000,1.57034E-004
1.03000E+000,3.69067E-005
1.04000E+000,1.10595E-004
1.05000E+000,1.27596E-004
1.06000E+000,3.50318E-005
1.07000E+000,1.64346E-004
1.08000E+000,4.12819E-005
1.09000E+000,1.06970E-004
1.10000E+000,1.14783E-004
1.11000E+000,2.97191E-005
1.12000E+000,1.52096E-004
1.13000E+000,3.83444E-005
1.14000E+000,1.09595E-004
1.15000E+000,1.15908E-004
1.16000E+000,3.70944E-005
1.17000E+000,1.53409E-004
1.18000E+000,3.49693E-005
1.19000E+000,9.71577E-005
1.20000E+000,1.15596E-004
1.21000E+000,2.72191E-005
1.22000E+000,1.57221E-004
1.23000E+000,4.74694E-005
1.24000E+000,1.08533E-004
1.25000E+000,1.11658E-004
1.26000E+000,1.87814E-005
1.27000E+000,1.54159E-004
1.28000E+000,3.77193E-005
1.29000E+000,1.00908E-004
1.30000E+000,1.06783E-004
1.31000E+000,2.84066E-005
1.32000E+000,1.50971E-004
1.33000E+000,3.41568E-005
1.34000E+000,1.02470E-004
1.35000E+000,1.13033E-004
1.36000E+000,3.40319E-005
1.37000E+000,1.50096E-004
1.38000E+000,3.85942E-005
1.39000E+000,9.07826E-005
1.40000E+000,1.06908E-004
1.41000E+000,2.03440E-005
1.42000E+000,1.49846E-004
1.43000E+000,3.39692E-005
1.44000E+000,9.99703E-005
1.45000E+000,1.13658E-004
1.46000E+000,2.70941E-005
1.47000E+000,1.52159E-004
1.48000E+000,2.67816E-005
1.49000E+000,1.02408E-004
1.50000E+000,9.57203E-005
1.51000E+000,2.57192E-005
1.52000E+000,1.46846E-004
1.53000E+000,3.54068E-005
1.54000E+000,1.06908E-004
1.55000E+000,1.04408E-004
1.56000E+000,3.15318E-005
1.57000E+000,1.38971E-004
1.58000E+000,2.70941E-005
1.59000E+000,9.23452E-005
1.60000E+000,1.00595E-004
1.61000E+000,2.58441E-005
1.62000E+000,1.50284E-004
1.63000E+000,2.93441E-005
1.64000E+000,1.02533E-004
1.65000E+000,1.06283E-004
1.66000E+000,2.32191E-005
1.67000E+000,1.46034E-004
1.68000E+000,1.66564E-005
1.69000E+000,1.03345E-004
1.70000E+000,9.67827E-005
1.71000E+000,2.78442E-005
1.72000E+000,1.46909E-004
1.73000E+000,2.49066E-005
1.74000E+000,1.00220E-004
1.75000E+000,9.52828E-005
1.76000E+000,2.40316E-005
1.77000E+000,1.42533E-004
1.78000E+000,3.12192E-005
1.79000E+000,1.01533E-004
1.80000E+000,9.74703E-005
1.81000E+000,1.53439E-005
1.82000E+000,1.43721E-004
1.83000E+000,1.97816E-005
1.84000E+000,1.03095E-004
1.85000E+000,9.26576E-005
1.86000E+000,2.35317E-005
1.87000E+000,1.49534E-004
1.88000E+000,1.79689E-005
1.89000E+000,1.04845E-004
1.90000E+000,9.16576E-005
1.91000E+000,3.62818E-005
1.92000E+000,1.41533E-004
1.93000E+000,1.83439E-005
1.94000E+000,9.49078E-005
1.95000E+000,9.08451E-005
1.96000E+000,2.50316E-005
1.97000E+000,1.37033E-004
1.98000E+000,2.02191E-005
1.99000E+000,9.86579E-005
2.00000E+000,9.47201E-005
2.01000E+000,2.12815E-005
2.02000E+000,1.41596E-004
2.03000E+000,2.64692E-005
2.04000E+000,1.03970E-004
2.05000E+000,9.15952E-005
2.06000E+000,1.52814E-005
2.07000E+000,1.36033E-004
2.08000E+000,1.87190E-005
2.09000E+000,9.90953E-005
2.10000E+000,9.05950E-005
2.11000E+000,2.84066E-005
2.12000E+000,1.39908E-004
2.13000E+000,1.70939E-005
2.14000E+000,9.75328E-005
2.15000E+000,8.09076E-005
2.16000E+000,3.01566E-005
2.17000E+000,1.39471E-004
2.18000E+000,2.36566E-005
2.19000E+000,1.01595E-004
2.20000E+000,8.27200E-005
2.21000E+000,2.39692E-005
2.22000E+000,1.36221E-004
2.23000E+000,2.29690E-005
2.24000E+000,9.80952E-005
2.25000E+000,8.85327E-005
2.26000E+000,1.99065E-005
2.27000E+000,1.39346E-004
2.28000E+000,1.77815E-005
2.29000E+000,9.85951E-005
2.30000E+000,8.86576E-005
2.31000E+000,2.28441E-005
