Material,Ensaio,Largura
GP4,01,510.10128
GP4,01,497.44368
GP4,01,501.24096
GP4,02,391.11984
GP4,02,384.79104
GP4,02,396.18288
GP4,03,374.66496
GP4,03,374.66496
GP4,03,384.79104
GP4,04,291.1248
GP4,04,297.4536
GP4,04,297.4536
GP4,05,377.19648
GP4,05,373.3992
GP4,05,374.66496
GP4,06,375.93072
GP4,06,375.93072
GP4,06,374.66496
GP4,07,378.46224
GP4,07,373.3992
GP4,07,375.93072
GP4,08,448.07904
GP4,08,448.07904
GP4,08,451.87632
GP4,09,274.66992
GP4,09,277.20144
GP4,09,278.4672
GP4,10,354.4128
GP4,10,353.14704
GP4,10,362.00736
GP4,11,378.46224
GP4,11,373.3992
GP4,11,380.99376
GP4,12,262.01232
GP4,12,250.62048
GP4,12,248.08896
GP4,13,284.796
GP4,13,286.06176
GP4,13,289.85904
GP4,14,479.72304
GP4,14,482.25456
GP4,14,487.31759999999997
GP4,15,474.66
GP4,15,480.9888
GP4,15,489.84911999999997
GP4,16,388.58832
GP4,16,388.58832
GP4,16,389.85408
GP4,17,377.19648
GP4,17,374.66496
GP4,17,375.93072
GPP11,01,456.93936
GPP11,01,445.54752
GPP11,01,443.016
GPP11,02,334.16064
GPP11,02,325.30032
GPP11,02,326.56608
GPP11,03,360.7416
GPP11,03,356.94432
GPP11,03,358.21008
GPP11,04,358.21008
GPP11,04,356.94432
GPP11,04,356.94432
GPP11,05,337.95792
GPP11,05,325.30032
GPP11,05,332.89488
GPP11,06,359.47584
GPP11,06,353.14704
GPP11,06,353.14704
GPP11,07,443.016
GPP11,07,434.15568
GPP11,07,437.95296
GPP11,08,362.00736
GPP11,08,364.53888
GPP11,08,364.53888
GPP11,09,287.32752
GPP11,09,289.85904
GPP11,09,292.39056
GPP11,10,449.3448
GPP11,10,441.75024
GPP11,10,444.28176
GPP11,11,350.61552
GPP11,11,348.084
GPP11,11,365.80464
GPP11,12,275.93568
GPP11,12,274.66992
GPP11,12,278.4672
GPP11,13,283.53024
GPP11,13,282.26448
GPP11,13,280.99872
GPP11,14,263.27808
GPP11,14,264.54384
GPP11,14,263.27808
GPP11,15,359.47584
GPP11,15,355.67856
GPP11,15,359.47584
GPP11,16,441.75024
GPP11,16,436.6872
GPP11,16,450.61056
PP4,01,491.11487999999997
PP4,01,539.21376
PP4,01,606.29904
PP4,02,856.91952
PP4,02,692.37072
PP4,02,763.25328
PP4,03,510.10128
PP4,03,577.18656
PP4,03,708.8256
PP4,04,337.95792
PP4,04,450.61056
PP4,04,498.70944
PP4,05,737.93808
PP4,05,661.99248
PP4,05,573.38928
PP4,06,807.55488
PP4,06,734.1408
PP4,06,631.61424
PP4,07,579.71808
PP4,07,403.77744
PP4,07,653.13216
PP4,08,422.76384
PP4,08,632.88
PP4,08,336.69216
PU,01,288.59328
PU,01,284.796
PU,01,283.53024
PU,02,353.14704
PU,02,356.94432
PU,02,360.7416
PU,03,277.20144
PU,03,275.93568
PU,03,275.93568
PU,04,431.62416
PU,04,418.96656
PU,04,425.29536
PU,05,351.88128
PU,05,348.084
PU,05,353.14704
PU,06,345.55248
PU,06,349.34976
PU,06,358.21008
PU,07,350.61552
PU,07,350.61552
PU,07,362.00736
PU,08,354.4128
PU,08,354.4128
PU,08,359.47584
PU,09,446.81328
PU,09,432.88992
PU,09,432.88992
PU,10,288.59328
PU,10,280.99872
PU,10,282.26448
PU,11,351.88128
PU,11,345.55248
PU,11,344.28672
PU,12,349.34976
PU,12,343.02096
PU,12,344.28672
PU,13,279.73296
PU,13,278.4672
PU,13,277.20144
PU,14,429.09264
PU,14,427.82688
PU,14,435.42144
PU,15,422.76384
PU,15,422.76384
PU,15,434.15568
PU,16,354.4128
PU,16,353.14704
PU,16,354.4128
