Date and time:,2020-12-01 16:16:17
Notes:

Chronoamperometry: CA I vs t
Date and time measurement:,2020-11-30 12:10:10,
s,µA
0.00000E+000,1.23405E-003
1.00000E-002,6.62416E-004
2.00000E-002,3.65849E-004
3.00000E-002,3.80850E-004
4.00000E-002,2.22472E-004
5.00000E-002,2.27910E-004
6.00000E-002,2.26535E-004
7.00000E-002,1.13158E-004
8.00000E-002,2.11410E-004
9.00000E-002,1.06470E-004
1.00000E-001,1.46409E-004
1.10000E-001,1.64721E-004
1.20000E-001,6.40948E-005
1.30000E-001,1.67409E-004
1.40000E-001,7.34074E-005
1.50000E-001,1.07720E-004
1.60000E-001,1.34033E-004
1.70000E-001,3.00941E-005
1.80000E-001,1.58909E-004
1.90000E-001,5.11570E-005
2.00000E-001,9.85327E-005
2.10000E-001,1.20596E-004
2.20000E-001,2.23441E-005
2.30000E-001,1.56346E-004
2.40000E-001,4.14693E-005
2.50000E-001,8.82826E-005
2.60000E-001,1.00595E-004
2.70000E-001,1.93441E-005
2.80000E-001,1.33783E-004
2.90000E-001,3.68443E-005
3.00000E-001,7.92825E-005
3.10000E-001,1.11908E-004
3.20000E-001,1.35314E-005
3.30000E-001,1.29846E-004
3.40000E-001,3.22192E-005
3.50000E-001,6.64697E-005
3.60000E-001,1.09908E-004
3.70000E-001,8.59380E-006
3.80000E-001,1.28783E-004
3.90000E-001,1.76566E-005
4.00000E-001,7.92201E-005
4.10000E-001,9.64701E-005
4.20000E-001,7.18832E-007
4.30000E-001,1.28846E-004
4.40000E-001,1.82190E-005
4.50000E-001,6.56571E-005
4.60000E-001,9.47826E-005
4.70000E-001,-5.31197E-007
4.80000E-001,1.17658E-004
4.90000E-001,2.97816E-005
5.00000E-001,7.15323E-005
5.10000E-001,9.55951E-005
5.20000E-001,-5.15628E-006
5.30000E-001,1.13220E-004
5.40000E-001,2.20315E-005
5.50000E-001,6.47821E-005
5.60000E-001,8.93452E-005
5.70000E-001,3.43800E-007
5.80000E-001,1.20033E-004
5.90000E-001,1.72815E-005
6.00000E-001,6.63447E-005
6.10000E-001,9.05950E-005
6.20000E-001,-6.03128E-006
6.30000E-001,1.14908E-004
6.40000E-001,1.25315E-005
6.50000E-001,6.27196E-005
6.60000E-001,8.12199E-005
6.70000E-001,2.18630E-007
6.80000E-001,1.11970E-004
6.90000E-001,1.92816E-005
7.00000E-001,6.39071E-005
7.10000E-001,7.85949E-005
7.20000E-001,1.96886E-006
7.30000E-001,1.05908E-004
7.40000E-001,1.04065E-005
7.50000E-001,6.56571E-005
7.60000E-001,8.40325E-005
7.70000E-001,-5.59378E-006
7.80000E-001,1.19908E-004
7.90000E-001,1.27189E-005
8.00000E-001,5.72195E-005
8.10000E-001,7.81574E-005
8.20000E-001,-6.71887E-006
8.30000E-001,1.10658E-004
8.40000E-001,8.40640E-006
8.50000E-001,6.23448E-005
8.60000E-001,7.82199E-005
8.70000E-001,-4.28128E-006
8.80000E-001,1.10595E-004
8.90000E-001,8.40640E-006
9.00000E-001,6.18446E-005
9.10000E-001,8.20949E-005
9.20000E-001,-7.90644E-006
9.30000E-001,1.06033E-004
9.40000E-001,-1.03140E-006
9.50000E-001,5.65321E-005
9.60000E-001,8.24075E-005
9.70000E-001,-7.53140E-006
9.80000E-001,1.13345E-004
9.90000E-001,6.09374E-006
1.00000E+000,5.09696E-005
1.01000E+000,8.15949E-005
1.02000E+000,-1.69690E-005
1.03000E+000,1.11283E-004
1.04000E+000,1.74065E-005
1.05000E+000,5.90322E-005
1.06000E+000,7.75950E-005
1.07000E+000,-2.14067E-005
1.08000E+000,1.12095E-004
1.09000E+000,-1.65629E-006
1.10000E+000,6.15323E-005
1.11000E+000,6.89073E-005
1.12000E+000,-1.30939E-005
1.13000E+000,1.11720E-004
1.14000E+000,5.15628E-006
1.15000E+000,6.00946E-005
1.16000E+000,8.06575E-005
1.17000E+000,-4.15635E-006
1.18000E+000,1.05220E-004
1.19000E+000,4.59385E-006
1.20000E+000,4.28443E-005
1.21000E+000,7.70323E-005
1.22000E+000,-1.35939E-005
1.23000E+000,1.11783E-004
1.24000E+000,2.90632E-006
1.25000E+000,6.04696E-005
1.26000E+000,7.57823E-005
1.27000E+000,-1.25315E-005
1.28000E+000,1.11158E-004
1.29000E+000,-2.78139E-006
1.30000E+000,6.43446E-005
1.31000E+000,7.17199E-005
1.32000E+000,-1.27189E-005
1.33000E+000,1.06783E-004
1.34000E+000,5.71871E-006
1.35000E+000,5.75945E-005
1.36000E+000,7.43449E-005
1.37000E+000,-1.02813E-005
1.38000E+000,1.02845E-004
1.39000E+000,1.78123E-006
1.40000E+000,5.49071E-005
1.41000E+000,7.66573E-005
1.42000E+000,-7.15637E-006
1.43000E+000,1.07845E-004
1.44000E+000,4.21882E-006
1.45000E+000,5.87196E-005
1.46000E+000,7.09074E-005
1.47000E+000,-1.22190E-005
1.48000E+000,1.11346E-004
1.49000E+000,-1.12815E-005
1.50000E+000,6.40323E-005
1.51000E+000,7.15323E-005
1.52000E+000,-1.57814E-005
1.53000E+000,1.16096E-004
1.54000E+000,-3.96872E-006
1.55000E+000,5.72822E-005
1.56000E+000,7.20325E-005
1.57000E+000,-1.49064E-005
1.58000E+000,1.04158E-004
1.59000E+000,8.09383E-006
1.60000E+000,5.12819E-005
1.61000E+000,8.02825E-005
1.62000E+000,-1.53439E-005
1.63000E+000,1.03283E-004
1.64000E+000,1.96886E-006
1.65000E+000,5.43447E-005
1.66000E+000,6.59697E-005
1.67000E+000,-1.24063E-005
1.68000E+000,1.09908E-004
1.69000E+000,-6.71887E-006
1.70000E+000,6.30322E-005
1.71000E+000,7.29699E-005
1.72000E+000,-7.34377E-006
1.73000E+000,1.12658E-004
1.74000E+000,-3.84378E-006
1.75000E+000,5.05321E-005
1.76000E+000,6.44071E-005
1.77000E+000,-1.45314E-005
1.78000E+000,1.05345E-004
1.79000E+000,-3.43800E-007
1.80000E+000,6.28448E-005
1.81000E+000,6.61573E-005
1.82000E+000,-4.40645E-006
1.83000E+000,1.04283E-004
1.84000E+000,-4.40645E-006
1.85000E+000,6.61573E-005
1.86000E+000,6.72197E-005
1.87000E+000,-1.39065E-005
1.88000E+000,1.04158E-004
1.89000E+000,-3.09372E-006
1.90000E+000,5.68447E-005
1.91000E+000,7.44073E-005
1.92000E+000,-1.70941E-005
1.93000E+000,1.08033E-004
1.94000E+000,-5.53131E-006
1.95000E+000,5.83446E-005
1.96000E+000,6.22821E-005
1.97000E+000,-1.14064E-005
1.98000E+000,1.11845E-004
1.99000E+000,-2.40636E-006
2.00000E+000,6.18446E-005
2.01000E+000,5.52821E-005
2.02000E+000,-1.27189E-005
2.03000E+000,9.85327E-005
2.04000E+000,-1.96886E-006
2.05000E+000,5.36571E-005
2.06000E+000,6.77822E-005
2.07000E+000,-1.29690E-005
2.08000E+000,1.09970E-004
2.09000E+000,-8.09383E-006
2.10000E+000,5.83446E-005
2.11000E+000,7.11572E-005
2.12000E+000,-1.92816E-005
2.13000E+000,1.07970E-004
2.14000E+000,-1.22814E-005
2.15000E+000,6.02198E-005
2.16000E+000,6.44698E-005
2.17000E+000,-1.10314E-005
2.18000E+000,1.05345E-004
2.19000E+000,-6.56366E-007
2.20000E+000,5.66571E-005
2.21000E+000,5.91571E-005
2.22000E+000,-1.32189E-005
2.23000E+000,9.64701E-005
2.24000E+000,-4.68731E-007
2.25000E+000,6.00946E-005
2.26000E+000,6.57823E-005
2.27000E+000,-7.34377E-006
