Date and time:,2020-12-01 16:18:33
Notes:

Chronoamperometry: CA I vs t
Date and time measurement:,2020-11-30 10:54:55,
s,µA
0.00000E+000,9.69703E+002
1.00000E-002,9.69703E+002
2.00000E-002,9.68451E+002
3.00000E-002,9.69076E+002
4.00000E-002,9.69076E+002
5.00000E-002,9.68451E+002
6.00000E-002,9.67827E+002
7.00000E-002,9.68451E+002
8.00000E-002,9.67827E+002
9.00000E-002,9.66578E+002
1.00000E-001,9.68451E+002
1.10000E-001,9.68451E+002
1.20000E-001,9.67827E+002
1.30000E-001,9.67827E+002
1.40000E-001,9.68451E+002
1.50000E-001,9.68451E+002
1.60000E-001,9.69076E+002
1.70000E-001,9.67202E+002
1.80000E-001,9.68451E+002
1.90000E-001,9.67827E+002
2.00000E-001,9.67202E+002
2.10000E-001,9.67202E+002
2.20000E-001,9.67202E+002
2.30000E-001,9.67827E+002
2.40000E-001,9.67202E+002
2.50000E-001,9.67827E+002
2.60000E-001,9.68451E+002
2.70000E-001,9.67827E+002
2.80000E-001,9.67202E+002
2.90000E-001,9.67202E+002
3.00000E-001,9.67827E+002
3.10000E-001,9.67202E+002
3.20000E-001,9.66578E+002
3.30000E-001,9.67202E+002
3.40000E-001,9.66578E+002
3.50000E-001,9.65953E+002
3.60000E-001,9.64077E+002
3.70000E-001,9.67202E+002
3.80000E-001,9.66578E+002
3.90000E-001,9.65328E+002
4.00000E-001,9.64077E+002
4.10000E-001,9.66578E+002
4.20000E-001,9.64701E+002
4.30000E-001,9.64701E+002
4.40000E-001,9.66578E+002
4.50000E-001,9.66578E+002
4.60000E-001,9.66578E+002
4.70000E-001,9.67202E+002
4.80000E-001,9.64077E+002
4.90000E-001,9.62827E+002
5.00000E-001,9.66578E+002
5.10000E-001,9.64701E+002
5.20000E-001,9.61578E+002
5.30000E-001,9.65328E+002
5.40000E-001,9.63452E+002
5.50000E-001,9.61578E+002
5.60000E-001,9.64701E+002
5.70000E-001,9.65953E+002
5.80000E-001,9.61578E+002
5.90000E-001,9.65953E+002
6.00000E-001,9.63452E+002
6.10000E-001,9.60951E+002
6.20000E-001,9.66578E+002
6.30000E-001,9.64077E+002
6.40000E-001,9.62827E+002
6.50000E-001,9.65953E+002
6.60000E-001,9.66578E+002
6.70000E-001,9.62827E+002
6.80000E-001,9.60951E+002
6.90000E-001,9.66578E+002
7.00000E-001,9.63452E+002
7.10000E-001,9.62203E+002
7.20000E-001,9.65953E+002
7.30000E-001,9.64701E+002
7.40000E-001,9.59702E+002
7.50000E-001,9.64701E+002
7.60000E-001,9.61578E+002
7.70000E-001,9.59077E+002
7.80000E-001,9.64077E+002
7.90000E-001,9.62827E+002
8.00000E-001,9.62203E+002
8.10000E-001,9.65328E+002
8.20000E-001,9.65953E+002
8.30000E-001,9.64701E+002
8.40000E-001,9.59702E+002
8.50000E-001,9.63452E+002
8.60000E-001,9.60326E+002
8.70000E-001,9.59702E+002
8.80000E-001,9.64701E+002
8.90000E-001,9.60326E+002
9.00000E-001,9.59702E+002
9.10000E-001,9.63452E+002
9.20000E-001,9.60326E+002
9.30000E-001,9.59702E+002
9.40000E-001,9.64701E+002
9.50000E-001,9.60951E+002
9.60000E-001,9.59702E+002
9.70000E-001,9.63452E+002
9.80000E-001,9.64077E+002
9.90000E-001,9.63452E+002
1.00000E+000,9.62203E+002
1.01000E+000,9.57203E+002
1.02000E+000,9.62827E+002
1.03000E+000,9.57828E+002
1.04000E+000,9.59702E+002
1.05000E+000,9.56576E+002
1.06000E+000,9.60326E+002
1.07000E+000,9.58452E+002
1.08000E+000,9.61578E+002
1.09000E+000,9.55327E+002
1.10000E+000,9.56576E+002
1.11000E+000,9.60951E+002
1.12000E+000,9.61578E+002
1.13000E+000,9.62827E+002
1.14000E+000,9.59077E+002
1.15000E+000,9.63452E+002
1.16000E+000,9.59702E+002
1.17000E+000,9.57203E+002
1.18000E+000,9.61578E+002
1.19000E+000,9.59702E+002
1.20000E+000,9.62203E+002
1.21000E+000,9.56576E+002
1.22000E+000,9.62827E+002
1.23000E+000,9.60326E+002
1.24000E+000,9.57828E+002
1.25000E+000,9.62203E+002
1.26000E+000,9.58452E+002
1.27000E+000,9.59077E+002
1.28000E+000,9.62203E+002
1.29000E+000,9.58452E+002
1.30000E+000,9.62827E+002
1.31000E+000,9.56576E+002
1.32000E+000,9.61578E+002
1.33000E+000,9.58452E+002
1.34000E+000,9.61578E+002
1.35000E+000,9.57828E+002
1.36000E+000,9.62827E+002
1.37000E+000,9.59702E+002
1.38000E+000,9.55951E+002
1.39000E+000,9.56576E+002
1.40000E+000,9.62203E+002
1.41000E+000,9.61578E+002
1.42000E+000,9.61578E+002
1.43000E+000,9.55951E+002
1.44000E+000,9.55327E+002
1.45000E+000,9.58452E+002
1.46000E+000,9.56576E+002
1.47000E+000,9.61578E+002
1.48000E+000,9.57828E+002
1.49000E+000,9.60326E+002
1.50000E+000,9.55951E+002
1.51000E+000,9.57203E+002
1.52000E+000,9.60951E+002
1.53000E+000,9.59077E+002
1.54000E+000,9.60326E+002
1.55000E+000,9.55951E+002
1.56000E+000,9.55327E+002
1.57000E+000,9.57203E+002
1.58000E+000,9.55951E+002
1.59000E+000,9.55327E+002
1.60000E+000,9.57203E+002
1.61000E+000,9.55951E+002
1.62000E+000,9.56576E+002
1.63000E+000,9.59702E+002
1.64000E+000,9.60326E+002
1.65000E+000,9.61578E+002
1.66000E+000,9.62203E+002
1.67000E+000,9.57203E+002
1.68000E+000,9.60326E+002
1.69000E+000,9.57828E+002
1.70000E+000,9.60326E+002
1.71000E+000,9.55951E+002
1.72000E+000,9.57828E+002
1.73000E+000,9.61578E+002
1.74000E+000,9.55951E+002
1.75000E+000,9.56576E+002
1.76000E+000,9.59077E+002
1.77000E+000,9.59077E+002
1.78000E+000,9.58452E+002
1.79000E+000,9.60951E+002
1.80000E+000,9.60326E+002
1.81000E+000,9.55327E+002
1.82000E+000,9.56576E+002
1.83000E+000,9.60951E+002
1.84000E+000,9.59702E+002
1.85000E+000,9.60326E+002
1.86000E+000,9.55951E+002
1.87000E+000,9.55327E+002
1.88000E+000,9.55327E+002
1.89000E+000,9.59077E+002
1.90000E+000,9.55327E+002
1.91000E+000,9.55951E+002
1.92000E+000,9.58452E+002
1.93000E+000,9.55327E+002
1.94000E+000,9.55327E+002
1.95000E+000,9.55951E+002
1.96000E+000,9.56576E+002
1.97000E+000,9.55327E+002
1.98000E+000,9.55951E+002
1.99000E+000,9.58452E+002
2.00000E+000,9.57203E+002
2.01000E+000,9.58452E+002
2.02000E+000,9.59077E+002
2.03000E+000,9.57828E+002
2.04000E+000,9.58452E+002
2.05000E+000,9.55327E+002
2.06000E+000,9.55327E+002
2.07000E+000,9.57203E+002
2.08000E+000,9.57828E+002
2.09000E+000,9.55327E+002
2.10000E+000,9.55327E+002
2.11000E+000,9.56576E+002
2.12000E+000,9.58452E+002
2.13000E+000,9.54702E+002
2.14000E+000,9.54702E+002
2.15000E+000,9.56576E+002
2.16000E+000,9.57203E+002
2.17000E+000,9.55327E+002
2.18000E+000,9.54702E+002
2.19000E+000,9.55951E+002
2.20000E+000,9.58452E+002
2.21000E+000,9.55327E+002
2.22000E+000,9.55327E+002
2.23000E+000,9.55327E+002
2.24000E+000,9.57828E+002
2.25000E+000,9.55951E+002
2.26000E+000,9.55327E+002
2.27000E+000,9.57828E+002
2.28000E+000,9.55327E+002
2.29000E+000,9.55327E+002
2.30000E+000,9.57828E+002
2.31000E+000,9.54702E+002
