Created by CETR Data Viewer ver.2.20.107 01/30/21 16:15:49
Created by CETR UMT ver.1.138.259 23 Jan 2021 13:28:42
Total number of runs - 1
Total number of steps = 1
Indenter tip ID = 0
C:\Users\caiot\OneDrive\Documentos\Python\Results\CSV\2021-01-23\cond_004.tst

Run # 1
Script file C:\TRIB\Scripts\Reciprocating Ambient\Caio V\reciprocating_caio_final.cts
Run date 23 Jan 2021 13:28:42
Step No. 1

Step Type Code: 0
Radius       = 4.2378
Velocity     = 0.2
Set Force    = -8
Duration     = 32.15
Data Count   = 32149
Started at: 12:33:53.064 23 Jan 2021

T,Fx,Fz,LV,Z,Ff,COF
sec,N,N,mm,mm,N,

0.0000,0.333,-8.080,-0.008,0.0000,0.333,0.041
0.0010,0.361,-8.005,-0.009,0.0000,0.361,0.045
0.0020,0.336,-7.956,-0.008,0.0000,0.336,0.042
0.0030,0.299,-7.970,-0.009,0.0000,0.299,0.037
0.0040,0.282,-8.003,-0.009,0.0000,0.282,0.035
0.0050,0.279,-8.034,-0.009,0.0000,0.279,0.035
0.0060,0.284,-8.065,-0.010,0.0000,0.284,0.035
0.0070,0.291,-8.097,-0.007,0.0000,0.291,0.036
0.0080,0.312,-8.102,-0.007,0.0000,0.312,0.039
0.0090,0.362,-8.029,-0.004,0.0000,0.362,0.045
0.0100,0.357,-7.965,2.117,0.0000,0.357,0.045
0.0110,0.318,-7.959,0.212,0.0000,0.318,0.040
0.0120,0.294,-7.986,0.002,0.0000,0.294,0.037
0.0130,0.286,-8.016,-0.007,0.0000,0.286,0.036
0.0140,0.286,-8.051,-0.009,0.0000,0.286,0.036
0.0150,0.288,-8.082,-0.009,0.0000,0.288,0.036
0.0160,0.297,-8.108,-0.008,0.0000,0.297,0.037
0.0170,0.342,-8.058,-0.008,0.0000,0.342,0.042
0.0180,0.354,-7.985,-0.005,0.0000,0.354,0.044
0.0190,0.320,-7.956,-0.004,0.0000,0.320,0.040
0.0200,0.289,-7.981,-0.008,0.0000,0.289,0.036
0.0210,0.281,-8.014,-0.007,0.0000,0.281,0.035
0.0220,0.283,-8.043,-0.008,0.0000,0.283,0.035
0.0230,0.287,-8.071,-0.008,0.0000,0.287,0.036
0.0240,0.294,-8.105,-0.010,0.0000,0.294,0.036
0.0250,0.331,-8.081,-0.009,0.0000,0.331,0.041
0.0260,0.362,-8.004,0.193,0.0000,0.362,0.045
0.0270,0.345,-7.952,1.619,0.0000,0.345,0.043
0.0280,0.305,-7.967,0.064,0.0000,0.305,0.038
0.0290,0.285,-7.997,-0.004,0.0000,0.285,0.036
0.0300,0.281,-8.028,-0.008,0.0000,0.281,0.035
0.0310,0.283,-8.059,-0.007,0.0000,0.283,0.035
0.0320,0.286,-8.091,-0.009,0.0000,0.286,0.035
0.0330,0.307,-8.098,-0.009,0.0000,0.307,0.038
0.0340,0.352,-8.031,-0.009,0.0000,0.352,0.044
0.0350,0.346,-7.967,-0.008,0.0000,0.346,0.043
0.0360,0.310,-7.960,-0.004,0.0000,0.310,0.039
0.0370,0.288,-7.993,-0.006,0.0000,0.288,0.036
0.0380,0.282,-8.022,-0.007,0.0000,0.282,0.035
0.0390,0.284,-8.050,-0.007,0.0000,0.284,0.035
0.0400,0.289,-8.085,-0.008,0.0000,0.289,0.036
0.0410,0.295,-8.109,-0.009,0.0000,0.295,0.036
0.0420,0.343,-8.056,-0.009,0.0000,0.343,0.043
0.0430,0.355,-7.983,1.262,0.0000,0.355,0.044
0.0440,0.325,-7.952,0.642,0.0000,0.325,0.041
0.0450,0.293,-7.978,0.019,0.0000,0.293,0.037
0.0460,0.281,-8.009,-0.006,0.0000,0.281,0.035
0.0470,0.280,-8.040,-0.007,0.0000,0.280,0.035
0.0480,0.284,-8.069,-0.007,0.0000,0.284,0.035
0.0490,0.292,-8.097,-0.008,0.0000,0.292,0.036
0.0500,0.328,-8.078,-0.009,0.0000,0.328,0.041
0.0510,0.360,-8.004,-0.009,0.0000,0.360,0.045
0.0520,0.338,-7.955,-0.009,0.0000,0.338,0.042
0.0530,0.300,-7.968,-0.009,0.0000,0.300,0.038
0.0540,0.284,-8.001,-0.009,0.0000,0.284,0.036
0.0550,0.280,-8.034,-0.010,0.0000,0.280,0.035
0.0560,0.283,-8.064,-0.007,0.0000,0.283,0.035
0.0570,0.285,-8.097,-0.005,0.0000,0.285,0.035
0.0580,0.300,-8.103,-0.009,0.0000,0.300,0.037
0.0590,0.346,-8.027,-0.008,0.0000,0.346,0.043
0.0600,0.340,-7.964,1.998,0.0000,0.340,0.043
0.0610,0.304,-7.956,0.212,0.0000,0.304,0.038
0.0620,0.284,-7.985,0.001,0.0000,0.284,0.036
0.0630,0.283,-8.020,-0.003,0.0000,0.283,0.035
0.0640,0.284,-8.049,-0.007,0.0000,0.284,0.035
0.0650,0.291,-8.076,-0.008,0.0000,0.291,0.036
0.0660,0.300,-8.106,-0.009,0.0000,0.300,0.037
0.0670,0.348,-8.057,-0.008,0.0000,0.348,0.043
0.0680,0.360,-7.984,-0.009,0.0000,0.360,0.045
0.0690,0.328,-7.954,-0.003,0.0000,0.328,0.041
0.0700,0.290,-7.979,-0.007,0.0000,0.290,0.036
0.0710,0.275,-8.007,-0.008,0.0000,0.275,0.034
0.0720,0.273,-8.042,-0.008,0.0000,0.273,0.034
0.0730,0.274,-8.074,-0.009,0.0000,0.274,0.034
0.0740,0.279,-8.105,-0.009,0.0000,0.279,0.034
0.0750,0.315,-8.083,-0.003,0.0000,0.315,0.039
0.0760,0.348,-8.007,0.173,0.0000,0.348,0.043
0.0770,0.330,-7.948,1.694,0.0000,0.330,0.042
0.0780,0.297,-7.963,0.065,0.0000,0.297,0.037
0.0790,0.284,-7.997,-0.006,0.0000,0.284,0.035
0.0800,0.285,-8.029,-0.009,0.0000,0.285,0.035
0.0810,0.291,-8.060,-0.004,0.0000,0.291,0.036
0.0820,0.294,-8.090,-0.007,0.0000,0.294,0.036
0.0830,0.312,-8.095,-0.009,0.0000,0.312,0.039
0.0840,0.353,-8.030,-0.009,0.0000,0.353,0.044
0.0850,0.345,-7.967,-0.009,0.0000,0.345,0.043
0.0860,0.306,-7.961,-0.007,0.0000,0.306,0.038
0.0870,0.282,-7.991,-0.003,0.0000,0.282,0.035
0.0880,0.272,-8.022,-0.008,0.0000,0.272,0.034
0.0890,0.274,-8.051,-0.006,0.0000,0.274,0.034
0.0900,0.277,-8.084,-0.009,0.0000,0.277,0.034
0.0910,0.288,-8.109,-0.007,0.0000,0.288,0.036
0.0920,0.339,-8.058,-0.010,0.0000,0.339,0.042
0.0930,0.357,-7.982,1.200,0.0000,0.357,0.045
0.0940,0.331,-7.950,0.658,0.0000,0.331,0.042
0.0950,0.298,-7.974,0.018,0.0000,0.298,0.037
0.0960,0.290,-8.003,-0.005,0.0000,0.290,0.036
0.0970,0.286,-8.038,-0.007,0.0000,0.286,0.036
0.0980,0.288,-8.068,-0.008,0.0000,0.288,0.036
0.0990,0.291,-8.102,-0.008,0.0000,0.291,0.036
0.1000,0.322,-8.083,-0.008,0.0000,0.322,0.040
0.1010,0.352,-8.008,-0.004,0.0000,0.352,0.044
0.1020,0.325,-7.959,-0.006,0.0000,0.325,0.041
0.1030,0.284,-7.968,-0.009,0.0000,0.284,0.036
0.1040,0.267,-7.999,-0.009,0.0000,0.267,0.033
0.1050,0.268,-8.033,-0.009,0.0000,0.268,0.033
0.1060,0.274,-8.064,-0.009,0.0000,0.274,0.034
0.1070,0.282,-8.094,-0.009,0.0000,0.282,0.035
0.1080,0.308,-8.104,-0.005,0.0000,0.308,0.038
0.1090,0.354,-8.031,-0.008,0.0000,0.354,0.044
0.1100,0.353,-7.960,1.857,0.0000,0.353,0.044
0.1110,0.318,-7.955,0.196,0.0000,0.318,0.040
0.1120,0.294,-7.985,0.000,0.0000,0.294,0.037
0.1130,0.286,-8.019,-0.009,0.0000,0.286,0.036
0.1140,0.285,-8.049,-0.009,0.0000,0.285,0.035
0.1150,0.289,-8.082,-0.003,0.0000,0.289,0.036
0.1160,0.290,-8.109,-0.007,0.0000,0.290,0.036
0.1170,0.332,-8.058,-0.008,0.0000,0.332,0.041
0.1180,0.345,-7.983,-0.009,0.0000,0.345,0.043
0.1190,0.313,-7.955,-0.009,0.0000,0.313,0.039
0.1200,0.285,-7.979,-0.007,0.0000,0.285,0.036
0.1210,0.278,-8.011,-0.009,0.0000,0.278,0.035
0.1220,0.282,-8.043,-0.009,0.0000,0.282,0.035
0.1230,0.291,-8.075,-0.004,0.0000,0.291,0.036
0.1240,0.295,-8.106,-0.006,0.0000,0.295,0.036
0.1250,0.329,-8.084,-0.008,0.0000,0.329,0.041
0.1260,0.362,-8.002,0.101,0.0000,0.362,0.045
0.1270,0.341,-7.952,1.587,0.0000,0.341,0.043
0.1280,0.302,-7.964,0.060,0.0000,0.302,0.038
0.1290,0.283,-7.997,-0.005,0.0000,0.283,0.035
0.1300,0.277,-8.029,-0.009,0.0000,0.277,0.035
0.1310,0.280,-8.061,-0.005,0.0000,0.280,0.035
0.1320,0.286,-8.093,-0.003,0.0000,0.286,0.035
0.1330,0.304,-8.101,-0.007,0.0000,0.304,0.037
0.1340,0.350,-8.031,-0.009,0.0000,0.350,0.044
0.1350,0.346,-7.965,-0.008,0.0000,0.346,0.043
0.1360,0.310,-7.958,-0.010,0.0000,0.310,0.039
0.1370,0.291,-7.988,-0.009,0.0000,0.291,0.036
0.1380,0.287,-8.020,-0.008,0.0000,0.287,0.036
0.1390,0.289,-8.052,-0.009,0.0000,0.289,0.036
0.1400,0.293,-8.084,-0.009,0.0000,0.293,0.036
0.1410,0.299,-8.111,-0.009,0.0000,0.299,0.037
0.1420,0.346,-8.059,-0.005,0.0000,0.346,0.043
0.1430,0.357,-7.985,0.794,0.0000,0.357,0.045
0.1440,0.320,-7.951,0.566,0.0000,0.320,0.040
0.1450,0.287,-7.972,0.014,0.0000,0.287,0.036
0.1460,0.275,-8.006,-0.007,0.0000,0.275,0.034
0.1470,0.275,-8.039,-0.006,0.0000,0.275,0.034
0.1480,0.282,-8.070,-0.008,0.0000,0.282,0.035
0.1490,0.289,-8.101,-0.009,0.0000,0.289,0.036
0.1500,0.328,-8.082,-0.009,0.0000,0.328,0.041
0.1510,0.365,-8.009,-0.004,0.0000,0.365,0.046
0.1520,0.349,-7.959,-0.005,0.0000,0.349,0.044
0.1530,0.316,-7.966,-0.009,0.0000,0.316,0.040
0.1540,0.302,-7.996,-0.008,0.0000,0.302,0.038
0.1550,0.296,-8.028,-0.008,0.0000,0.296,0.037
0.1560,0.295,-8.059,-0.009,0.0000,0.295,0.037
0.1570,0.298,-8.092,-0.008,0.0000,0.298,0.037
0.1580,0.312,-8.102,-0.009,0.0000,0.312,0.039
0.1590,0.357,-8.030,-0.009,0.0000,0.357,0.044
0.1600,0.356,-7.966,1.293,0.0000,0.356,0.045
0.1610,0.321,-7.956,0.153,0.0000,0.321,0.040
0.1620,0.301,-7.986,0.002,0.0000,0.301,0.038
0.1630,0.296,-8.017,-0.005,0.0000,0.296,0.037
0.1640,0.298,-8.045,-0.008,0.0000,0.298,0.037
0.1650,0.301,-8.076,-0.008,0.0000,0.301,0.037
0.1660,0.302,-8.104,-0.008,0.0000,0.302,0.037
0.1670,0.337,-8.056,-0.009,0.0000,0.337,0.042
0.1680,0.343,-7.988,-0.009,0.0000,0.343,0.043
0.1690,0.306,-7.955,-0.009,0.0000,0.306,0.038
0.1700,0.267,-7.978,-0.010,0.0000,0.267,0.034
0.1710,0.253,-8.011,-0.005,0.0000,0.253,0.032
0.1720,0.247,-8.043,-0.004,0.0000,0.247,0.031
0.1730,0.242,-8.075,-0.009,0.0000,0.242,0.030
0.1740,0.243,-8.102,-0.008,0.0000,0.243,0.030
0.1750,0.279,-8.079,-0.008,0.0000,0.279,0.034
