Created by CETR Data Viewer ver.2.20.107 01/30/21 16:15:49
Created by CETR UMT ver.1.138.259 23 Jan 2021 13:30:39
Total number of runs - 1
Total number of steps = 1
Indenter tip ID = 0
C:\Users\caiot\OneDrive\Documentos\Python\Results\CSV\2021-01-23\cond_005.tst

Run # 1
Script file C:\TRIB\Scripts\Reciprocating Ambient\Caio V\reciprocating_caio_final.cts
Run date 23 Jan 2021 13:30:39
Step No. 1

Step Type Code: 0
Radius       = 4.2378
Velocity     = 2
Set Force    = -8
Duration     = 32.12
Data Count   = 32124
Started at: 12:33:53.064 23 Jan 2021

T,Fx,Fz,LV,Z,Ff,COF
sec,N,N,mm,mm,N,

0.0000,0.414,-7.959,-0.009,0.0010,0.414,0.052
0.0010,0.420,-7.991,-0.010,0.0010,0.420,0.053
0.0020,0.440,-8.003,-0.007,0.0010,0.440,0.055
0.0030,0.483,-7.937,-0.008,0.0010,0.483,0.061
0.0040,0.479,-7.867,-0.008,0.0010,0.479,0.061
0.0050,0.440,-7.860,-0.007,0.0010,0.440,0.056
0.0060,0.413,-7.888,-0.009,0.0010,0.413,0.052
0.0070,0.409,-7.921,-0.004,0.0010,0.409,0.052
0.0080,0.407,-7.954,-0.008,0.0010,0.407,0.051
0.0090,0.411,-7.979,-0.008,0.0010,0.411,0.052
0.0100,0.417,-8.008,-0.009,0.0010,0.417,0.052
0.0110,0.465,-7.961,-0.009,0.0010,0.465,0.058
0.0120,0.486,-7.886,0.889,0.0010,0.486,0.062
0.0130,0.460,-7.851,0.774,0.0010,0.460,0.059
0.0140,0.426,-7.874,0.022,0.0010,0.426,0.054
0.0150,0.415,-7.902,-0.008,0.0010,0.415,0.053
0.0160,0.417,-7.937,-0.009,0.0010,0.417,0.053
0.0170,0.423,-7.969,-0.009,0.0010,0.423,0.053
0.0180,0.426,-8.000,-0.007,0.0010,0.426,0.053
0.0190,0.454,-7.983,-0.009,0.0010,0.454,0.057
0.0200,0.486,-7.912,-0.010,0.0010,0.486,0.061
0.0210,0.466,-7.858,-0.005,0.0010,0.466,0.059
0.0220,0.423,-7.867,-0.007,0.0010,0.423,0.054
0.0230,0.403,-7.898,-0.009,0.0010,0.403,0.051
0.0240,0.401,-7.930,-0.010,0.0010,0.401,0.051
0.0250,0.407,-7.963,-0.005,0.0010,0.407,0.051
0.0260,0.411,-7.992,-0.007,0.0010,0.411,0.051
0.0270,0.428,-8.005,-0.008,0.0010,0.428,0.054
0.0280,0.479,-7.936,-0.008,0.0010,0.479,0.060
0.0290,0.484,-7.869,1.898,0.0010,0.484,0.062
0.0300,0.446,-7.853,0.245,0.0010,0.446,0.057
0.0310,0.422,-7.884,0.001,0.0010,0.422,0.054
0.0320,0.416,-7.916,-0.006,0.0010,0.416,0.053
0.0330,0.417,-7.949,-0.007,0.0010,0.417,0.052
0.0340,0.419,-7.978,-0.008,0.0010,0.419,0.053
0.0350,0.425,-8.008,-0.010,0.0010,0.425,0.053
0.0360,0.469,-7.965,-0.006,0.0010,0.469,0.059
0.0370,0.482,-7.889,-0.008,0.0010,0.482,0.061
0.0380,0.449,-7.855,-0.009,0.0010,0.449,0.057
0.0390,0.417,-7.878,-0.004,0.0010,0.417,0.053
0.0400,0.404,-7.909,-0.006,0.0010,0.404,0.051
0.0410,0.406,-7.942,-0.008,0.0010,0.406,0.051
0.0420,0.411,-7.975,-0.008,0.0010,0.411,0.052
0.0430,0.417,-8.005,-0.007,0.0010,0.417,0.052
0.0440,0.450,-7.986,-0.009,0.0010,0.450,0.056
0.0450,0.489,-7.911,0.005,0.0010,0.489,0.062
0.0460,0.477,-7.856,1.788,0.0010,0.477,0.061
0.0470,0.435,-7.863,0.079,0.0010,0.435,0.055
0.0480,0.415,-7.896,-0.004,0.0010,0.415,0.053
0.0490,0.410,-7.930,-0.010,0.0010,0.410,0.052
0.0500,0.413,-7.961,-0.005,0.0010,0.413,0.052
0.0510,0.413,-7.989,-0.007,0.0010,0.413,0.052
0.0520,0.429,-8.004,-0.009,0.0010,0.429,0.054
0.0530,0.474,-7.938,-0.010,0.0010,0.474,0.060
0.0540,0.474,-7.873,-0.006,0.0010,0.474,0.060
0.0550,0.436,-7.857,-0.006,0.0010,0.436,0.056
0.0560,0.413,-7.888,-0.009,0.0010,0.413,0.052
0.0570,0.411,-7.921,-0.007,0.0010,0.411,0.052
0.0580,0.413,-7.953,-0.009,0.0010,0.413,0.052
0.0590,0.418,-7.981,-0.009,0.0010,0.418,0.052
0.0600,0.426,-8.010,-0.010,0.0010,0.426,0.053
0.0610,0.475,-7.963,-0.005,0.0010,0.475,0.060
0.0620,0.490,-7.884,0.760,0.0010,0.490,0.062
0.0630,0.459,-7.849,0.785,0.0010,0.459,0.058
0.0640,0.424,-7.873,0.021,0.0010,0.424,0.054
0.0650,0.412,-7.907,-0.002,0.0010,0.412,0.052
0.0660,0.407,-7.936,-0.008,0.0010,0.407,0.051
0.0670,0.409,-7.968,-0.008,0.0010,0.409,0.051
0.0680,0.417,-8.000,-0.009,0.0010,0.417,0.052
0.0690,0.449,-7.988,-0.007,0.0010,0.449,0.056
0.0700,0.483,-7.909,-0.009,0.0010,0.483,0.061
0.0710,0.466,-7.859,-0.009,0.0010,0.466,0.059
0.0720,0.431,-7.869,-0.007,0.0010,0.431,0.055
0.0730,0.415,-7.899,-0.006,0.0010,0.415,0.052
0.0740,0.412,-7.931,-0.008,0.0010,0.412,0.052
0.0750,0.415,-7.963,-0.009,0.0010,0.415,0.052
0.0760,0.418,-7.994,-0.007,0.0010,0.418,0.052
0.0770,0.431,-8.003,-0.009,0.0000,0.431,0.054
0.0780,0.478,-7.937,-0.010,0.0000,0.478,0.060
0.0790,0.479,-7.870,1.909,0.0000,0.479,0.061
0.0800,0.438,-7.854,0.241,0.0000,0.438,0.056
0.0810,0.413,-7.885,0.002,0.0000,0.413,0.052
0.0820,0.408,-7.918,-0.008,0.0000,0.408,0.051
0.0830,0.412,-7.951,-0.005,0.0000,0.412,0.052
0.0840,0.416,-7.977,-0.007,0.0000,0.416,0.052
0.0850,0.425,-8.008,-0.008,0.0000,0.425,0.053
0.0860,0.473,-7.964,-0.009,0.0000,0.473,0.059
0.0870,0.493,-7.891,-0.005,0.0000,0.493,0.062
0.0880,0.459,-7.851,-0.007,0.0000,0.459,0.058
0.0890,0.425,-7.878,-0.008,0.0000,0.425,0.054
0.0900,0.414,-7.910,-0.007,0.0000,0.414,0.052
0.0910,0.411,-7.944,-0.008,0.0000,0.411,0.052
0.0920,0.410,-7.971,-0.007,0.0000,0.410,0.051
0.0930,0.411,-8.004,-0.008,0.0000,0.411,0.051
0.0940,0.444,-7.990,-0.005,0.0000,0.444,0.056
0.0950,0.477,-7.914,0.007,0.0000,0.477,0.060
0.0960,0.460,-7.854,1.790,0.0000,0.460,0.059
0.0970,0.424,-7.865,0.083,0.0000,0.424,0.054
0.0980,0.411,-7.896,-0.002,0.0000,0.411,0.052
0.0990,0.411,-7.930,-0.008,0.0000,0.411,0.052
0.1000,0.417,-7.959,-0.006,0.0000,0.417,0.052
0.1010,0.424,-7.991,-0.009,0.0000,0.424,0.053
0.1020,0.446,-8.004,-0.003,0.0000,0.446,0.056
0.1030,0.489,-7.935,-0.007,0.0000,0.489,0.062
0.1040,0.486,-7.873,-0.008,0.0000,0.486,0.062
0.1050,0.450,-7.861,-0.009,0.0000,0.450,0.057
0.1060,0.423,-7.890,-0.006,0.0000,0.423,0.054
0.1070,0.411,-7.919,-0.009,0.0000,0.411,0.052
0.1080,0.411,-7.953,-0.009,0.0000,0.411,0.052
0.1090,0.417,-7.985,-0.006,0.0000,0.417,0.052
0.1100,0.421,-8.012,-0.008,0.0000,0.421,0.053
0.1110,0.467,-7.964,-0.009,0.0000,0.467,0.059
0.1120,0.491,-7.890,0.383,0.0000,0.491,0.062
0.1130,0.474,-7.852,0.604,0.0000,0.474,0.060
0.1140,0.447,-7.871,0.015,0.0000,0.447,0.057
0.1150,0.450,-7.904,-0.007,0.0000,0.450,0.057
0.1160,0.465,-7.938,-0.009,0.0000,0.465,0.059
0.1170,0.483,-7.970,-0.003,0.0000,0.483,0.061
0.1180,0.492,-7.997,-0.007,0.0000,0.492,0.062
0.1190,0.527,-7.986,-0.008,0.0000,0.527,0.066
0.1200,0.562,-7.914,-0.009,0.0000,0.562,0.071
0.1210,0.552,-7.862,-0.003,0.0000,0.552,0.070
0.1220,0.512,-7.865,-0.007,0.0000,0.512,0.065
0.1230,0.499,-7.899,-0.009,0.0000,0.499,0.063
0.1240,0.512,-7.930,-0.010,0.0000,0.512,0.065
0.1250,0.537,-7.960,-0.005,0.0000,0.537,0.067
0.1260,0.558,-7.992,-0.009,0.0000,0.558,0.070
0.1270,0.589,-8.001,-0.009,0.0000,0.589,0.074
0.1280,0.649,-7.936,-0.010,0.0000,0.649,0.082
0.1290,0.662,-7.871,1.265,0.0000,0.662,0.084
0.1300,0.632,-7.855,0.222,0.0000,0.632,0.080
0.1310,0.611,-7.879,0.000,0.0000,0.611,0.078
0.1320,0.615,-7.914,-0.006,0.0000,0.615,0.078
0.1330,0.635,-7.945,-0.008,0.0000,0.635,0.080
0.1340,0.658,-7.978,-0.007,0.0000,0.658,0.082
0.1350,0.678,-8.002,-0.007,0.0000,0.678,0.085
0.1360,0.731,-7.961,-0.008,0.0000,0.731,0.092
0.1370,0.755,-7.892,-0.009,0.0000,0.755,0.096
0.1380,0.733,-7.856,-0.004,0.0000,0.733,0.093
0.1390,0.706,-7.874,-0.008,0.0000,0.706,0.090
0.1400,0.707,-7.907,-0.009,0.0000,0.707,0.089
0.1410,0.731,-7.939,-0.009,0.0000,0.731,0.092
0.1420,0.768,-7.969,-0.009,0.0000,0.768,0.096
0.1430,0.803,-8.000,-0.004,0.0000,0.803,0.100
0.1440,0.858,-7.986,-0.007,0.0000,0.858,0.107
0.1450,0.910,-7.907,-0.008,0.0000,0.910,0.115
0.1460,0.913,-7.851,1.658,0.0000,0.913,0.116
0.1470,0.893,-7.858,0.078,0.0000,0.893,0.114
0.1480,0.893,-7.888,-0.006,0.0000,0.893,0.113
0.1490,0.910,-7.921,-0.009,0.0000,0.910,0.115
0.1500,0.942,-7.952,-0.003,0.0000,0.942,0.118
0.1510,0.971,-7.984,-0.006,0.0000,0.971,0.122
0.1520,1.013,-7.996,-0.008,0.0005,1.013,0.127
0.1530,1.083,-7.933,-0.009,0.0005,1.083,0.137
0.1540,1.111,-7.869,-0.005,0.0005,1.111,0.141
0.1550,1.099,-7.854,-0.007,0.0005,1.099,0.140
0.1560,1.101,-7.877,-0.009,0.0005,1.101,0.140
0.1570,1.122,-7.912,-0.009,0.0005,1.122,0.142
0.1580,1.156,-7.945,-0.010,0.0005,1.156,0.146
0.1590,1.198,-7.975,-0.004,0.0005,1.198,0.150
0.1600,1.237,-8.001,-0.008,0.0005,1.237,0.155
0.1610,1.316,-7.950,-0.010,0.0005,1.316,0.166
0.1620,1.365,-7.879,0.636,0.0005,1.365,0.173
0.1630,1.366,-7.841,0.855,0.0005,1.366,0.174
0.1640,1.360,-7.865,0.026,0.0005,1.360,0.173
0.1650,1.369,-7.897,-0.005,0.0005,1.369,0.173
0.1660,1.396,-7.923,-0.007,0.0005,1.396,0.176
0.1670,1.431,-7.958,-0.008,0.0005,1.431,0.180
0.1680,1.474,-7.988,-0.009,0.0005,1.474,0.185
0.1690,1.544,-7.976,-0.006,0.0005,1.544,0.194
0.1700,1.613,-7.906,-0.007,0.0005,1.613,0.204
0.1710,1.633,-7.845,-0.009,0.0005,1.633,0.208
0.1720,1.632,-7.853,-0.008,0.0005,1.632,0.208
0.1730,1.647,-7.886,-0.009,0.0005,1.647,0.209
0.1740,1.679,-7.917,-0.003,0.0005,1.679,0.212
0.1750,1.709,-7.946,-0.007,0.0005,1.709,0.215
