Created by CETR Data Viewer ver.2.20.107 01/30/21 16:15:51
Created by CETR UMT ver.1.138.259 23 Jan 2021 13:24:13
Total number of runs - 1
Total number of steps = 1
Indenter tip ID = 0
C:\Users\caiot\OneDrive\Documentos\Python\Results\CSV\2021-01-23\preload_002.tst

Run # 1
Script file C:\TRIB\Scripts\Reciprocating Ambient\Caio V\reciprocating_caio_final.cts
Run date 23 Jan 2021 13:24:13
Step No. 1

Step Type Code: 0
Radius       = 4.2378
Velocity     = 0
Set Force    = -8
Duration     = 5.16
Data Count   = 517
Started at: 12:33:53.064 23 Jan 2021

T,Fx,Fz,LV,Z,Ff,COF
sec,N,N,mm,mm,N,

0.0000,0.270,-7.808,0.170,-0.0810,0.270,0.035
0.0100,0.271,-7.818,-0.008,-0.0810,0.271,0.035
0.0200,0.268,-7.826,0.217,-0.0810,0.268,0.034
0.0300,0.275,-7.820,-0.005,-0.0810,0.275,0.035
0.0400,0.279,-7.804,0.206,-0.0810,0.279,0.036
0.0500,0.268,-7.813,0.157,-0.0806,0.268,0.034
0.0600,0.268,-7.822,-0.007,-0.0805,0.268,0.034
0.0700,0.274,-7.829,0.192,-0.0805,0.274,0.035
0.0800,0.280,-7.824,-0.007,-0.0805,0.280,0.036
0.0900,0.277,-7.808,0.211,-0.0805,0.277,0.035
0.1000,0.271,-7.815,0.168,-0.0801,0.271,0.035
0.1100,0.271,-7.826,-0.007,-0.0800,0.271,0.035
0.1200,0.269,-7.834,0.206,-0.0800,0.269,0.034
0.1300,0.278,-7.827,-0.006,-0.0800,0.278,0.035
0.1400,0.279,-7.812,0.208,-0.0800,0.279,0.036
0.1500,0.266,-7.819,0.160,-0.0800,0.266,0.034
0.1600,0.268,-7.829,-0.007,-0.0800,0.268,0.034
0.1700,0.272,-7.837,0.211,-0.0799,0.272,0.035
0.1800,0.276,-7.831,-0.006,-0.0795,0.276,0.035
0.1900,0.275,-7.816,0.212,-0.0795,0.275,0.035
0.2000,0.268,-7.824,0.165,-0.0795,0.268,0.034
0.2100,0.267,-7.833,-0.008,-0.0795,0.267,0.034
0.2200,0.268,-7.841,0.221,-0.0795,0.268,0.034
0.2300,0.275,-7.835,-0.008,-0.0795,0.275,0.035
0.2400,0.276,-7.819,0.203,-0.0795,0.276,0.035
0.2500,0.269,-7.828,0.152,-0.0791,0.269,0.034
0.2600,0.270,-7.837,-0.007,-0.0790,0.270,0.034
0.2700,0.272,-7.845,0.204,-0.0790,0.272,0.035
0.2800,0.279,-7.838,-0.007,-0.0790,0.279,0.036
0.2900,0.279,-7.823,0.202,-0.0790,0.279,0.036
0.3000,0.269,-7.830,0.186,-0.0786,0.269,0.034
0.3100,0.268,-7.840,-0.007,-0.0785,0.268,0.034
0.3200,0.273,-7.848,0.196,-0.0785,0.273,0.035
0.3300,0.276,-7.842,-0.008,-0.0785,0.276,0.035
0.3400,0.276,-7.826,0.214,-0.0785,0.276,0.035
0.3500,0.270,-7.833,0.168,-0.0785,0.270,0.034
0.3600,0.268,-7.842,-0.007,-0.0785,0.268,0.034
0.3700,0.267,-7.851,0.197,-0.0785,0.267,0.034
0.3800,0.278,-7.844,-0.008,-0.0785,0.278,0.035
0.3900,0.278,-7.828,0.219,-0.0785,0.278,0.035
0.4000,0.262,-7.837,0.169,-0.0781,0.262,0.033
0.4100,0.267,-7.846,-0.008,-0.0780,0.267,0.034
0.4200,0.272,-7.853,0.200,-0.0780,0.272,0.035
0.4300,0.275,-7.848,-0.007,-0.0780,0.275,0.035
0.4400,0.276,-7.832,0.198,-0.0780,0.276,0.035
0.4500,0.272,-7.839,0.157,-0.0780,0.272,0.035
0.4600,0.268,-7.849,-0.007,-0.0780,0.268,0.034
0.4700,0.269,-7.857,0.209,-0.0778,0.269,0.034
0.4800,0.281,-7.850,-0.007,-0.0775,0.281,0.036
0.4900,0.278,-7.834,0.214,-0.0775,0.278,0.036
0.5000,0.265,-7.842,0.164,-0.0775,0.265,0.034
0.5100,0.268,-7.851,-0.008,-0.0775,0.268,0.034
0.5200,0.272,-7.859,0.205,-0.0775,0.272,0.035
0.5300,0.276,-7.854,-0.008,-0.0775,0.276,0.035
0.5400,0.279,-7.838,0.208,-0.0775,0.279,0.036
0.5500,0.272,-7.845,0.168,-0.0771,0.272,0.035
0.5600,0.268,-7.854,-0.007,-0.0770,0.268,0.034
0.5700,0.271,-7.862,0.212,-0.0770,0.271,0.034
0.5800,0.278,-7.855,-0.008,-0.0770,0.278,0.035
0.5900,0.279,-7.841,0.204,-0.0770,0.279,0.036
0.6000,0.270,-7.848,0.186,-0.0770,0.270,0.034
0.6100,0.268,-7.857,-0.008,-0.0770,0.268,0.034
0.6200,0.270,-7.866,0.194,-0.0769,0.270,0.034
0.6300,0.278,-7.860,-0.008,-0.0765,0.278,0.035
0.6400,0.280,-7.844,0.201,-0.0765,0.280,0.036
0.6500,0.270,-7.852,0.162,-0.0765,0.270,0.034
0.6600,0.272,-7.861,-0.007,-0.0765,0.272,0.035
0.6700,0.273,-7.869,0.189,-0.0765,0.273,0.035
0.6800,0.278,-7.863,-0.007,-0.0765,0.278,0.035
0.6900,0.280,-7.847,0.214,-0.0765,0.280,0.036
0.7000,0.272,-7.854,0.163,-0.0761,0.272,0.035
0.7100,0.269,-7.864,-0.007,-0.0760,0.269,0.034
0.7200,0.271,-7.872,0.204,-0.0760,0.271,0.034
0.7300,0.283,-7.866,-0.007,-0.0760,0.283,0.036
0.7400,0.277,-7.850,0.222,-0.0760,0.277,0.035
0.7500,0.265,-7.858,0.167,-0.0760,0.265,0.034
0.7600,0.271,-7.868,-0.007,-0.0760,0.271,0.034
0.7700,0.273,-7.875,0.192,-0.0760,0.273,0.035
0.7800,0.277,-7.869,-0.007,-0.0760,0.277,0.035
0.7900,0.281,-7.854,0.213,-0.0760,0.281,0.036
0.8000,0.274,-7.861,0.160,-0.0756,0.274,0.035
0.8100,0.268,-7.871,-0.008,-0.0755,0.268,0.034
0.8200,0.273,-7.878,0.210,-0.0755,0.273,0.035
0.8300,0.283,-7.872,-0.008,-0.0755,0.283,0.036
0.8400,0.278,-7.856,0.217,-0.0755,0.278,0.035
0.8500,0.267,-7.864,0.171,-0.0755,0.267,0.034
0.8600,0.271,-7.874,-0.007,-0.0755,0.271,0.034
0.8700,0.272,-7.882,0.196,-0.0754,0.272,0.035
0.8800,0.277,-7.876,-0.007,-0.0750,0.277,0.035
0.8900,0.283,-7.859,0.205,-0.0750,0.283,0.036
0.9000,0.271,-7.867,0.173,-0.0750,0.271,0.034
0.9100,0.268,-7.877,-0.007,-0.0750,0.268,0.034
0.9200,0.273,-7.884,0.191,-0.0750,0.273,0.035
0.9300,0.280,-7.878,-0.008,-0.0750,0.280,0.036
0.9400,0.278,-7.862,0.223,-0.0750,0.278,0.035
0.9500,0.267,-7.869,0.177,-0.0746,0.267,0.034
0.9600,0.270,-7.878,-0.008,-0.0745,0.270,0.034
0.9700,0.271,-7.887,0.192,-0.0745,0.271,0.034
0.9800,0.278,-7.882,-0.008,-0.0745,0.278,0.035
0.9900,0.280,-7.865,0.213,-0.0745,0.280,0.036
1.0000,0.270,-7.873,0.163,-0.0745,0.270,0.034
1.0100,0.271,-7.882,-0.007,-0.0745,0.271,0.034
1.0200,0.272,-7.890,0.201,-0.0745,0.272,0.034
1.0300,0.278,-7.884,-0.008,-0.0745,0.278,0.035
1.0400,0.280,-7.867,0.217,-0.0745,0.280,0.036
1.0500,0.269,-7.875,0.167,-0.0741,0.269,0.034
1.0600,0.267,-7.883,-0.007,-0.0740,0.267,0.034
1.0700,0.272,-7.892,0.200,-0.0740,0.272,0.034
1.0800,0.282,-7.887,-0.007,-0.0740,0.282,0.036
1.0900,0.278,-7.871,0.217,-0.0740,0.278,0.035
1.1000,0.270,-7.877,0.166,-0.0740,0.270,0.034
1.1100,0.272,-7.886,-0.008,-0.0740,0.272,0.034
1.1200,0.272,-7.894,0.197,-0.0740,0.272,0.034
1.1300,0.277,-7.888,-0.007,-0.0740,0.277,0.035
1.1400,0.282,-7.871,0.210,-0.0740,0.282,0.036
1.1500,0.269,-7.879,0.173,-0.0736,0.269,0.034
1.1600,0.266,-7.888,-0.008,-0.0735,0.266,0.034
1.1700,0.275,-7.897,0.191,-0.0735,0.275,0.035
1.1800,0.281,-7.891,-0.007,-0.0735,0.281,0.036
1.1900,0.277,-7.874,0.219,-0.0735,0.277,0.035
1.2000,0.269,-7.882,0.189,-0.0735,0.269,0.034
1.2100,0.270,-7.891,-0.008,-0.0735,0.270,0.034
1.2200,0.268,-7.900,0.196,-0.0735,0.268,0.034
1.2300,0.276,-7.893,-0.007,-0.0735,0.276,0.035
1.2400,0.281,-7.877,0.216,-0.0735,0.281,0.036
1.2500,0.268,-7.885,0.160,-0.0731,0.268,0.034
1.2600,0.268,-7.895,-0.007,-0.0730,0.268,0.034
1.2700,0.274,-7.902,0.193,-0.0730,0.274,0.035
1.2800,0.279,-7.897,-0.007,-0.0730,0.279,0.035
1.2900,0.276,-7.880,0.226,-0.0730,0.276,0.035
1.3000,0.268,-7.887,0.165,-0.0730,0.268,0.034
1.3100,0.270,-7.897,-0.008,-0.0730,0.270,0.034
1.3200,0.270,-7.906,0.178,-0.0729,0.270,0.034
1.3300,0.280,-7.900,-0.007,-0.0725,0.280,0.035
1.3400,0.281,-7.883,0.223,-0.0725,0.281,0.036
1.3500,0.272,-7.891,0.173,-0.0725,0.272,0.035
1.3600,0.269,-7.899,-0.007,-0.0725,0.269,0.034
1.3700,0.271,-7.908,0.208,-0.0725,0.271,0.034
1.3800,0.276,-7.902,-0.007,-0.0725,0.276,0.035
1.3900,0.279,-7.886,0.222,-0.0725,0.279,0.035
1.4000,0.270,-7.893,0.156,-0.0721,0.270,0.034
1.4100,0.270,-7.903,-0.007,-0.0720,0.270,0.034
1.4200,0.275,-7.911,0.192,-0.0720,0.275,0.035
1.4300,0.280,-7.905,-0.008,-0.0720,0.280,0.035
1.4400,0.280,-7.889,0.207,-0.0720,0.280,0.035
1.4500,0.272,-7.895,0.185,-0.0720,0.272,0.034
1.4600,0.271,-7.905,-0.007,-0.0720,0.271,0.034
1.4700,0.271,-7.913,0.188,-0.0720,0.271,0.034
1.4800,0.278,-7.908,-0.008,-0.0720,0.278,0.035
1.4900,0.283,-7.892,0.205,-0.0720,0.283,0.036
1.5000,0.270,-7.900,0.169,-0.0716,0.270,0.034
1.5100,0.271,-7.908,-0.007,-0.0715,0.271,0.034
1.5200,0.277,-7.916,0.184,-0.0715,0.277,0.035
1.5300,0.280,-7.911,-0.008,-0.0715,0.280,0.035
1.5400,0.279,-7.894,0.232,-0.0715,0.279,0.035
1.5500,0.273,-7.902,0.166,-0.0715,0.273,0.034
1.5600,0.273,-7.911,-0.008,-0.0715,0.273,0.034
1.5700,0.271,-7.919,0.186,-0.0715,0.271,0.034
1.5800,0.282,-7.913,-0.008,-0.0715,0.282,0.036
1.5900,0.283,-7.897,0.220,-0.0715,0.283,0.036
1.6000,0.269,-7.904,0.171,-0.0711,0.269,0.034
1.6100,0.271,-7.913,-0.007,-0.0710,0.271,0.034
1.6200,0.275,-7.921,0.195,-0.0710,0.275,0.035
1.6300,0.279,-7.916,-0.007,-0.0710,0.279,0.035
1.6400,0.278,-7.900,0.227,-0.0710,0.278,0.035
1.6500,0.273,-7.906,0.174,-0.0710,0.273,0.035
1.6600,0.270,-7.916,-0.008,-0.0710,0.270,0.034
1.6700,0.271,-7.923,0.191,-0.0710,0.271,0.034
1.6800,0.281,-7.919,-0.007,-0.0710,0.281,0.035
1.6900,0.281,-7.902,0.214,-0.0710,0.281,0.036
1.7000,0.270,-7.909,0.180,-0.0706,0.270,0.034
1.7100,0.270,-7.918,-0.007,-0.0705,0.270,0.034
1.7200,0.273,-7.927,0.199,-0.0705,0.273,0.034
