,Material,Descrição,Resistividade,Res. Desv. Pad.,Condutividade,Cond. Desv. Pad.,Condutividade_log,PU,PAni,Grafite
0,GP10,PU + 10% GNP,1247.9606683699387,44.55881519208926,8.013073050660962,2.875173366354939e-05,0.9037991019765704,0.9,0.0,0.1
1,GP4,PU + 4% GNP,25354885477.71779,133668560.73500143,3.944013081340136e-07,2.0794684577470745e-13,-6.404061653278388,0.96,0.0,0.04
2,GP8,PU + 8% GNP,457740986.68825513,4401742.349420498,2.1846415966264584e-05,2.1015480362381222e-11,-4.660619801427926,0.92,0.0,0.08
3,GPP16,"PU + 1,3% GNP + 5,3% PAni",374465938415.5762,16998198714.79713,2.670469854297446e-08,1.2218832642316647e-13,-7.5734123202172805,0.931,0.013,0.053
4,GPP1,"PU + 1,3% GNP + 1,3% PAni",2547840401286.1245,947758040445.1799,3.924892624731164e-09,3.11681357882228e-13,-8.406172219969587,0.974,0.013,0.013
5,GPP22,"PU + 2,6% GNP + 2,6% PAni",11013849970672.37,6034694495074.736,9.079477227879403e-10,3.2450313941208567e-13,-9.041939156278831,0.948,0.026,0.026
6,GPP44,PU + 4% GNP + 4% PAni,9170416275124.814,2414589808666.1562,1.0904630389708122e-09,3.913494688524937e-14,-8.962389050161446,0.92,0.04,0.04
7,GPP61,"PU + 5,3% EG + 1,3% PAni",3593664461587.735,929105492590.9017,2.782674928861291e-09,9.679984163283521e-14,-8.555537524836474,0.931,0.053,0.013
8,G,Grafite expandido prensado,109.50873477440688,0.7213540879489302,91.3169165966575,6.0162153530521464e-05,1.9605512386957167,0.0,0.0,1.0
9,PAni,Polianilina,1500.0574105184448,91.23028324274959,6.666411518572368,4.112809273556714e-05,0.8238921192148282,0.0,1.0,0.0
10,PP10,PU + 10% PAni,12031100.740695184,1353567.9740265568,0.0008311791427508385,9.829189497257449e-09,-3.080305363311645,0.9,0.1,0.0
11,PP20,PU + 20% PAni,870877.3622688231,5066.843878761318,0.011482673029814263,6.681592706150623e-09,-1.939957001574976,0.8,0.2,0.0
12,PP4,PU + 4% PAni,6561297954673.517,1481858885427.5881,1.5240886893236033e-09,4.2809931103060515e-14,-8.816989759923498,0.96,0.04,0.0
13,PP8,PU + 8% PAni,6102501387583.694,717624254055.051,1.638672302532574e-09,2.03511153420252e-14,-8.785507886838898,0.92,0.08,0.0
14,PU,Poliuretano,5847675146436.985,412306799597.8134,1.7100813142968526e-09,1.2292164858596128e-14,-8.766983238431934,1.0,0.0,0.0
