Material,Ensaio,Largura
GP4,01,506.304
GP4,01,494.91216
GP4,01,498.70944
GP4,02,387.32256
GP4,02,384.79104
GP4,02,393.65136
GP4,03,373.3992
GP4,03,374.66496
GP4,03,382.25952
GP4,04,288.59328
GP4,04,294.92208
GP4,04,296.18784
GP4,05,375.93072
GP4,05,372.13344
GP4,05,373.3992
GP4,06,373.3992
GP4,06,375.93072
GP4,06,372.13344
GP4,07,375.93072
GP4,07,370.86768
GP4,07,374.66496
GP4,08,446.81328
GP4,08,441.75024
GP4,08,446.81328
GP4,09,272.1384
GP4,09,274.66992
GP4,09,275.93568
GP4,10,350.61552
GP4,10,350.61552
GP4,10,355.67856
GP4,11,377.19648
GP4,11,370.86768
GP4,11,378.46224
GP4,12,256.94928
GP4,12,244.29167999999999
GP4,12,243.02591999999999
GP4,13,280.99872
GP4,13,282.26448
GP4,13,287.32752
GP4,14,477.19152
GP4,14,479.72304
GP4,14,483.52032
GP4,15,472.12848
GP4,15,478.45728
GP4,15,488.58335999999997
GP4,16,386.0568
GP4,16,386.0568
GP4,16,387.32256
GP4,17,373.3992
GP4,17,370.86768
GP4,17,372.13344
GPP11,01,455.6736
GPP11,01,444.28176
GPP11,01,439.21872
GPP11,02,331.62912
GPP11,02,321.50304
GPP11,02,324.03456
GPP11,03,358.21008
GPP11,03,355.67856
GPP11,03,355.67856
GPP11,04,356.94432
GPP11,04,354.4128
GPP11,04,354.4128
GPP11,05,334.16064
GPP11,05,320.23728
GPP11,05,329.0976
GPP11,06,355.67856
GPP11,06,350.61552
GPP11,06,350.61552
GPP11,07,440.48448
GPP11,07,431.62416
GPP11,07,435.42144
GPP11,08,358.21008
GPP11,08,362.00736
GPP11,08,362.00736
GPP11,09,287.32752
GPP11,09,289.85904
GPP11,09,291.1248
GPP11,10,446.81328
GPP11,10,439.21872
GPP11,10,443.016
GPP11,11,348.084
GPP11,11,345.55248
GPP11,11,363.27312
GPP11,12,274.66992
GPP11,12,274.66992
GPP11,12,277.20144
GPP11,13,280.99872
GPP11,13,280.99872
GPP11,13,278.4672
GPP11,14,260.74656
GPP11,14,262.01232
GPP11,14,260.74656
GPP11,15,356.94432
GPP11,15,353.14704
GPP11,15,356.94432
GPP11,16,439.21872
GPP11,16,435.42144
GPP11,16,448.07904
PP4,01,483.52032
PP4,01,527.82192
PP4,01,596.17296
PP4,02,831.60432
PP4,02,594.9072
PP4,02,745.53264
PP4,03,496.17792
PP4,03,558.20016
PP4,03,697.43376
PP4,04,326.56608
PP4,04,446.81328
PP4,04,479.72304
PP4,05,708.8256
PP4,05,649.33488
PP4,05,559.46592
PP4,06,801.22608
PP4,06,715.1544
PP4,06,624.01968
PP4,07,568.32624
PP4,07,397.44864
PP4,07,646.80336
PP4,08,406.30896
PP4,08,602.50176
PP4,08,331.62912
PU,01,286.06176
PU,01,282.26448
PU,01,280.99872
PU,02,351.88128
PU,02,355.67856
PU,02,358.21008
PU,03,273.40416
PU,03,272.1384
PU,03,273.40416
PU,04,429.09264
PU,04,416.43504
PU,04,422.76384
PU,05,349.34976
PU,05,345.55248
PU,05,349.34976
PU,06,341.7552
PU,06,345.55248
PU,06,354.4128
PU,07,348.084
PU,07,350.61552
PU,07,356.94432
PU,08,351.88128
PU,08,350.61552
PU,08,356.94432
PU,09,443.016
PU,09,429.09264
PU,09,430.3584
PU,10,282.26448
PU,10,277.20144
PU,10,278.4672
PU,11,349.34976
PU,11,343.02096
PU,11,341.7552
PU,12,346.81824
PU,12,339.22368
PU,12,340.48944
PU,13,277.20144
PU,13,274.66992
PU,13,274.66992
PU,14,425.29536
PU,14,425.29536
PU,14,431.62416
PU,15,420.23232
PU,15,421.49808
PU,15,432.88992
PU,16,353.14704
PU,16,350.61552
PU,16,351.88128
