XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20312
649.910264,0.000044
651.838781,0.000018
653.767298,0.000047
655.695815,0.000073
657.624332,0.000066
659.552849,0.000056
661.481366,0.000078
663.409883,0.000127
665.338401,0.000155
667.266918,0.000105
669.195435,0.000054
671.123952,0.000118
673.052469,0.000212
674.980986,0.000243
676.909503,0.000194
678.838020,0.000121
680.766537,0.000099
682.695055,0.000143
684.623572,0.000183
686.552089,0.000143
688.480606,0.000031
690.409123,-0.000053
692.337640,-0.000031
694.266157,0.000051
696.194674,0.000109
698.123191,0.000141
700.051708,0.000212
701.980226,0.000366
703.908743,0.000610
705.837260,0.000946
707.765777,0.001344
709.694294,0.001685
711.622811,0.001814
713.551328,0.001684
715.479845,0.001376
717.408362,0.001000
719.336879,0.000641
721.265397,0.000373
723.193914,0.000233
725.122431,0.000167
727.050948,0.000105
728.979465,0.000045
730.907982,0.000015
732.836499,0.000010
734.765016,0.000015
736.693533,0.000040
738.622051,0.000079
740.550568,0.000078
742.479085,0.000019
744.407602,-0.000036
746.336119,-0.000042
748.264636,-0.000013
750.193153,0.000012
752.121670,0.000005
754.050187,-0.000024
755.978704,-0.000028
757.907222,0.000012
759.835739,0.000053
761.764256,0.000046
763.692773,0.000004
765.621290,-0.000024
767.549807,-0.000020
769.478324,-0.000015
771.406841,-0.000028
773.335358,-0.000028
775.263875,0.000006
777.192393,0.000045
779.120910,0.000046
781.049427,0.000001
782.977944,-0.000059
784.906461,-0.000099
786.834978,-0.000117
788.763495,-0.000126
790.692012,-0.000135
792.620529,-0.000152
794.549047,-0.000171
796.477564,-0.000172
798.406081,-0.000145
800.334598,-0.000119
802.263115,-0.000123
804.191632,-0.000154
806.120149,-0.000184
808.048666,-0.000191
809.977183,-0.000169
811.905700,-0.000148
813.834218,-0.000165
815.762735,-0.000190
817.691252,-0.000169
819.619769,-0.000116
821.548286,-0.000095
823.476803,-0.000122
825.405320,-0.000162
827.333837,-0.000190
829.262354,-0.000193
831.190871,-0.000163
833.119389,-0.000119
835.047906,-0.000096
836.976423,-0.000107
838.904940,-0.000136
840.833457,-0.000158
842.761974,-0.000160
844.690491,-0.000140
846.619008,-0.000110
848.547525,-0.000099
850.476043,-0.000116
852.404560,-0.000135
854.333077,-0.000144
856.261594,-0.000168
858.190111,-0.000201
860.118628,-0.000211
862.047145,-0.000185
863.975662,-0.000138
865.904179,-0.000111
867.832696,-0.000129
869.761214,-0.000162
871.689731,-0.000162
873.618248,-0.000133
875.546765,-0.000113
877.475282,-0.000116
879.403799,-0.000120
881.332316,-0.000113
883.260833,-0.000119
885.189350,-0.000157
887.117867,-0.000200
889.046385,-0.000209
890.974902,-0.000175
892.903419,-0.000129
894.831936,-0.000109
896.760453,-0.000123
898.688970,-0.000140
900.617487,-0.000137
902.546004,-0.000123
904.474521,-0.000114
906.403039,-0.000112
908.331556,-0.000124
910.260073,-0.000142
912.188590,-0.000139
914.117107,-0.000112
916.045624,-0.000096
917.974141,-0.000105
919.902658,-0.000131
921.831175,-0.000152
923.759692,-0.000149
925.688210,-0.000119
927.616727,-0.000093
929.545244,-0.000082
931.473761,-0.000062
933.402278,-0.000023
935.330795,-0.000005
937.259312,-0.000048
939.187829,-0.000113
941.116346,-0.000122
943.044863,-0.000075
944.973381,-0.000037
946.901898,-0.000037
948.830415,-0.000069
950.758932,-0.000118
952.687449,-0.000154
954.615966,-0.000156
956.544483,-0.000135
958.473000,-0.000107
960.401517,-0.000083
962.330034,-0.000070
964.258552,-0.000064
966.187069,-0.000052
968.115586,-0.000031
970.044103,-0.000013
971.972620,-0.000015
973.901137,-0.000029
975.829654,-0.000042
977.758171,-0.000052
979.686688,-0.000058
981.615206,-0.000070
983.543723,-0.000100
985.472240,-0.000136
987.400757,-0.000157
989.329274,-0.000164
991.257791,-0.000167
993.186308,-0.000165
995.114825,-0.000157
997.043342,-0.000155
998.971859,-0.000167
1000.900377,-0.000185
1002.828894,-0.000194
1004.757411,-0.000199
1006.685928,-0.000201
1008.614445,-0.000183
1010.542962,-0.000139
1012.471479,-0.000099
1014.399996,-0.000091
1016.328513,-0.000108
1018.257030,-0.000127
1020.185548,-0.000121
1022.114065,-0.000048
1024.042582,0.000097
1025.971099,0.000221
1027.899616,0.000209
1029.828133,0.000072
1031.756650,-0.000082
1033.685167,-0.000180
1035.613684,-0.000223
1037.542202,-0.000239
1039.470719,-0.000254
1041.399236,-0.000273
1043.327753,-0.000277
1045.256270,-0.000256
1047.184787,-0.000228
1049.113304,-0.000213
1051.041821,-0.000210
1052.970338,-0.000209
1054.898855,-0.000224
1056.827373,-0.000267
1058.755890,-0.000304
1060.684407,-0.000281
1062.612924,-0.000204
1064.541441,-0.000119
1066.469958,-0.000021
1068.398475,0.000104
1070.326992,0.000188
1072.255509,0.000167
1074.184026,0.000071
1076.112544,-0.000028
1078.041061,-0.000080
1079.969578,-0.000109
1081.898095,-0.000200
1083.826612,-0.000338
1085.755129,-0.000402
1087.683646,-0.000349
1089.612163,-0.000230
1091.540680,-0.000069
1093.469198,0.000117
1095.397715,0.000250
1097.326232,0.000250
1099.254749,0.000127
1101.183266,0.000022
1103.111783,0.000120
1105.040300,0.000454
1106.968817,0.000885
1108.897334,0.001283
1110.825851,0.001529
1112.754369,0.001533
1114.682886,0.001379
1116.611403,0.001217
1118.539920,0.001055
1120.468437,0.000821
1122.396954,0.000545
1124.325471,0.000334
1126.253988,0.000221
1128.182505,0.000116
1130.111022,-0.000073
1132.039540,-0.000286
1133.968057,-0.000337
1135.896574,-0.000192
1137.825091,-0.000063
1139.753608,-0.000079
1141.682125,-0.000132
1143.610642,-0.000141
1145.539159,-0.000159
1147.467676,-0.000211
1149.396194,-0.000235
1151.324711,-0.000204
1153.253228,-0.000150
1155.181745,-0.000116
1157.110262,-0.000120
1159.038779,-0.000157
1160.967296,-0.000214
1162.895813,-0.000254
1164.824330,-0.000238
1166.752847,-0.000180
1168.681365,-0.000114
1170.609882,-0.000038
1172.538399,0.000056
1174.466916,0.000136
1176.395433,0.000154
1178.323950,0.000081
1180.252467,-0.000067
1182.180984,-0.000227
1184.109501,-0.000310
1186.038018,-0.000276
1187.966536,-0.000206
1189.895053,-0.000207
1191.823570,-0.000294
1193.752087,-0.000431
1195.680604,-0.000545
1197.609121,-0.000504
1199.537638,-0.000304
1201.466155,-0.000146
1203.394672,-0.000158
1205.323189,-0.000286
1207.251707,-0.000446
1209.180224,-0.000540
1211.108741,-0.000470
1213.037258,-0.000295
1214.965775,-0.000207
1216.894292,-0.000277
1218.822809,-0.000408
1220.751326,-0.000488
1222.679843,-0.000461
1224.608361,-0.000337
1226.536878,-0.000222
1228.465395,-0.000214
1230.393912,-0.000266
1232.322429,-0.000300
1234.250946,-0.000312
1236.179463,-0.000283
1238.107980,-0.000190
1240.036497,-0.000093
1241.965014,-0.000052
1243.893532,-0.000013
1245.822049,0.000082
1247.750566,0.000186
1249.679083,0.000246
1251.607600,0.000282
1253.536117,0.000310
1255.464634,0.000315
1257.393151,0.000335
1259.321668,0.000448
1261.250185,0.000689
1263.178703,0.001063
1265.107220,0.001579
1267.035737,0.002239
1268.964254,0.003019
1270.892771,0.003783
1272.821288,0.004308
1274.749805,0.004471
1276.678322,0.004281
1278.606839,0.003797
1280.535357,0.003172
1282.463874,0.002546
1284.392391,0.001946
1286.320908,0.001387
1288.249425,0.000931
1290.177942,0.000618
1292.106459,0.000410
1294.034976,0.000249
1295.963493,0.000120
1297.892010,0.000029
1299.820528,-0.000028
1301.749045,-0.000049
1303.677562,-0.000032
1305.606079,-0.000008
1307.534596,0.000014
1309.463113,0.000083
1311.391630,0.000244
1313.320147,0.000433
1315.248664,0.000508
1317.177181,0.000404
1319.105699,0.000209
1321.034216,0.000035
1322.962733,-0.000087
1324.891250,-0.000163
1326.819767,-0.000202
1328.748284,-0.000219
1330.676801,-0.000230
1332.605318,-0.000228
1334.533835,-0.000189
1336.462353,-0.000116
1338.390870,-0.000076
1340.319387,-0.000140
1342.247904,-0.000271
1344.176421,-0.000375
1346.104938,-0.000409
1348.033455,-0.000399
1349.961972,-0.000395
1351.890489,-0.000401
1353.819006,-0.000387
1355.747524,-0.000362
1357.676041,-0.000341
1359.604558,-0.000296
1361.533075,-0.000210
1363.461592,-0.000149
1365.390109,-0.000152
1367.318626,-0.000166
1369.247143,-0.000153
1371.175660,-0.000107
1373.104177,-0.000032
1375.032695,0.000030
1376.961212,0.000056
1378.889729,0.000068
1380.818246,0.000071
1382.746763,0.000063
1384.675280,0.000056
1386.603797,0.000028
1388.532314,-0.000044
1390.460831,-0.000113
1392.389349,-0.000134
1394.317866,-0.000117
1396.246383,-0.000115
1398.174900,-0.000177
1400.103417,-0.000270
1402.031934,-0.000334
1403.960451,-0.000380
1405.888968,-0.000445
1407.817485,-0.000495
1409.746002,-0.000481
1411.674520,-0.000436
1413.603037,-0.000405
1415.531554,-0.000369
1417.460071,-0.000311
1419.388588,-0.000286
1421.317105,-0.000324
1423.245622,-0.000370
1425.174139,-0.000393
1427.102656,-0.000392
1429.031173,-0.000382
1430.959691,-0.000379
1432.888208,-0.000377
1434.816725,-0.000351
1436.745242,-0.000322
1438.673759,-0.000329
1440.602276,-0.000336
1442.530793,-0.000300
1444.459310,-0.000200
1446.387827,-0.000018
1448.316344,0.000227
1450.244862,0.000454
1452.173379,0.000621
1454.101896,0.000750
1456.030413,0.000834
1457.958930,0.000754
1459.887447,0.000594
1461.815964,0.000503
1463.744481,0.000439
1465.672998,0.000338
1467.601516,0.000241
1469.530033,0.000212
1471.458550,0.000224
1473.387067,0.000175
1475.315584,0.000035
1477.244101,-0.000113
1479.172618,-0.000234
1481.101135,-0.000320
1483.029652,-0.000353
1484.958169,-0.000318
1486.886687,-0.000223
1488.815204,-0.000147
1490.743721,-0.000169
1492.672238,-0.000211
1494.600755,-0.000206
1496.529272,-0.000185
1498.457789,-0.000211
1500.386306,-0.000269
1502.314823,-0.000286
1504.243340,-0.000184
1506.171858,0.000092
1508.100375,0.000204
1510.028892,-0.000015
1511.957409,-0.000176
1513.885926,-0.000193
1515.814443,-0.000132
1517.742960,-0.000075
1519.671477,-0.000024
1521.599994,0.000020
1523.528512,-0.000015
1525.457029,-0.000113
1527.385546,-0.000217
1529.314063,-0.000279
1531.242580,-0.000269
1533.171097,-0.000212
1535.099614,-0.000173
1537.028131,-0.000117
1538.956648,0.000063
1540.885165,0.000276
1542.813683,0.000144
1544.742200,-0.000146
1546.670717,-0.000355
1548.599234,-0.000455
1550.527751,-0.000473
1552.456268,-0.000433
1554.384785,-0.000344
1556.313302,-0.000219
1558.241819,-0.000208
1560.170336,-0.000418
1562.098854,-0.000559
1564.027371,-0.000589
1565.955888,-0.000586
1567.884405,-0.000614
1569.812922,-0.000686
1571.741439,-0.000726
1573.669956,-0.000681
1575.598473,-0.000607
1577.526990,-0.000625
1579.455508,-0.000693
1581.384025,-0.000711
1583.312542,-0.000688
1585.241059,-0.000677
1587.169576,-0.000703
1589.098093,-0.000745
1591.026610,-0.000766
1592.955127,-0.000758
1594.883644,-0.000739
1596.812161,-0.000702
1598.740679,-0.000615
1600.669196,-0.000499
1602.597713,-0.000425
1604.526230,-0.000429
1606.454747,-0.000491
1608.383264,-0.000585
1610.311781,-0.000667
1612.240298,-0.000681
1614.168815,-0.000629
1616.097332,-0.000572
1618.025850,-0.000564
1619.954367,-0.000568
1621.882884,-0.000565
1623.811401,-0.000599
1625.739918,-0.000683
1627.668435,-0.000768
1629.596952,-0.000817
1631.525469,-0.000808
1633.453986,-0.000724
1635.382504,-0.000608
1637.311021,-0.000625
1639.239538,-0.000735
1641.168055,-0.000785
1643.096572,-0.000722
1645.025089,-0.000542
1646.953606,-0.000365
1648.882123,-0.000352
1650.810640,-0.000401
1652.739157,-0.000457
1654.667675,-0.000586
1656.596192,-0.000701
1658.524709,-0.000740
1660.453226,-0.000711
1662.381743,-0.000674
1664.310260,-0.000688
1666.238777,-0.000690
1668.167294,-0.000625
1670.095811,-0.000552
1672.024328,-0.000556
1673.952846,-0.000594
1675.881363,-0.000616
1677.809880,-0.000604
1679.738397,-0.000549
1681.666914,-0.000459
1683.595431,-0.000387
1685.523948,-0.000416
1687.452465,-0.000499
1689.380982,-0.000572
1691.309500,-0.000600
1693.238017,-0.000537
1695.166534,-0.000345
1697.095051,-0.000101
1699.023568,0.000001
1700.952085,-0.000011
1702.880602,0.000012
1704.809119,0.000067
1706.737636,0.000134
1708.666153,0.000274
1710.594671,0.000550
1712.523188,0.000997
1714.451705,0.001745
1716.380222,0.002961
1718.308739,0.004115
1720.237256,0.004650
1722.165773,0.004789
1724.094290,0.004622
1726.022807,0.004121
1727.951324,0.003379
1729.879842,0.002556
1731.808359,0.001746
1733.736876,0.000948
1735.665393,0.000365
1737.593910,0.000090
1739.522427,-0.000033
1741.450944,-0.000104
1743.379461,-0.000148
1745.307978,-0.000172
1747.236495,-0.000207
1749.165013,-0.000345
1751.093530,-0.000570
1753.022047,-0.000717
1754.950564,-0.000754
1756.879081,-0.000749
1758.807598,-0.000745
1760.736115,-0.000754
1762.664632,-0.000793
1764.593149,-0.000848
1766.521667,-0.000874
1768.450184,-0.000841
1770.378701,-0.000761
1772.307218,-0.000709
1774.235735,-0.000741
1776.164252,-0.000790
1778.092769,-0.000808
1780.021286,-0.000828
1781.949803,-0.000878
1783.878320,-0.000936
1785.806838,-0.000970
1787.735355,-0.000957
1789.663872,-0.000881
1791.592389,-0.000798
1793.520906,-0.000809
1795.449423,-0.000882
1797.377940,-0.000932
1799.306457,-0.000940
1801.234974,-0.000957
1803.163491,-0.001028
1805.092009,-0.001101
1807.020526,-0.001102
1808.949043,-0.001037
1810.877560,-0.000998
1812.806077,-0.001036
1814.734594,-0.001104
1816.663111,-0.001155
1818.591628,-0.001170
1820.520145,-0.001148
1822.448663,-0.001110
1824.377180,-0.001072
1826.305697,-0.001036
1828.234214,-0.001019
1830.162731,-0.001052
1832.091248,-0.001126
1834.019765,-0.001184
1835.948282,-0.001199
1837.876799,-0.001180
1839.805316,-0.001131
1841.733834,-0.001053
1843.662351,-0.000987
1845.590868,-0.001010
1847.519385,-0.001109
1849.447902,-0.001210
1851.376419,-0.001269
1853.304936,-0.001282
1855.233453,-0.001280
1857.161970,-0.001281
1859.090487,-0.001266
1861.019005,-0.001233
1862.947522,-0.001210
1864.876039,-0.001193
1866.804556,-0.001168
1868.733073,-0.001175
1870.661590,-0.001232
1872.590107,-0.001288
1874.518624,-0.001316
1876.447141,-0.001324
1878.375659,-0.001314
1880.304176,-0.001286
1882.232693,-0.001261
1884.161210,-0.001259
1886.089727,-0.001268
1888.018244,-0.001263
1889.946761,-0.001253
1891.875278,-0.001253
1893.803795,-0.001254
1895.732312,-0.001266
1897.660830,-0.001300
1899.589347,-0.001328
1901.517864,-0.001343
1903.446381,-0.001355
1905.374898,-0.001346
1907.303415,-0.001310
1909.231932,-0.001292
1911.160449,-0.001311
1913.088966,-0.001322
1915.017483,-0.001300
1916.946001,-0.001270
1918.874518,-0.001251
1920.803035,-0.001241
1922.731552,-0.001248
1924.660069,-0.001287
1926.588586,-0.001335
1928.517103,-0.001359
1930.445620,-0.001364
1932.374137,-0.001381
1934.302655,-0.001420
1936.231172,-0.001454
1938.159689,-0.001445
1940.088206,-0.001388
1942.016723,-0.001332
1943.945240,-0.001331
1945.873757,-0.001374
1947.802274,-0.001418
1949.730791,-0.001441
1951.659308,-0.001445
1953.587826,-0.001439
1955.516343,-0.001424
1957.444860,-0.001402
1959.373377,-0.001390
1961.301894,-0.001404
1963.230411,-0.001431
1965.158928,-0.001450
1967.087445,-0.001463
1969.015962,-0.001484
1970.944479,-0.001505
1972.872997,-0.001514
1974.801514,-0.001516
1976.730031,-0.001521
1978.658548,-0.001529
1980.587065,-0.001533
1982.515582,-0.001527
1984.444099,-0.001507
1986.372616,-0.001468
1988.301133,-0.001419
1990.229650,-0.001393
1992.158168,-0.001416
1994.086685,-0.001466
1996.015202,-0.001500
1997.943719,-0.001514
1999.872236,-0.001535
2001.800753,-0.001569
2003.729270,-0.001588
2005.657787,-0.001584
2007.586304,-0.001567
2009.514822,-0.001547
2011.443339,-0.001532
2013.371856,-0.001533
2015.300373,-0.001541
2017.228890,-0.001553
2019.157407,-0.001585
2021.085924,-0.001622
2023.014441,-0.001636
2024.942958,-0.001636
2026.871475,-0.001651
2028.799993,-0.001669
2030.728510,-0.001668
2032.657027,-0.001652
2034.585544,-0.001642
2036.514061,-0.001639
2038.442578,-0.001629
2040.371095,-0.001615
2042.299612,-0.001610
2044.228129,-0.001617
2046.156646,-0.001625
2048.085164,-0.001629
2050.013681,-0.001628
2051.942198,-0.001633
2053.870715,-0.001655
2055.799232,-0.001679
2057.727749,-0.001677
2059.656266,-0.001650
