XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
399.203040,58.551621
401.131557,73.419937
403.060075,93.743256
404.988592,103.869241
406.917109,106.387342
408.845626,108.101802
410.774143,105.821303
412.702660,97.699095
414.631177,90.588547
416.559694,89.087058
418.488211,97.833847
420.416728,122.969231
422.345246,143.237313
424.273763,138.754582
426.202280,123.427579
428.130797,115.374925
430.059314,116.047809
431.987831,116.024562
433.916348,110.206537
435.844865,107.184611
437.773382,111.862424
439.701900,123.701158
441.630417,142.552104
443.558934,151.152888
445.487451,131.175542
447.415968,105.351702
449.344485,93.755700
451.273002,95.337014
453.201519,102.696675
455.130036,112.549104
457.058553,128.894051
458.987071,151.090482
460.915588,163.242481
462.844105,153.860677
464.772622,131.465564
466.701139,113.500255
468.629656,111.296479
470.558173,120.119893
472.486690,117.958473
474.415207,100.765883
476.343724,91.841617
478.272242,97.781562
480.200759,109.707192
482.129276,114.505947
484.057793,111.272497
485.986310,108.559512
487.914827,112.442604
489.843344,121.440790
491.771861,128.020558
493.700378,129.576417
495.628896,127.171983
497.557413,120.015214
499.485930,111.792934
501.414447,108.920027
503.342964,112.059357
505.271481,115.312936
507.199998,114.687262
509.128515,112.469678
511.057032,113.376798
512.985549,117.159498
514.914067,118.817249
516.842584,117.171639
518.771101,116.835398
520.699618,117.028501
522.628135,114.960901
524.556652,115.107261
526.485169,119.003307
528.413686,119.731819
530.342203,116.530765
532.270720,115.655800
534.199238,118.142699
536.127755,121.908495
538.056272,126.055910
539.984789,128.160522
541.913306,126.192540
543.841823,121.848022
545.770340,117.700151
547.698857,116.055793
549.627374,116.531528
551.555892,116.553142
553.484409,117.137098
555.412926,119.700418
557.341443,120.456115
559.269960,116.769028
561.198477,112.728064
563.126994,113.536810
565.055511,120.236312
566.984028,127.622289
568.912545,128.856148
570.841063,124.538423
572.769580,119.951253
574.698097,117.842600
576.626614,118.061272
578.555131,118.525346
580.483648,117.800432
582.412165,116.602400
584.340682,115.346890
586.269199,113.939664
588.197716,113.377152
590.126234,114.595238
592.054751,117.436321
593.983268,121.002606
595.911785,122.748791
597.840302,119.671630
599.768819,114.583280
601.697336,114.351646
603.625853,119.176126
605.554370,122.905862
607.482888,123.094097
609.411405,122.680024
611.339922,122.623727
613.268439,122.079782
615.196956,120.957487
617.125473,118.580669
619.053990,115.364423
620.982507,113.829616
622.911024,115.000899
624.839541,116.416774
626.768059,115.181633
628.696576,112.452791
630.625093,111.304568
632.553610,112.311145
634.482127,114.332641
636.410644,117.161817
638.339161,120.360860
640.267678,121.504162
642.196195,119.566088
644.124712,117.208767
646.053230,116.654306
647.981747,116.678826
649.910264,115.562374
651.838781,113.862748
653.767298,112.827367
655.695815,113.035489
657.624332,114.736206
659.552849,117.208893
661.481366,118.683494
663.409883,118.316491
665.338401,117.100169
667.266918,116.930150
669.195435,118.688944
671.123952,119.921862
673.052469,119.003173
674.980986,116.342116
676.909503,114.058531
678.838020,113.926532
680.766537,114.398619
682.695055,113.693238
684.623572,113.079426
686.552089,113.974327
688.480606,115.417072
690.409123,115.904317
692.337640,115.338744
694.266157,114.405132
696.194674,113.648397
698.123191,113.584255
700.051708,114.729399
701.980226,116.845306
703.908743,118.185550
705.837260,117.204416
707.765777,115.011357
709.694294,113.723031
711.622811,113.556076
713.551328,113.677855
715.479845,114.261910
717.408362,116.058946
719.336879,118.592660
