XLabel,Wavenumber
YLabel,Response
FileType,Single Beam
DisplayDirection,20300
PeakDirection,20312
0.000000,-0.000252
1.928517,-0.000182
3.857034,-0.000031
5.785551,0.000091
7.714068,0.000143
9.642586,0.000186
11.571103,0.000285
13.499620,0.000365
15.428137,0.000328
17.356654,0.000224
19.285171,0.000165
21.213688,0.000214
23.142205,0.000319
25.070722,0.000405
26.999239,0.000434
28.927757,0.000362
30.856274,0.000276
32.784791,0.000276
34.713308,0.000274
36.641825,0.000258
38.570342,0.000310
40.498859,0.000344
42.427376,0.000286
44.355893,0.000250
46.284410,0.000288
48.212928,0.000352
50.141445,0.000400
52.069962,0.000398
53.998479,0.000329
55.926996,0.000222
57.855513,0.000171
59.784030,0.000174
61.712547,0.000145
63.641064,0.000097
65.569582,0.000138
67.498099,0.000254
69.426616,0.000286
71.355133,0.000310
73.283650,0.000402
75.212167,0.000368
77.140684,0.000183
79.069201,0.000032
80.997718,-0.000000
82.926235,0.000069
84.854753,0.000187
86.783270,0.000229
88.711787,0.000105
90.640304,-0.000071
92.568821,-0.000132
94.497338,-0.000069
96.425855,-0.000022
98.354372,-0.000042
100.282889,-0.000035
102.211406,0.000011
104.139924,0.000029
106.068441,0.000005
107.996958,-0.000010
109.925475,-0.000019
111.853992,-0.000077
113.782509,-0.000158
115.711026,-0.000166
117.639543,-0.000013
119.568060,0.000162
121.496578,0.000160
123.425095,0.000103
125.353612,0.000125
127.282129,0.000152
129.210646,0.000166
131.139163,0.000156
133.067680,0.000086
134.996197,0.000045
136.924714,0.000077
138.853231,0.000096
140.781749,0.000077
142.710266,0.000043
144.638783,0.000046
146.567300,0.000116
148.495817,0.000133
150.424334,0.000063
152.352851,0.000030
154.281368,0.000043
156.209885,0.000066
158.138402,0.000046
160.066920,-0.000071
161.995437,-0.000182
163.923954,-0.000170
165.852471,-0.000066
167.780988,0.000089
169.709505,0.000222
171.638022,0.000207
173.566539,0.000054
175.495056,-0.000079
177.423573,-0.000076
179.352091,-0.000002
181.280608,0.000048
183.209125,0.000113
185.137642,0.000218
187.066159,0.000269
188.994676,0.000220
190.923193,0.000144
192.851710,0.000106
194.780227,0.000098
196.708745,0.000056
198.637262,-0.000004
200.565779,0.000043
202.494296,0.000143
204.422813,0.000153
206.351330,0.000088
208.279847,0.000040
210.208364,0.000059
212.136881,0.000043
214.065398,-0.000047
215.993916,-0.000082
217.922433,-0.000024
219.850950,0.000008
221.779467,-0.000049
223.707984,-0.000074
225.636501,0.000001
227.565018,0.000077
229.493535,0.000114
231.422052,0.000137
233.350569,0.000138
235.279087,0.000122
237.207604,0.000120
239.136121,0.000111
241.064638,0.000066
242.993155,0.000003
244.921672,-0.000052
246.850189,-0.000094
248.778706,-0.000098
250.707223,-0.000035
252.635741,0.000062
254.564258,0.000157
256.492775,0.000193
258.421292,0.000162
260.349809,0.000150
262.278326,0.000132
264.206843,0.000053
266.135360,0.000036
268.063877,0.000122
269.992394,0.000178
271.920912,0.000160
273.849429,0.000107
275.777946,0.000076
277.706463,0.000136
279.634980,0.000206
281.563497,0.000159
283.492014,0.000079
285.420531,0.000091
287.349048,0.000140
