XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20312
649.910264,-0.000281
651.838781,-0.000283
653.767298,-0.000236
655.695815,-0.000193
657.624332,-0.000191
659.552849,-0.000208
661.481366,-0.000196
663.409883,-0.000142
665.338401,-0.000107
667.266918,-0.000165
669.195435,-0.000238
671.123952,-0.000200
673.052469,-0.000122
674.980986,-0.000091
676.909503,-0.000120
678.838020,-0.000180
680.766537,-0.000209
682.695055,-0.000172
684.623572,-0.000105
686.552089,-0.000080
688.480606,-0.000131
690.409123,-0.000209
692.337640,-0.000232
694.266157,-0.000181
696.194674,-0.000123
698.123191,-0.000091
700.051708,-0.000037
701.980226,0.000111
703.908743,0.000407
705.837260,0.000894
707.765777,0.001519
709.694294,0.002069
711.622811,0.002305
713.551328,0.002150
715.479845,0.001718
717.408362,0.001189
719.336879,0.000698
721.265397,0.000331
723.193914,0.000113
725.122431,-0.000001
727.050948,-0.000075
728.979465,-0.000131
730.907982,-0.000167
732.836499,-0.000184
734.765016,-0.000180
736.693533,-0.000155
738.622051,-0.000142
740.550568,-0.000177
742.479085,-0.000236
744.407602,-0.000267
746.336119,-0.000255
748.264636,-0.000233
750.193153,-0.000239
752.121670,-0.000282
754.050187,-0.000329
755.978704,-0.000341
757.907222,-0.000313
759.835739,-0.000275
761.764256,-0.000266
763.692773,-0.000293
765.621290,-0.000315
767.549807,-0.000312
769.478324,-0.000312
771.406841,-0.000330
773.335358,-0.000331
775.263875,-0.000299
777.192393,-0.000275
779.120910,-0.000296
781.049427,-0.000350
782.977944,-0.000396
784.906461,-0.000408
786.834978,-0.000391
788.763495,-0.000370
790.692012,-0.000363
792.620529,-0.000385
794.549047,-0.000424
796.477564,-0.000440
798.406081,-0.000415
800.334598,-0.000394
802.263115,-0.000424
804.191632,-0.000487
806.120149,-0.000525
808.048666,-0.000517
809.977183,-0.000491
811.905700,-0.000491
813.834218,-0.000535
815.762735,-0.000588
817.691252,-0.000600
819.619769,-0.000559
821.548286,-0.000510
823.476803,-0.000500
825.405320,-0.000517
827.333837,-0.000515
829.262354,-0.000488
831.190871,-0.000462
833.119389,-0.000453
835.047906,-0.000461
836.976423,-0.000478
838.904940,-0.000478
840.833457,-0.000448
842.761974,-0.000412
844.690491,-0.000394
846.619008,-0.000397
848.547525,-0.000423
850.476043,-0.000461
852.404560,-0.000482
854.333077,-0.000486
856.261594,-0.000493
858.190111,-0.000495
860.118628,-0.000475
862.047145,-0.000451
863.975662,-0.000459
865.904179,-0.000508
867.832696,-0.000569
869.761214,-0.000591
871.689731,-0.000554
873.618248,-0.000502
875.546765,-0.000487
877.475282,-0.000509
879.403799,-0.000531
881.332316,-0.000530
883.260833,-0.000523
885.189350,-0.000524
887.117867,-0.000527
889.046385,-0.000513
890.974902,-0.000487
892.903419,-0.000464
894.831936,-0.000454
896.760453,-0.000461
898.688970,-0.000490
900.617487,-0.000535
902.546004,-0.000556
904.474521,-0.000527
906.403039,-0.000487
908.331556,-0.000484
910.260073,-0.000508
912.188590,-0.000508
914.117107,-0.000471
916.045624,-0.000440
917.974141,-0.000451
919.902658,-0.000499
921.831175,-0.000550
923.759692,-0.000568
925.688210,-0.000548
927.616727,-0.000517
929.545244,-0.000493
931.473761,-0.000458
933.402278,-0.000398
935.330795,-0.000349
937.259312,-0.000356
939.187829,-0.000404
941.116346,-0.000441
943.044863,-0.000457
944.973381,-0.000470
946.901898,-0.000479
948.830415,-0.000477
950.758932,-0.000484
952.687449,-0.000508
954.615966,-0.000522
956.544483,-0.000504
958.473000,-0.000463
960.401517,-0.000416
962.330034,-0.000385
964.258552,-0.000376
966.187069,-0.000376
968.115586,-0.000378
970.044103,-0.000394
971.972620,-0.000420
973.901137,-0.000431
975.829654,-0.000424
977.758171,-0.000420
979.686688,-0.000435
981.615206,-0.000466
983.543723,-0.000504
985.472240,-0.000529
987.400757,-0.000540
989.329274,-0.000557
991.257791,-0.000579
993.186308,-0.000588
995.114825,-0.000582
997.043342,-0.000577
998.971859,-0.000583
1000.900377,-0.000596
1002.828894,-0.000616
1004.757411,-0.000644
1006.685928,-0.000677
1008.614445,-0.000687
1010.542962,-0.000661
1012.471479,-0.000624
1014.399996,-0.000605
1016.328513,-0.000601
1018.257030,-0.000597
1020.185548,-0.000572
1022.114065,-0.000480
1024.042582,-0.000304
1025.971099,-0.000137
1027.899616,-0.000127
1029.828133,-0.000293
1031.756650,-0.000505
1033.685167,-0.000651
1035.613684,-0.000717
1037.542202,-0.000736
1039.470719,-0.000731
1041.399236,-0.000719
1043.327753,-0.000725
1045.256270,-0.000758
1047.184787,-0.000793
1049.113304,-0.000800
1051.041821,-0.000787
1052.970338,-0.000775
1054.898855,-0.000781
1056.827373,-0.000808
1058.755890,-0.000822
1060.684407,-0.000763
1062.612924,-0.000635
1064.541441,-0.000483
1066.469958,-0.000307
1068.398475,-0.000112
1070.326992,-0.000013
1072.255509,-0.000120
1074.184026,-0.000366
1076.112544,-0.000592
1078.041061,-0.000700
1079.969578,-0.000713
1081.898095,-0.000717
1083.826612,-0.000737
1085.755129,-0.000731
1087.683646,-0.000698
1089.612163,-0.000644
1091.540680,-0.000533
1093.469198,-0.000355
1095.397715,-0.000170
1097.326232,-0.000047
1099.254749,0.000006
1101.183266,0.000038
1103.111783,0.000141
1105.040300,0.000385
1106.968817,0.000767
1108.897334,0.001200
1110.825851,0.001530
1112.754369,0.001671
1114.682886,0.001668
1116.611403,0.001567
1118.539920,0.001337
1120.468437,0.000969
1122.396954,0.000542
1124.325471,0.000164
1126.253988,-0.000110
1128.182505,-0.000296
1130.111022,-0.000444
1132.039540,-0.000555
1133.968057,-0.000565
1135.896574,-0.000490
1137.825091,-0.000457
1139.753608,-0.000507
1141.682125,-0.000557
1143.610642,-0.000562
1145.539159,-0.000565
1147.467676,-0.000599
1149.396194,-0.000639
1151.324711,-0.000651
1153.253228,-0.000625
1155.181745,-0.000590
1157.110262,-0.000593
1159.038779,-0.000636
1160.967296,-0.000688
1162.895813,-0.000728
1164.824330,-0.000732
1166.752847,-0.000686
1168.681365,-0.000610
1170.609882,-0.000505
1172.538399,-0.000359
1174.466916,-0.000229
1176.395433,-0.000219
1178.323950,-0.000351
1180.252467,-0.000535
1182.180984,-0.000679
1184.109501,-0.000763
1186.038018,-0.000799
1187.966536,-0.000808
1189.895053,-0.000822
1191.823570,-0.000857
1193.752087,-0.000922
1195.680604,-0.000993
1197.609121,-0.000984
1199.537638,-0.000899
1201.466155,-0.000869
1203.394672,-0.000922
1205.323189,-0.000947
1207.251707,-0.000924
1209.180224,-0.000931
1211.108741,-0.000968
1213.037258,-0.000962
1214.965775,-0.000903
1216.894292,-0.000863
1218.822809,-0.000882
1220.751326,-0.000918
1222.679843,-0.000936
1224.608361,-0.000947
1226.536878,-0.000965
1228.465395,-0.000974
1230.393912,-0.000944
1232.322429,-0.000871
1234.250946,-0.000798
1236.179463,-0.000754
1238.107980,-0.000718
1240.036497,-0.000635
1241.965014,-0.000475
1243.893532,-0.000284
1245.822049,-0.000135
1247.750566,-0.000053
1249.679083,-0.000011
1251.607600,0.000023
1253.536117,0.000063
1255.464634,0.000115
1257.393151,0.000207
1259.321668,0.000377
1261.250185,0.000665
1263.178703,0.001139
1265.107220,0.001876
1267.035737,0.002881
1268.964254,0.004039
1270.892771,0.005118
1272.821288,0.005858
1274.749805,0.006121
1276.678322,0.005903
1278.606839,0.005290
1280.535357,0.004439
1282.463874,0.003509
1284.392391,0.002613
1286.320908,0.001843
1288.249425,0.001247
1290.177942,0.000812
1292.106459,0.000498
1294.034976,0.000264
1295.963493,0.000069
1297.892010,-0.000096
1299.820528,-0.000225
1301.749045,-0.000312
1303.677562,-0.000355
1305.606079,-0.000365
1307.534596,-0.000332
1309.463113,-0.000192
1311.391630,0.000084
1313.320147,0.000376
1315.248664,0.000474
1317.177181,0.000316
1319.105699,0.000031
1321.034216,-0.000229
1322.962733,-0.000415
1324.891250,-0.000541
1326.819767,-0.000621
1328.748284,-0.000681
1330.676801,-0.000743
1332.605318,-0.000778
1334.533835,-0.000735
1336.462353,-0.000611
1338.390870,-0.000509
1340.319387,-0.000570
1342.247904,-0.000741
1344.176421,-0.000865
1346.104938,-0.000905
1348.033455,-0.000908
1349.961972,-0.000904
1351.890489,-0.000890
1353.819006,-0.000872
1355.747524,-0.000876
1357.676041,-0.000873
1359.604558,-0.000799
1361.533075,-0.000674
1363.461592,-0.000614
1365.390109,-0.000623
1367.318626,-0.000618
1369.247143,-0.000586
1371.175660,-0.000525
1373.104177,-0.000422
1375.032695,-0.000331
1376.961212,-0.000289
1378.889729,-0.000263
1380.818246,-0.000252
1382.746763,-0.000258
1384.675280,-0.000254
1386.603797,-0.000263
1388.532314,-0.000346
1390.460831,-0.000454
1392.389349,-0.000497
1394.317866,-0.000475
1396.246383,-0.000480
1398.174900,-0.000592
1400.103417,-0.000752
1402.031934,-0.000849
1403.960451,-0.000883
1405.888968,-0.000927
1407.817485,-0.000984
1409.746002,-0.001013
1411.674520,-0.001021
1413.603037,-0.001004
1415.531554,-0.000912
1417.460071,-0.000766
1419.388588,-0.000721
1421.317105,-0.000819
1423.245622,-0.000933
1425.174139,-0.001002
1427.102656,-0.001006
1429.031173,-0.000958
1430.959691,-0.000915
1432.888208,-0.000883
1434.816725,-0.000825
1436.745242,-0.000787
1438.673759,-0.000829
1440.602276,-0.000869
1442.530793,-0.000837
1444.459310,-0.000699
1446.387827,-0.000426
1448.316344,-0.000049
1450.244862,0.000305
1452.173379,0.000571
1454.101896,0.000787
1456.030413,0.000928
1457.958930,0.000777
1459.887447,0.000504
1461.815964,0.000383
1463.744481,0.000353
1465.672998,0.000282
1467.601516,0.000186
1469.530033,0.000174
1471.458550,0.000222
1473.387067,0.000095
1475.315584,-0.000272
1477.244101,-0.000597
1479.172618,-0.000780
1481.101135,-0.000869
1483.029652,-0.000888
1484.958169,-0.000796
1486.886687,-0.000570
1488.815204,-0.000362
1490.743721,-0.000411
1492.672238,-0.000562
1494.600755,-0.000622
1496.529272,-0.000630
1498.457789,-0.000680
1500.386306,-0.000730
1502.314823,-0.000682
1504.243340,-0.000435
1506.171858,0.000067
1508.100375,0.000216
1510.028892,-0.000193
1511.957409,-0.000485
1513.885926,-0.000522
1515.814443,-0.000397
1517.742960,-0.000259
1519.671477,-0.000150
1521.599994,-0.000074
1523.528512,-0.000145
1525.457029,-0.000347
1527.385546,-0.000563
1529.314063,-0.000692
1531.242580,-0.000699
1533.171097,-0.000654
1535.099614,-0.000629
1537.028131,-0.000527
1538.956648,-0.000180
1540.885165,0.000209
1542.813683,-0.000007
1544.742200,-0.000471
1546.670717,-0.000790
1548.599234,-0.000933
1550.527751,-0.000952
1552.456268,-0.000870
1554.384785,-0.000678
1556.313302,-0.000407
1558.241819,-0.000313
1560.170336,-0.000653
1562.098854,-0.000950
1564.027371,-0.001075
1565.955888,-0.001097
1567.884405,-0.001086
1569.812922,-0.001137
1571.741439,-0.001205
1573.669956,-0.001163
1575.598473,-0.001077
1577.526990,-0.001162
1579.455508,-0.001333
1581.384025,-0.001414
1583.312542,-0.001414
1585.241059,-0.001406
1587.169576,-0.001433
1589.098093,-0.001490
1591.026610,-0.001532
1592.955127,-0.001530
1594.883644,-0.001496
1596.812161,-0.001437
1598.740679,-0.001314
1600.669196,-0.001137
1602.597713,-0.001012
1604.526230,-0.001001
1606.454747,-0.001052
1608.383264,-0.001129
1610.311781,-0.001219
1612.240298,-0.001251
1614.168815,-0.001179
1616.097332,-0.001086
1618.025850,-0.001093
1619.954367,-0.001118
1621.882884,-0.001098
1623.811401,-0.001132
1625.739918,-0.001258
1627.668435,-0.001389
1629.596952,-0.001458
1631.525469,-0.001430
1633.453986,-0.001270
1635.382504,-0.001052
1637.311021,-0.001074
1639.239538,-0.001273
1641.168055,-0.001379
1643.096572,-0.001284
1645.025089,-0.000970
1646.953606,-0.000659
1648.882123,-0.000626
1650.810640,-0.000688
1652.739157,-0.000807
1654.667675,-0.001128
1656.596192,-0.001393
1658.524709,-0.001493
1660.453226,-0.001468
1662.381743,-0.001408
1664.310260,-0.001385
1666.238777,-0.001307
1668.167294,-0.001099
1670.095811,-0.000922
1672.024328,-0.000955
1673.952846,-0.001077
1675.881363,-0.001154
1677.809880,-0.001133
1679.738397,-0.001004
1681.666914,-0.000800
1683.595431,-0.000655
1685.523948,-0.000757
1687.452465,-0.000967
1689.380982,-0.001131
1691.309500,-0.001192
1693.238017,-0.001083
1695.166534,-0.000766
1697.095051,-0.000379
1699.023568,-0.000224
1700.952085,-0.000276
1702.880602,-0.000299
1704.809119,-0.000277
1706.737636,-0.000247
1708.666153,-0.000104
1710.594671,0.000285
1712.523188,0.001004
1714.451705,0.002228
1716.380222,0.004104
1718.308739,0.005751
1720.237256,0.006444
1722.165773,0.006574
1724.094290,0.006272
1726.022807,0.005519
1727.951324,0.004469
1729.879842,0.003349
1731.808359,0.002264
1733.736876,0.001177
1735.665393,0.000337
1737.593910,-0.000090
1739.522427,-0.000301
1741.450944,-0.000442
1743.379461,-0.000528
1745.307978,-0.000540
1747.236495,-0.000530
1749.165013,-0.000678
1751.093530,-0.001028
1753.022047,-0.001314
1754.950564,-0.001418
1756.879081,-0.001425
1758.807598,-0.001426
1760.736115,-0.001457
1762.664632,-0.001521
1764.593149,-0.001571
1766.521667,-0.001540
1768.450184,-0.001413
1770.378701,-0.001254
1772.307218,-0.001231
1774.235735,-0.001393
1776.164252,-0.001546
1778.092769,-0.001598
1780.021286,-0.001607
1781.949803,-0.001643
1783.878320,-0.001708
1785.806838,-0.001753
1787.735355,-0.001710
1789.663872,-0.001545
1791.592389,-0.001377
1793.520906,-0.001396
1795.449423,-0.001523
1797.377940,-0.001600
1799.306457,-0.001638
1801.234974,-0.001723
1803.163491,-0.001856
1805.092009,-0.001944
1807.020526,-0.001931
1808.949043,-0.001861
1810.877560,-0.001853
1812.806077,-0.001951
1814.734594,-0.002063
1816.663111,-0.002113
1818.591628,-0.002104
1820.520145,-0.002052
1822.448663,-0.001965
1824.377180,-0.001868
1826.305697,-0.001794
1828.234214,-0.001783
1830.162731,-0.001884
1832.091248,-0.002040
1834.019765,-0.002135
1835.948282,-0.002156
1837.876799,-0.002141
1839.805316,-0.002075
1841.733834,-0.001937
1843.662351,-0.001815
1845.590868,-0.001850
1847.519385,-0.001999
1849.447902,-0.002141
1851.376419,-0.002233
1853.304936,-0.002277
1855.233453,-0.002288
1857.161970,-0.002268
1859.090487,-0.002224
1861.019005,-0.002190
1862.947522,-0.002164
1864.876039,-0.002088
1866.804556,-0.001954
1868.733073,-0.001925
1870.661590,-0.002088
1872.590107,-0.002268
1874.518624,-0.002352
1876.447141,-0.002364
1878.375659,-0.002350
1880.304176,-0.002333
1882.232693,-0.002331
1884.161210,-0.002349
1886.089727,-0.002344
1888.018244,-0.002293
1889.946761,-0.002247
1891.875278,-0.002249
1893.803795,-0.002272
1895.732312,-0.002315
1897.660830,-0.002378
1899.589347,-0.002414
1901.517864,-0.002399
1903.446381,-0.002357
1905.374898,-0.002306
1907.303415,-0.002267
1909.231932,-0.002284
1911.160449,-0.002361
1913.088966,-0.002416
1915.017483,-0.002390
1916.946001,-0.002308
1918.874518,-0.002235
1920.803035,-0.002205
1922.731552,-0.002245
1924.660069,-0.002350
1926.588586,-0.002440
1928.517103,-0.002464
1930.445620,-0.002454
1932.374137,-0.002459
1934.302655,-0.002485
1936.231172,-0.002507
1938.159689,-0.002493
1940.088206,-0.002432
1942.016723,-0.002363
1943.945240,-0.002356
1945.873757,-0.002414
1947.802274,-0.002491
1949.730791,-0.002555
1951.659308,-0.002586
1953.587826,-0.002582
1955.516343,-0.002556
1957.444860,-0.002533
1959.373377,-0.002525
1961.301894,-0.002524
1963.230411,-0.002504
1965.158928,-0.002465
1967.087445,-0.002460
1969.015962,-0.002521
1970.944479,-0.002601
1972.872997,-0.002652
1974.801514,-0.002678
1976.730031,-0.002693
1978.658548,-0.002691
1980.587065,-0.002675
1982.515582,-0.002663
1984.444099,-0.002661
1986.372616,-0.002637
1988.301133,-0.002575
1990.229650,-0.002519
1992.158168,-0.002527
1994.086685,-0.002590
1996.015202,-0.002642
1997.943719,-0.002659
1999.872236,-0.002674
2001.800753,-0.002717
2003.729270,-0.002773
2005.657787,-0.002806
2007.586304,-0.002800
2009.514822,-0.002779
2011.443339,-0.002760
2013.371856,-0.002728
2015.300373,-0.002689
2017.228890,-0.002691
2019.157407,-0.002749
2021.085924,-0.002811
2023.014441,-0.002841
2024.942958,-0.002852
2026.871475,-0.002866
2028.799993,-0.002877
2030.728510,-0.002864
2032.657027,-0.002836
2034.585544,-0.002832
2036.514061,-0.002850
2038.442578,-0.002857
2040.371095,-0.002839
2042.299612,-0.002819
2044.228129,-0.002819
2046.156646,-0.002830
