XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20312
399.203040,-0.120251
401.131557,-0.120251
403.060075,-0.120251
404.988592,-0.120251
406.917109,-0.120251
408.845626,-0.120251
410.774143,-0.120251
412.702660,-0.120251
414.631177,-0.120251
416.559694,-0.120251
418.488211,-0.120251
420.416728,-0.120251
422.345246,-0.120251
424.273763,-0.120251
426.202280,-0.120251
428.130797,-0.120251
430.059314,-0.120251
431.987831,-0.120251
433.916348,-0.120251
435.844865,-0.120251
437.773382,-0.120251
439.701900,-0.120251
441.630417,-0.120251
443.558934,-0.120251
445.487451,-0.120251
447.415968,-0.120251
449.344485,-0.120251
451.273002,-0.120251
453.201519,-0.120251
455.130036,-0.120251
457.058553,-0.120251
458.987071,-0.120251
460.915588,-0.120251
462.844105,-0.120251
464.772622,-0.120251
466.701139,-0.120251
468.629656,-0.120251
470.558173,-0.120251
472.486690,-0.120251
474.415207,-0.120251
476.343724,-0.120251
478.272242,-0.120251
480.200759,-0.120251
482.129276,-0.120251
484.057793,-0.120251
485.986310,-0.070462
487.914827,-0.008414
489.843344,-0.018730
491.771861,-0.045986
493.700378,-0.025929
495.628896,0.033093
497.557413,0.070706
499.485930,0.032957
501.414447,-0.079034
503.342964,-0.079034
505.271481,-0.079034
507.199998,-0.110827
509.128515,-0.048306
511.057032,-0.024635
512.985549,-0.005294
514.914067,0.026360
516.842584,0.046681
518.771101,0.040134
520.699618,0.017367
522.628135,-0.000267
524.556652,0.001509
526.485169,0.017433
528.413686,0.034567
530.342203,0.045643
532.270720,0.046494
534.199238,0.038062
536.127755,0.030681
538.056272,0.032584
539.984789,0.039345
541.913306,0.042714
543.841823,0.040767
545.770340,0.037959
547.698857,0.038725
549.627374,0.042347
551.555892,0.044859
553.484409,0.044443
555.412926,0.043222
557.341443,0.044933
559.269960,0.049113
561.198477,0.050311
563.126994,0.046358
565.055511,0.041028
566.984028,0.037645
568.912545,0.035969
570.841063,0.034789
572.769580,0.034044
574.698097,0.033938
576.626614,0.034736
578.555131,0.037132
580.483648,0.040874
582.412165,0.044660
584.340682,0.046997
586.269199,0.046685
588.197716,0.044244
590.126234,0.042023
592.054751,0.041546
593.983268,0.042036
595.911785,0.042250
597.840302,0.042226
599.768819,0.042139
601.697336,0.041388
603.625853,0.040062
605.554370,0.039251
607.482888,0.038762
609.411405,0.037138
611.339922,0.034851
613.268439,0.033764
615.196956,0.033268
617.125473,0.031603
619.053990,0.029335
620.982507,0.027916
622.911024,0.027565
624.839541,0.028215
626.768059,0.029855
628.696576,0.031502
630.625093,0.031878
632.553610,0.031216
634.482127,0.030923
636.410644,0.031383
638.339161,0.031592
640.267678,0.030799
642.196195,0.029375
644.124712,0.027972
646.053230,0.026979
647.981747,0.026421
649.910264,0.025716
651.838781,0.024520
653.767298,0.023351
655.695815,0.022595
657.624332,0.021661
659.552849,0.019640
661.481366,0.016362
663.409883,0.012641
665.338401,0.008834
667.266918,0.003295
669.195435,-0.005409
671.123952,-0.015079
673.052469,-0.024816
674.980986,-0.034935
676.909503,-0.044311
678.838020,-0.052694
680.766537,-0.063201
682.695055,-0.081155
684.623572,-0.113061
686.552089,-0.167550
688.480606,-0.253135
690.409123,-0.361527
692.337640,-0.433885
694.266157,-0.390768
696.194674,-0.269714
698.123191,-0.161383
700.051708,-0.094067
701.980226,-0.057279
703.908743,-0.037167
705.837260,-0.027676
707.765777,-0.027541
709.694294,-0.036303
711.622811,-0.053893
713.551328,-0.081705
715.479845,-0.123516
717.408362,-0.186719
719.336879,-0.282285
721.265397,-0.417555
723.193914,-0.575597
725.122431,-0.682863
727.050948,-0.646298
728.979465,-0.503857
730.907982,-0.354264
732.836499,-0.237595
734.765016,-0.155705
736.693533,-0.100582
738.622051,-0.064068
740.550568,-0.039860
742.479085,-0.023417
744.407602,-0.011874
746.336119,-0.003536
748.264636,0.002697
750.193153,0.007792
752.121670,0.012378
754.050187,0.016522
755.978704,0.020068
757.907222,0.023038
759.835739,0.025460
761.764256,0.027153
763.692773,0.028030
765.621290,0.028414
767.549807,0.028768
769.478324,0.029312
771.406841,0.030013
773.335358,0.030765
775.263875,0.031449
777.192393,0.031863
779.120910,0.031586
781.049427,0.030245
782.977944,0.028265
784.906461,0.027180
786.834978,0.028298
788.763495,0.031022
790.692012,0.033586
792.620529,0.035073
794.549047,0.035717
796.477564,0.036109
798.406081,0.036647
800.334598,0.037213
802.263115,0.037459
804.191632,0.037365
806.120149,0.037115
808.048666,0.036786
809.977183,0.036359
811.905700,0.035831
813.834218,0.035336
815.762735,0.035100
817.691252,0.035278
819.619769,0.035884
821.548286,0.036712
823.476803,0.037386
825.405320,0.037644
827.333837,0.037484
829.262354,0.037065
831.190871,0.036567
833.119389,0.036002
835.047906,0.035189
836.976423,0.034084
838.904940,0.033027
840.833457,0.032418
842.761974,0.032364
844.690491,0.032744
846.619008,0.033361
848.547525,0.033977
850.476043,0.034439
852.404560,0.034821
854.333077,0.035251
856.261594,0.035696
858.190111,0.036064
860.118628,0.036225
862.047145,0.036016
863.975662,0.035522
865.904179,0.035059
867.832696,0.034809
869.761214,0.034737
871.689731,0.034725
873.618248,0.034695
875.546765,0.034697
877.475282,0.034779
879.403799,0.034862
881.332316,0.034833
883.260833,0.034624
885.189350,0.034052
887.117867,0.032741
889.046385,0.030353
890.974902,0.026946
892.903419,0.023374
894.831936,0.021231
896.760453,0.021671
898.688970,0.024202
900.617487,0.027230
902.546004,0.029564
904.474521,0.031016
906.403039,0.031878
908.331556,0.032345
910.260073,0.032472
912.188590,0.032373
914.117107,0.032250
916.045624,0.032219
917.974141,0.032219
919.902658,0.032121
921.831175,0.031861
923.759692,0.031430
925.688210,0.030861
927.616727,0.030323
929.545244,0.029987
931.473761,0.029819
933.402278,0.029672
935.330795,0.029454
937.259312,0.029076
939.187829,0.028397
941.116346,0.027312
943.044863,0.025821
944.973381,0.024056
946.901898,0.022386
948.830415,0.021383
950.758932,0.021425
952.687449,0.022402
954.615966,0.023900
956.544483,0.025502
958.473000,0.026859
960.401517,0.027712
962.330034,0.028070
964.258552,0.028172
966.187069,0.028271
968.115586,0.028486
970.044103,0.028761
971.972620,0.028971
973.901137,0.029055
975.829654,0.028980
977.758171,0.028807
979.686688,0.028740
981.615206,0.028884
983.543723,0.029135
985.472240,0.029434
987.400757,0.029806
989.329274,0.030167
991.257791,0.030385
993.186308,0.030446
995.114825,0.030398
997.043342,0.030236
998.971859,0.029921
1000.900377,0.029561
1002.828894,0.029443
1004.757411,0.029664
1006.685928,0.029909
1008.614445,0.029869
1010.542962,0.029575
1012.471479,0.029106
1014.399996,0.028344
1016.328513,0.027131
1018.257030,0.025395
1020.185548,0.022994
1022.114065,0.019322
1024.042582,0.012584
1025.971099,0.000611
1027.899616,-0.014198
1029.828133,-0.022263
1031.756650,-0.017115
1033.685167,-0.005300
1035.613684,0.003087
1037.542202,0.005556
1039.470719,0.005100
1041.399236,0.004621
1043.327753,0.005407
1045.256270,0.007537
1047.184787,0.010444
1049.113304,0.013507
1051.041821,0.016327
1052.970338,0.018668
1054.898855,0.020422
1056.827373,0.021663
1058.755890,0.022531
1060.684407,0.023046
1062.612924,0.023084
1064.541441,0.022496
1066.469958,0.021170
1068.398475,0.019051
1070.326992,0.016118
1072.255509,0.012128
1074.184026,0.006401
1076.112544,-0.001704
1078.041061,-0.011244
1079.969578,-0.018299
1081.898095,-0.017979
1083.826612,-0.009626
1085.755129,0.002015
1087.683646,0.011811
1089.612163,0.018002
1091.540680,0.021409
1093.469198,0.023354
1095.397715,0.024540
1097.326232,0.024998
1099.254749,0.024677
1101.183266,0.023752
1103.111783,0.022488
1105.040300,0.021366
1106.968817,0.021199
1108.897334,0.022407
1110.825851,0.024383
1112.754369,0.026119
1114.682886,0.027153
1116.611403,0.027611
1118.539920,0.027778
1120.468437,0.027849
1122.396954,0.027886
1124.325471,0.027876
1126.253988,0.027793
1128.182505,0.027645
1130.111022,0.027551
1132.039540,0.027707
1133.968057,0.028182
1135.896574,0.028794
1137.825091,0.029282
1139.753608,0.029510
1141.682125,0.029524
1143.610642,0.029458
1145.539159,0.029305
1147.467676,0.028878
1149.396194,0.028073
1151.324711,0.027008
1153.253228,0.025958
1155.181745,0.025240
1157.110262,0.025007
1159.038779,0.025159
1160.967296,0.025537
1162.895813,0.026095
1164.824330,0.026813
1166.752847,0.027527
1168.681365,0.027923
1170.609882,0.027663
1172.538399,0.026444
1174.466916,0.024089
1176.395433,0.021270
1178.323950,0.019812
1180.252467,0.020987
1182.180984,0.023888
1184.109501,0.026668
1186.038018,0.028465
1187.966536,0.029400
1189.895053,0.029767
1191.823570,0.029790
1193.752087,0.029685
1195.680604,0.029644
1197.609121,0.029765
1199.537638,0.029940
1201.466155,0.029910
1203.394672,0.029494
1205.323189,0.028645
1207.251707,0.027499
1209.180224,0.026649
1211.108741,0.026843
1213.037258,0.028080
1214.965775,0.029587
1216.894292,0.030719
1218.822809,0.031357
1220.751326,0.031668
1222.679843,0.031836
1224.608361,0.031911
1226.536878,0.031851
1228.465395,0.031687
1230.393912,0.031490
1232.322429,0.031257
1234.250946,0.030971
1236.179463,0.030652
1238.107980,0.030304
1240.036497,0.029900
1241.965014,0.029418
1243.893532,0.028876
1245.822049,0.028333
1247.750566,0.027883
1249.679083,0.027610
1251.607600,0.027518
1253.536117,0.027535
1255.464634,0.027580
1257.393151,0.027627
1259.321668,0.027688
1261.250185,0.027778
1263.178703,0.027903
1265.107220,0.028031
1267.035737,0.028111
1268.964254,0.028149
1270.892771,0.028174
1272.821288,0.028178
1274.749805,0.028180
1276.678322,0.028244
1278.606839,0.028404
1280.535357,0.028613
1282.463874,0.028805
1284.392391,0.028971
1286.320908,0.029139
1288.249425,0.029320
1290.177942,0.029482
1292.106459,0.029576
1294.034976,0.029603
1295.963493,0.029642
1297.892010,0.029742
1299.820528,0.029840
1301.749045,0.029858
1303.677562,0.029792
1305.606079,0.029653
1307.534596,0.029391
1309.463113,0.028977
1311.391630,0.028528
1313.320147,0.028265
1315.248664,0.028291
1317.177181,0.028477
1319.105699,0.028654
1321.034216,0.028750
1322.962733,0.028759
1324.891250,0.028709
1326.819767,0.028607
1328.748284,0.028440
1330.676801,0.028237
1332.605318,0.028073
1334.533835,0.027994
1336.462353,0.027953
1338.390870,0.027841
1340.319387,0.027602
1342.247904,0.027317
1344.176421,0.027050
1346.104938,0.026782
1348.033455,0.026499
1349.961972,0.026220
1351.890489,0.025920
1353.819006,0.025495
1355.747524,0.024908
1357.676041,0.024269
1359.604558,0.023653
1361.533075,0.022942
1363.461592,0.022005
1365.390109,0.020904
1367.318626,0.019677
1369.247143,0.018233
1371.175660,0.016273
1373.104177,0.013015
1375.032695,0.008219
1376.961212,0.003811
1378.889729,0.002097
1380.818246,0.003592
1382.746763,0.006968
1384.675280,0.010511
1386.603797,0.013445
1388.532314,0.015530
1390.460831,0.016849
1392.389349,0.017836
1394.317866,0.018769
1396.246383,0.019525
1398.174900,0.019929
1400.103417,0.020040
1402.031934,0.019947
1403.960451,0.019696
1405.888968,0.019342
1407.817485,0.018949
1409.746002,0.018534
1411.674520,0.018112
1413.603037,0.017712
1415.531554,0.017294
1417.460071,0.016743
1419.388588,0.016047
1421.317105,0.015403
1423.245622,0.014829
1425.174139,0.014255
1427.102656,0.013704
1429.031173,0.013139
1430.959691,0.012486
1432.888208,0.011702
1434.816725,0.010443
1436.745242,0.008133
1438.673759,0.005086
1440.602276,0.001886
1442.530793,-0.001573
1444.459310,-0.005259
1446.387827,-0.009140
1448.316344,-0.013241
1450.244862,-0.017063
1452.173379,-0.020180
1454.101896,-0.022799
1456.030413,-0.025448
1457.958930,-0.027661
1459.887447,-0.028131
1461.815964,-0.027321
1463.744481,-0.025331
1465.672998,-0.022092
1467.601516,-0.018649
1469.530033,-0.015468
1471.458550,-0.011698
1473.387067,-0.007062
1475.315584,-0.003317
1477.244101,-0.001060
1479.172618,0.000335
1481.101135,0.000915
1483.029652,0.000293
1484.958169,-0.002160
1486.886687,-0.008673
1488.815204,-0.026068
1490.743721,-0.057059
1492.672238,-0.088075
1494.600755,-0.104646
1496.529272,-0.091721
1498.457789,-0.053315
1500.386306,-0.021803
1502.314823,-0.006170
1504.243340,0.001461
1506.171858,0.007233
1508.100375,0.012564
1510.028892,0.014854
1511.957409,0.015487
1513.885926,0.015836
1515.814443,0.016172
1517.742960,0.016324
1519.671477,0.015794
1521.599994,0.014613
1523.528512,0.014250
1525.457029,0.015488
1527.385546,0.017324
1529.314063,0.018681
1531.242580,0.019424
1533.171097,0.019789
1535.099614,0.019932
1537.028131,0.020028
1538.956648,0.020238
1540.885165,0.020679
1542.813683,0.021263
1544.742200,0.021752
1546.670717,0.022006
1548.599234,0.022038
1550.527751,0.022044
1552.456268,0.022257
1554.384785,0.022640
1556.313302,0.022874
1558.241819,0.022588
1560.170336,0.022063
1562.098854,0.021742
1564.027371,0.021347
1565.955888,0.020735
1567.884405,0.019912
1569.812922,0.019024
1571.741439,0.018446
1573.669956,0.018309
1575.598473,0.018460
1577.526990,0.018618
1579.455508,0.018559
1581.384025,0.018271
1583.312542,0.017761
1585.241059,0.017161
1587.169576,0.016662
1589.098093,0.016205
1591.026610,0.015440
1592.955127,0.013945
1594.883644,0.011325
1596.812161,0.007101
1598.740679,0.000402
1600.669196,-0.009366
1602.597713,-0.019417
1604.526230,-0.022869
1606.454747,-0.015992
1608.383264,-0.003287
1610.311781,0.007441
1612.240298,0.013151
1614.168815,0.015652
1616.097332,0.016823
1618.025850,0.017277
1619.954367,0.017292
1621.882884,0.017195
1623.811401,0.017302
1625.739918,0.017900
1627.668435,0.018976
1629.596952,0.020188
1631.525469,0.021196
1633.453986,0.022025
1635.382504,0.022906
1637.311021,0.023769
1639.239538,0.024348
1641.168055,0.024739
1643.096572,0.025069
1645.025089,0.025351
1646.953606,0.025478
1648.882123,0.025440
1650.810640,0.025389
1652.739157,0.025359
1654.667675,0.025371
1656.596192,0.025433
1658.524709,0.025549
1660.453226,0.025758
1662.381743,0.026068
1664.310260,0.026393
1666.238777,0.026665
1668.167294,0.026866
1670.095811,0.026907
1672.024328,0.026794
1673.952846,0.026658
1675.881363,0.026595
1677.809880,0.026686
1679.738397,0.026917
1681.666914,0.027253
1683.595431,0.027707
1685.523948,0.028038
1687.452465,0.028040
1689.380982,0.027900
1691.309500,0.027789
1693.238017,0.027743
1695.166534,0.027701
1697.095051,0.027617
1699.023568,0.027488
1700.952085,0.027304
1702.880602,0.027151
1704.809119,0.027125
1706.737636,0.027208
1708.666153,0.027261
1710.594671,0.027180
1712.523188,0.026981
1714.451705,0.026689
1716.380222,0.026261
1718.308739,0.025795
1720.237256,0.025448
1722.165773,0.025102
1724.094290,0.024651
1726.022807,0.024137
1727.951324,0.023658
1729.879842,0.023253
1731.808359,0.022862
1733.736876,0.022392
1735.665393,0.022050
1737.593910,0.022099
1739.522427,0.022567
1741.450944,0.023355
1743.379461,0.024226
1745.307978,0.025036
1747.236495,0.025801
1749.165013,0.026590
1751.093530,0.027323
1753.022047,0.027855
1754.950564,0.028222
1756.879081,0.028495
1758.807598,0.028703
1760.736115,0.028870
1762.664632,0.028968
1764.593149,0.028968
1766.521667,0.028916
1768.450184,0.028858
1770.378701,0.028741
1772.307218,0.028455
1774.235735,0.028110
1776.164252,0.027900
1778.092769,0.027834
1780.021286,0.027875
1781.949803,0.027936
1783.878320,0.027898
1785.806838,0.027726
1787.735355,0.027460
1789.663872,0.027092
1791.592389,0.026544
1793.520906,0.025839
1795.449423,0.025093
1797.377940,0.024290
1799.306457,0.023407
1801.234974,0.022634
1803.163491,0.022327
1805.092009,0.022601
1807.020526,0.023290
1808.949043,0.024182
1810.877560,0.025056
1812.806077,0.025728
1814.734594,0.026186
1816.663111,0.026520
1818.591628,0.026779
1820.520145,0.026992
1822.448663,0.027212
1824.377180,0.027485
1826.305697,0.027771
1828.234214,0.027989
1830.162731,0.028128
1832.091248,0.028260
1834.019765,0.028447
1835.948282,0.028654
1837.876799,0.028764
1839.805316,0.028716
1841.733834,0.028493
1843.662351,0.028002
1845.590868,0.027238
1847.519385,0.026373
1849.447902,0.025408
1851.376419,0.024280
1853.304936,0.023080
1855.233453,0.022045
1857.161970,0.021461
1859.090487,0.021496
1861.019005,0.022045
1862.947522,0.022813
1864.876039,0.023542
1866.804556,0.024099
1868.733073,0.024395
1870.661590,0.024458
1872.590107,0.024491
1874.518624,0.024680
1876.447141,0.025114
1878.375659,0.025757
1880.304176,0.026472
1882.232693,0.027118
1884.161210,0.027615
1886.089727,0.027993
1888.018244,0.028382
1889.946761,0.028852
1891.875278,0.029290
1893.803795,0.029566
1895.732312,0.029675
1897.660830,0.029716
1899.589347,0.029800
1901.517864,0.029968
1903.446381,0.030173
1905.374898,0.030336
