XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20312
649.910264,-0.000112
651.838781,-0.000093
653.767298,-0.000071
655.695815,-0.000064
657.624332,-0.000083
659.552849,-0.000118
661.481366,-0.000137
663.409883,-0.000118
665.338401,-0.000100
667.266918,-0.000143
669.195435,-0.000187
671.123952,-0.000154
673.052469,-0.000113
674.980986,-0.000112
676.909503,-0.000133
678.838020,-0.000153
680.766537,-0.000153
682.695055,-0.000113
684.623572,-0.000047
686.552089,-0.000019
688.480606,-0.000065
690.409123,-0.000136
692.337640,-0.000168
694.266157,-0.000166
696.194674,-0.000156
698.123191,-0.000136
700.051708,-0.000080
701.980226,0.000061
703.908743,0.000341
705.837260,0.000775
707.765777,0.001297
709.694294,0.001745
711.622811,0.001938
713.551328,0.001814
715.479845,0.001463
717.408362,0.001020
719.336879,0.000589
721.265397,0.000257
723.193914,0.000059
725.122431,-0.000040
727.050948,-0.000093
728.979465,-0.000134
730.907982,-0.000172
732.836499,-0.000213
734.765016,-0.000243
736.693533,-0.000233
738.622051,-0.000193
740.550568,-0.000178
742.479085,-0.000214
744.407602,-0.000265
746.336119,-0.000293
748.264636,-0.000280
750.193153,-0.000236
752.121670,-0.000207
754.050187,-0.000220
755.978704,-0.000247
757.907222,-0.000268
759.835739,-0.000290
761.764256,-0.000323
763.692773,-0.000344
765.621290,-0.000327
767.549807,-0.000291
769.478324,-0.000282
771.406841,-0.000299
773.335358,-0.000297
775.263875,-0.000267
777.192393,-0.000246
779.120910,-0.000259
781.049427,-0.000294
782.977944,-0.000331
784.906461,-0.000362
786.834978,-0.000381
788.763495,-0.000378
790.692012,-0.000368
792.620529,-0.000385
794.549047,-0.000418
796.477564,-0.000424
798.406081,-0.000391
800.334598,-0.000355
802.263115,-0.000359
804.191632,-0.000402
806.120149,-0.000446
808.048666,-0.000462
809.977183,-0.000458
811.905700,-0.000469
813.834218,-0.000507
815.762735,-0.000533
817.691252,-0.000506
819.619769,-0.000453
821.548286,-0.000434
823.476803,-0.000456
825.405320,-0.000464
827.333837,-0.000436
829.262354,-0.000400
831.190871,-0.000378
833.119389,-0.000375
835.047906,-0.000398
836.976423,-0.000438
838.904940,-0.000469
840.833457,-0.000465
842.761974,-0.000422
844.690491,-0.000357
846.619008,-0.000312
848.547525,-0.000328
850.476043,-0.000387
852.404560,-0.000423
854.333077,-0.000420
856.261594,-0.000415
858.190111,-0.000414
860.118628,-0.000405
862.047145,-0.000388
863.975662,-0.000372
865.904179,-0.000377
867.832696,-0.000429
869.761214,-0.000491
871.689731,-0.000502
873.618248,-0.000468
875.546765,-0.000440
877.475282,-0.000444
879.403799,-0.000454
881.332316,-0.000444
883.260833,-0.000433
885.189350,-0.000439
887.117867,-0.000445
889.046385,-0.000436
890.974902,-0.000413
892.903419,-0.000388
894.831936,-0.000380
896.760453,-0.000391
898.688970,-0.000406
900.617487,-0.000422
902.546004,-0.000433
904.474521,-0.000422
906.403039,-0.000405
908.331556,-0.000412
910.260073,-0.000436
912.188590,-0.000437
914.117107,-0.000406
916.045624,-0.000382
917.974141,-0.000393
919.902658,-0.000425
921.831175,-0.000448
923.759692,-0.000444
925.688210,-0.000420
927.616727,-0.000403
929.545244,-0.000396
931.473761,-0.000369
933.402278,-0.000321
935.330795,-0.000294
937.259312,-0.000319
939.187829,-0.000359
941.116346,-0.000364
943.044863,-0.000342
944.973381,-0.000336
946.901898,-0.000357
948.830415,-0.000387
950.758932,-0.000423
952.687449,-0.000447
954.615966,-0.000435
956.544483,-0.000401
958.473000,-0.000377
960.401517,-0.000371
962.330034,-0.000361
964.258552,-0.000330
966.187069,-0.000295
968.115586,-0.000283
970.044103,-0.000302
971.972620,-0.000336
973.901137,-0.000367
975.829654,-0.000387
977.758171,-0.000391
979.686688,-0.000378
981.615206,-0.000362
983.543723,-0.000370
985.472240,-0.000405
987.400757,-0.000439
989.329274,-0.000453
991.257791,-0.000462
993.186308,-0.000474
995.114825,-0.000480
997.043342,-0.000478
998.971859,-0.000485
1000.900377,-0.000512
1002.828894,-0.000548
1004.757411,-0.000584
1006.685928,-0.000609
1008.614445,-0.000607
1010.542962,-0.000576
1012.471479,-0.000546
1014.399996,-0.000543
1016.328513,-0.000549
1018.257030,-0.000535
1020.185548,-0.000482
1022.114065,-0.000364
1024.042582,-0.000181
1025.971099,-0.000037
1027.899616,-0.000064
1029.828133,-0.000245
1031.756650,-0.000435
1033.685167,-0.000546
1035.613684,-0.000595
1037.542202,-0.000622
1039.470719,-0.000646
1041.399236,-0.000664
1043.327753,-0.000671
1045.256270,-0.000681
1047.184787,-0.000695
1049.113304,-0.000697
1051.041821,-0.000688
1052.970338,-0.000687
1054.898855,-0.000704
1056.827373,-0.000737
1058.755890,-0.000749
1060.684407,-0.000698
1062.612924,-0.000591
1064.541441,-0.000455
1066.469958,-0.000286
1068.398475,-0.000109
1070.326992,-0.000041
1072.255509,-0.000147
1074.184026,-0.000350
1076.112544,-0.000535
1078.041061,-0.000607
1079.969578,-0.000546
1081.898095,-0.000456
1083.826612,-0.000450
1085.755129,-0.000516
1087.683646,-0.000573
1089.612163,-0.000555
1091.540680,-0.000436
1093.469198,-0.000245
1095.397715,-0.000075
1097.326232,-0.000001
1099.254749,-0.000018
1101.183266,-0.000047
1103.111783,0.000009
1105.040300,0.000213
1106.968817,0.000566
1108.897334,0.000983
1110.825851,0.001313
1112.754369,0.001470
1114.682886,0.001486
1116.611403,0.001392
1118.539920,0.001165
1120.468437,0.000806
1122.396954,0.000391
1124.325471,0.000025
1126.253988,-0.000233
1128.182505,-0.000389
1130.111022,-0.000494
1132.039540,-0.000563
1133.968057,-0.000541
1135.896574,-0.000438
1137.825091,-0.000360
1139.753608,-0.000364
1141.682125,-0.000404
1143.610642,-0.000445
1145.539159,-0.000500
1147.467676,-0.000575
1149.396194,-0.000641
1151.324711,-0.000658
1153.253228,-0.000623
1155.181745,-0.000576
1157.110262,-0.000560
1159.038779,-0.000571
1160.967296,-0.000587
1162.895813,-0.000595
1164.824330,-0.000578
1166.752847,-0.000521
1168.681365,-0.000444
1170.609882,-0.000355
1172.538399,-0.000243
1174.466916,-0.000148
1176.395433,-0.000156
1178.323950,-0.000282
1180.252467,-0.000452
1182.180984,-0.000588
1184.109501,-0.000674
1186.038018,-0.000721
1187.966536,-0.000730
1189.895053,-0.000687
1191.823570,-0.000621
1193.752087,-0.000632
1195.680604,-0.000743
1197.609121,-0.000791
1199.537638,-0.000710
1201.466155,-0.000669
1203.394672,-0.000728
1205.323189,-0.000744
1207.251707,-0.000701
1209.180224,-0.000724
1211.108741,-0.000824
1213.037258,-0.000886
1214.965775,-0.000847
1216.894292,-0.000751
1218.822809,-0.000673
1220.751326,-0.000649
1222.679843,-0.000675
1224.608361,-0.000717
1226.536878,-0.000756
1228.465395,-0.000792
1230.393912,-0.000795
1232.322429,-0.000734
1234.250946,-0.000638
1236.179463,-0.000562
1238.107980,-0.000517
1240.036497,-0.000455
1241.965014,-0.000329
1243.893532,-0.000179
1245.822049,-0.000090
1247.750566,-0.000068
1249.679083,-0.000030
1251.607600,0.000058
1253.536117,0.000142
1255.464634,0.000175
1257.393151,0.000199
1259.321668,0.000301
1261.250185,0.000546
1263.178703,0.000977
1265.107220,0.001635
1267.035737,0.002511
1268.964254,0.003521
1270.892771,0.004494
1272.821288,0.005193
1274.749805,0.005452
1276.678322,0.005255
1278.606839,0.004715
1280.535357,0.003982
1282.463874,0.003163
1284.392391,0.002339
1286.320908,0.001612
1288.249425,0.001053
1290.177942,0.000671
1292.106459,0.000424
1294.034976,0.000244
1295.963493,0.000078
1297.892010,-0.000078
1299.820528,-0.000208
1301.749045,-0.000292
1303.677562,-0.000329
1305.606079,-0.000334
1307.534596,-0.000288
1309.463113,-0.000127
1311.391630,0.000153
1313.320147,0.000416
1315.248664,0.000486
1317.177181,0.000325
1319.105699,0.000052
1321.034216,-0.000197
1322.962733,-0.000374
1324.891250,-0.000478
1326.819767,-0.000517
1328.748284,-0.000526
1330.676801,-0.000549
1332.605318,-0.000575
1334.533835,-0.000554
1336.462353,-0.000461
1338.390870,-0.000367
1340.319387,-0.000415
1342.247904,-0.000595
1344.176421,-0.000753
1346.104938,-0.000812
1348.033455,-0.000791
1349.961972,-0.000751
1351.890489,-0.000729
1353.819006,-0.000721
1355.747524,-0.000707
1357.676041,-0.000660
1359.604558,-0.000567
1361.533075,-0.000475
1363.461592,-0.000482
1365.390109,-0.000555
1367.318626,-0.000585
1369.247143,-0.000551
1371.175660,-0.000467
1373.104177,-0.000350
1375.032695,-0.000264
1376.961212,-0.000242
1378.889729,-0.000237
1380.818246,-0.000234
1382.746763,-0.000237
1384.675280,-0.000226
1386.603797,-0.000217
1388.532314,-0.000266
1390.460831,-0.000348
1392.389349,-0.000388
1394.317866,-0.000369
1396.246383,-0.000363
1398.174900,-0.000452
1400.103417,-0.000595
1402.031934,-0.000703
1403.960451,-0.000766
1405.888968,-0.000827
1407.817485,-0.000877
1409.746002,-0.000880
1411.674520,-0.000846
1413.603037,-0.000794
1415.531554,-0.000703
1417.460071,-0.000584
1419.388588,-0.000558
1421.317105,-0.000661
1423.245622,-0.000787
1425.174139,-0.000864
1427.102656,-0.000861
1429.031173,-0.000796
1430.959691,-0.000740
1432.888208,-0.000714
1434.816725,-0.000675
1436.745242,-0.000636
1438.673759,-0.000651
1440.602276,-0.000682
1442.530793,-0.000665
1444.459310,-0.000555
1446.387827,-0.000312
1448.316344,0.000028
1450.244862,0.000341
1452.173379,0.000570
1454.101896,0.000738
1456.030413,0.000805
1457.958930,0.000624
1459.887447,0.000397
1461.815964,0.000317
1463.744481,0.000307
1465.672998,0.000249
1467.601516,0.000159
1469.530033,0.000137
1471.458550,0.000165
1473.387067,0.000062
1475.315584,-0.000225
1477.244101,-0.000481
1479.172618,-0.000635
1481.101135,-0.000718
1483.029652,-0.000740
1484.958169,-0.000669
1486.886687,-0.000499
1488.815204,-0.000347
1490.743721,-0.000380
1492.672238,-0.000474
1494.600755,-0.000492
1496.529272,-0.000475
1498.457789,-0.000522
1500.386306,-0.000610
1502.314823,-0.000637
1504.243340,-0.000514
1506.171858,-0.000180
1508.100375,-0.000041
1510.028892,-0.000295
1511.957409,-0.000488
1513.885926,-0.000512
1515.814443,-0.000421
1517.742960,-0.000299
1519.671477,-0.000179
1521.599994,-0.000121
1523.528512,-0.000211
1525.457029,-0.000385
1527.385546,-0.000562
1529.314063,-0.000671
1531.242580,-0.000660
1533.171097,-0.000574
1535.099614,-0.000506
1537.028131,-0.000407
1538.956648,-0.000149
1540.885165,0.000109
1542.813683,-0.000082
1544.742200,-0.000444
1546.670717,-0.000699
1548.599234,-0.000822
1550.527751,-0.000834
1552.456268,-0.000751
1554.384785,-0.000579
1556.313302,-0.000357
1558.241819,-0.000306
1560.170336,-0.000603
1562.098854,-0.000835
1564.027371,-0.000925
1565.955888,-0.000948
1567.884405,-0.000955
1569.812922,-0.001001
1571.741439,-0.001050
1573.669956,-0.001012
1575.598473,-0.000942
1577.526990,-0.001003
1579.455508,-0.001128
1581.384025,-0.001181
1583.312542,-0.001172
1585.241059,-0.001162
1587.169576,-0.001186
1589.098093,-0.001227
1591.026610,-0.001258
1592.955127,-0.001270
1594.883644,-0.001261
1596.812161,-0.001209
1598.740679,-0.001088
1600.669196,-0.000927
1602.597713,-0.000814
1604.526230,-0.000805
1606.454747,-0.000868
1608.383264,-0.000969
1610.311781,-0.001077
1612.240298,-0.001121
1614.168815,-0.001064
1616.097332,-0.000975
1618.025850,-0.000959
1619.954367,-0.000960
1621.882884,-0.000921
1623.811401,-0.000924
1625.739918,-0.001024
1627.668435,-0.001149
1629.596952,-0.001224
1631.525469,-0.001209
1633.453986,-0.001092
1635.382504,-0.000954
1637.311021,-0.001011
1639.239538,-0.001181
1641.168055,-0.001259
1643.096572,-0.001176
1645.025089,-0.000924
1646.953606,-0.000664
1648.882123,-0.000603
1650.810640,-0.000607
1652.739157,-0.000674
1654.667675,-0.000935
1656.596192,-0.001152
1658.524709,-0.001230
1660.453226,-0.001209
1662.381743,-0.001164
1664.310260,-0.001154
1666.238777,-0.001119
1668.167294,-0.001019
1670.095811,-0.000926
1672.024328,-0.000912
1673.952846,-0.000939
1675.881363,-0.000967
1677.809880,-0.000952
1679.738397,-0.000869
1681.666914,-0.000725
1683.595431,-0.000600
1685.523948,-0.000654
1687.452465,-0.000812
1689.380982,-0.000951
1691.309500,-0.001016
1693.238017,-0.000935
1695.166534,-0.000668
1697.095051,-0.000361
1699.023568,-0.000284
1700.952085,-0.000352
1702.880602,-0.000346
1704.809119,-0.000277
1706.737636,-0.000194
1708.666153,-0.000040
1710.594671,0.000281
1712.523188,0.000863
1714.451705,0.001882
1716.380222,0.003504
1718.308739,0.005001
1720.237256,0.005683
1722.165773,0.005856
1724.094290,0.005629
1726.022807,0.004980
1727.951324,0.004040
1729.879842,0.003015
1731.808359,0.002015
1733.736876,0.001040
1735.665393,0.000310
1737.593910,-0.000060
1739.522427,-0.000243
1741.450944,-0.000352
1743.379461,-0.000405
1745.307978,-0.000420
1747.236495,-0.000446
1749.165013,-0.000588
1751.093530,-0.000860
1753.022047,-0.001083
1754.950564,-0.001172
1756.879081,-0.001182
1758.807598,-0.001184
1760.736115,-0.001202
1762.664632,-0.001238
1764.593149,-0.001275
1766.521667,-0.001265
1768.450184,-0.001179
1770.378701,-0.001054
1772.307218,-0.001031
1774.235735,-0.001161
1776.164252,-0.001287
1778.092769,-0.001340
1780.021286,-0.001362
1781.949803,-0.001399
1783.878320,-0.001448
1785.806838,-0.001478
1787.735355,-0.001445
1789.663872,-0.001325
1791.592389,-0.001204
1793.520906,-0.001215
1795.449423,-0.001301
1797.377940,-0.001356
1799.306457,-0.001387
1801.234974,-0.001458
1803.163491,-0.001571
1805.092009,-0.001648
1807.020526,-0.001636
1808.949043,-0.001572
1810.877560,-0.001558
1812.806077,-0.001631
1814.734594,-0.001711
1816.663111,-0.001743
1818.591628,-0.001736
1820.520145,-0.001705
1822.448663,-0.001654
1824.377180,-0.001590
1826.305697,-0.001532
1828.234214,-0.001503
1830.162731,-0.001542
1832.091248,-0.001638
1834.019765,-0.001721
1835.948282,-0.001765
1837.876799,-0.001773
1839.805316,-0.001737
1841.733834,-0.001644
1843.662351,-0.001546
1845.590868,-0.001558
1847.519385,-0.001674
1849.447902,-0.001795
1851.376419,-0.001867
1853.304936,-0.001894
1855.233453,-0.001903
1857.161970,-0.001897
1859.090487,-0.001874
1861.019005,-0.001847
1862.947522,-0.001818
1864.876039,-0.001761
1866.804556,-0.001688
1868.733073,-0.001686
1870.661590,-0.001780
1872.590107,-0.001871
1874.518624,-0.001913
1876.447141,-0.001926
1878.375659,-0.001926
1880.304176,-0.001920
1882.232693,-0.001933
1884.161210,-0.001970
1886.089727,-0.001977
1888.018244,-0.001917
1889.946761,-0.001855
1891.875278,-0.001860
1893.803795,-0.001900
1895.732312,-0.001934
1897.660830,-0.001957
1899.589347,-0.001967
1901.517864,-0.001973
1903.446381,-0.001976
1905.374898,-0.001955
1907.303415,-0.001924
1909.231932,-0.001932
1911.160449,-0.001989
1913.088966,-0.002030
1915.017483,-0.001995
1916.946001,-0.001908
1918.874518,-0.001839
1920.803035,-0.001815
1922.731552,-0.001837
1924.660069,-0.001912
1926.588586,-0.001994
1928.517103,-0.002032
1930.445620,-0.002037
1932.374137,-0.002049
1934.302655,-0.002081
1936.231172,-0.002102
1938.159689,-0.002073
1940.088206,-0.001996
1942.016723,-0.001932
1943.945240,-0.001933
1945.873757,-0.001987
1947.802274,-0.002055
1949.730791,-0.002116
1951.659308,-0.002149
1953.587826,-0.002142
1955.516343,-0.002114
1957.444860,-0.002102
1959.373377,-0.002113
1961.301894,-0.002124
1963.230411,-0.002103
1965.158928,-0.002047
1967.087445,-0.002017
1969.015962,-0.002071
1970.944479,-0.002165
1972.872997,-0.002224
1974.801514,-0.002241
1976.730031,-0.002245
1978.658548,-0.002248
1980.587065,-0.002247
1982.515582,-0.002245
1984.444099,-0.002241
1986.372616,-0.002214
1988.301133,-0.002154
1990.229650,-0.002106
1992.158168,-0.002131
1994.086685,-0.002204
1996.015202,-0.002250
1997.943719,-0.002251
1999.872236,-0.002253
2001.800753,-0.002284
2003.729270,-0.002322
2005.657787,-0.002334
2007.586304,-0.002325
2009.514822,-0.002316
2011.443339,-0.002309
2013.371856,-0.002294
2015.300373,-0.002269
2017.228890,-0.002261
2019.157407,-0.002294
2021.085924,-0.002351
2023.014441,-0.002401
2024.942958,-0.002421
2026.871475,-0.002409
2028.799993,-0.002384
2030.728510,-0.002365
2032.657027,-0.002360
2034.585544,-0.002375
2036.514061,-0.002397
2038.442578,-0.002396
2040.371095,-0.002368
2042.299612,-0.002356
2044.228129,-0.002383
2046.156646,-0.002415
