XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
399.203040,43.185116
401.131557,43.185116
403.060075,43.185116
404.988592,43.185116
406.917109,43.185116
408.845626,43.185116
410.774143,43.185116
412.702660,43.185116
414.631177,145.389765
416.559694,149.598662
418.488211,149.598662
420.416728,149.598662
422.345246,149.598662
424.273763,149.598662
426.202280,149.598662
428.130797,149.598662
430.059314,149.598662
431.987831,149.598662
433.916348,149.598662
435.844865,149.598662
437.773382,149.598662
439.701900,149.598662
441.630417,149.598662
443.558934,149.598662
445.487451,149.598662
447.415968,149.598662
449.344485,149.598662
451.273002,149.598662
453.201519,149.598662
455.130036,149.598662
457.058553,149.598662
458.987071,149.598662
460.915588,104.867130
462.844105,97.861930
464.772622,90.189589
466.701139,90.189589
468.629656,90.189589
470.558173,90.189589
472.486690,90.189589
474.415207,90.189589
476.343724,90.189589
478.272242,90.189589
480.200759,90.189589
482.129276,90.189589
484.057793,90.189589
485.986310,90.189589
487.914827,171.579900
489.843344,140.186245
491.771861,115.184461
493.700378,109.469403
495.628896,109.469403
497.557413,109.469403
499.485930,109.469403
501.414447,109.469403
503.342964,109.469403
505.271481,109.469403
507.199998,41.978053
509.128515,61.459098
511.057032,84.748981
512.985549,103.941519
514.914067,116.549353
516.842584,116.445213
518.771101,103.598024
520.699618,91.542652
522.628135,81.352359
524.556652,71.674914
526.485169,68.246949
528.413686,71.975407
530.342203,77.076116
532.270720,79.957337
534.199238,81.501871
536.127755,82.199560
538.056272,81.518556
539.984789,80.194222
541.913306,79.744900
543.841823,80.927422
545.770340,82.936796
547.698857,83.639015
549.627374,82.470007
551.555892,81.474149
553.484409,81.498183
555.412926,81.345996
557.341443,81.173824
559.269960,82.087494
561.198477,83.418189
563.126994,83.572411
565.055511,82.881151
566.984028,83.029394
568.912545,84.235333
570.841063,85.130861
572.769580,85.373820
574.698097,85.891353
576.626614,86.724283
578.555131,87.204549
580.483648,87.341507
582.412165,87.251600
584.340682,86.791726
586.269199,86.203981
588.197716,86.019321
590.126234,86.294595
592.054751,86.392074
593.983268,85.832814
595.911785,85.034584
597.840302,84.710093
599.768819,85.045058
601.697336,85.610479
603.625853,85.990825
605.554370,86.284694
607.482888,86.792095
609.411405,87.502410
611.339922,88.050187
613.268439,88.092228
615.196956,87.701808
617.125473,87.320953
619.053990,87.197232
620.982507,87.192823
622.911024,87.229648
624.839541,87.441239
626.768059,87.913448
628.696576,88.400521
630.625093,88.626041
632.553610,88.682361
634.482127,88.698048
636.410644,88.637612
638.339161,88.566581
640.267678,88.585672
642.196195,88.652337
644.124712,88.648174
646.053230,88.501305
647.981747,88.283349
649.910264,88.196398
651.838781,88.380865
653.767298,88.670865
655.695815,88.773708
657.624332,88.699267
659.552849,88.636761
661.481366,88.668880
663.409883,88.798266
665.338401,88.934644
667.266918,88.813260
669.195435,88.126091
671.123952,87.068407
673.052469,86.128772
674.980986,85.800758
676.909503,86.334141
678.838020,87.226234
680.766537,87.605222
682.695055,87.038440
684.623572,85.827297
686.552089,84.883323
688.480606,85.102688
690.409123,86.387512
692.337640,87.700807
694.266157,88.231777
696.194674,87.905448
698.123191,86.919435
700.051708,85.213208
701.980226,82.237167
703.908743,77.090657
705.837260,69.503652
707.765777,61.216181
709.694294,55.524556
711.622811,54.673435
713.551328,58.245421
715.479845,64.259581
717.408362,70.991061
719.336879,77.472633
