XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
399.203040,173.684139
401.131557,173.684139
403.060075,173.684139
404.988592,173.684139
406.917109,173.684139
408.845626,173.684139
410.774143,173.684139
412.702660,173.684139
414.631177,173.684139
416.559694,173.684139
418.488211,173.684139
420.416728,173.684139
422.345246,173.684139
424.273763,173.684139
426.202280,173.684139
428.130797,75.787646
430.059314,71.812791
431.987831,71.812791
433.916348,71.812791
435.844865,71.812791
437.773382,71.812791
439.701900,71.812791
441.630417,71.812791
443.558934,71.812791
445.487451,71.812791
447.415968,71.812791
449.344485,71.812791
451.273002,71.812791
453.201519,71.812791
455.130036,95.149556
457.058553,76.214328
458.987071,65.763614
460.915588,65.763614
462.844105,65.763614
464.772622,65.763614
466.701139,65.763614
468.629656,65.763614
470.558173,65.763614
472.486690,65.763614
474.415207,65.763614
476.343724,65.763614
478.272242,65.763614
480.200759,65.763614
482.129276,65.763614
484.057793,65.763614
485.986310,65.763614
487.914827,65.763614
489.843344,65.763614
491.771861,65.763614
493.700378,108.462335
495.628896,106.298514
497.557413,108.338455
499.485930,108.338455
501.414447,108.338455
503.342964,108.338455
505.271481,108.338455
507.199998,108.338455
509.128515,108.338455
511.057032,108.338455
512.985549,145.704940
514.914067,119.676134
516.842584,103.066993
518.771101,95.376506
520.699618,91.447606
522.628135,89.651639
524.556652,88.039959
526.485169,85.074673
528.413686,82.698955
530.342203,82.916096
532.270720,84.379765
534.199238,85.044595
536.127755,84.916513
538.056272,84.688726
539.984789,83.935525
541.913306,81.822524
543.841823,79.002128
545.770340,78.054299
547.698857,80.287988
549.627374,83.021808
551.555892,83.407498
553.484409,82.423968
555.412926,81.870612
557.341443,81.757487
559.269960,81.584100
561.198477,81.577837
563.126994,82.190654
565.055511,83.297829
566.984028,84.351386
568.912545,85.052128
570.841063,85.461856
572.769580,85.558326
574.698097,85.199050
576.626614,84.719481
578.555131,84.736378
580.483648,85.029185
582.412165,84.913651
584.340682,84.490064
586.269199,84.299087
588.197716,84.456710
590.126234,84.725556
592.054751,84.908517
593.983268,85.054572
595.911785,85.379135
597.840302,85.865117
599.768819,86.199588
601.697336,86.189088
603.625853,86.007333
605.554370,86.013350
607.482888,86.460176
609.411405,87.249182
611.339922,87.863633
613.268439,87.822179
615.196956,87.347095
617.125473,87.165487
619.053990,87.548075
620.982507,88.061704
622.911024,88.310917
624.839541,88.363276
626.768059,88.457537
628.696576,88.618094
630.625093,88.712052
632.553610,88.727125
634.482127,88.833297
636.410644,89.132585
638.339161,89.429469
640.267678,89.501358
642.196195,89.419022
644.124712,89.336288
646.053230,89.223987
647.981747,89.039431
649.910264,88.905633
651.838781,88.934945
653.767298,89.040315
655.695815,89.088776
657.624332,89.142922
659.552849,89.332994
661.481366,89.569265
663.409883,89.663988
665.338401,89.576105
667.266918,89.249971
669.195435,88.572320
671.123952,87.724527
673.052469,86.927593
674.980986,86.492265
676.909503,86.831245
678.838020,87.737026
680.766537,88.286327
682.695055,87.748580
684.623572,86.379529
686.552089,85.334347
688.480606,85.594152
690.409123,86.910832
692.337640,88.209032
694.266157,88.778173
696.194674,88.552481
698.123191,87.619382
700.051708,85.811195
701.980226,82.553615
703.908743,77.024355
705.837260,69.101191
707.765777,60.651082
709.694294,55.016931
711.622811,54.416741
713.551328,58.373737
715.479845,64.817875
717.408362,71.926162
719.336879,78.667489
