XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20312
649.910264,-0.000141
651.838781,-0.000127
653.767298,-0.000082
655.695815,-0.000058
657.624332,-0.000067
659.552849,-0.000080
661.481366,-0.000061
663.409883,-0.000000
665.338401,0.000058
667.266918,0.000033
669.195435,-0.000060
671.123952,-0.000097
673.052469,-0.000084
674.980986,-0.000070
676.909503,-0.000067
678.838020,-0.000078
680.766537,-0.000092
682.695055,-0.000087
684.623572,-0.000079
686.552089,-0.000116
688.480606,-0.000191
690.409123,-0.000229
692.337640,-0.000200
694.266157,-0.000163
696.194674,-0.000175
698.123191,-0.000205
700.051708,-0.000192
701.980226,-0.000106
703.908743,0.000061
705.837260,0.000306
707.765777,0.000610
709.694294,0.000887
711.622811,0.001022
713.551328,0.000971
715.479845,0.000781
717.408362,0.000528
719.336879,0.000290
721.265397,0.000125
723.193914,0.000037
725.122431,-0.000012
727.050948,-0.000055
728.979465,-0.000092
730.907982,-0.000104
732.836499,-0.000096
734.765016,-0.000087
736.693533,-0.000065
738.622051,-0.000024
740.550568,-0.000007
742.479085,-0.000039
744.407602,-0.000082
746.336119,-0.000101
748.264636,-0.000096
750.193153,-0.000075
752.121670,-0.000056
754.050187,-0.000057
755.978704,-0.000062
757.907222,-0.000053
759.835739,-0.000049
761.764256,-0.000072
763.692773,-0.000108
765.621290,-0.000117
767.549807,-0.000084
769.478324,-0.000045
771.406841,-0.000037
773.335358,-0.000037
775.263875,-0.000017
777.192393,-0.000008
779.120910,-0.000042
781.049427,-0.000098
782.977944,-0.000135
784.906461,-0.000145
786.834978,-0.000142
788.763495,-0.000139
790.692012,-0.000139
792.620529,-0.000159
794.549047,-0.000195
796.477564,-0.000213
798.406081,-0.000195
800.334598,-0.000177
802.263115,-0.000192
804.191632,-0.000224
806.120149,-0.000249
808.048666,-0.000269
809.977183,-0.000284
811.905700,-0.000303
813.834218,-0.000339
815.762735,-0.000372
817.691252,-0.000348
819.619769,-0.000270
821.548286,-0.000212
823.476803,-0.000223
825.405320,-0.000271
827.333837,-0.000302
829.262354,-0.000289
831.190871,-0.000251
833.119389,-0.000226
835.047906,-0.000231
836.976423,-0.000248
838.904940,-0.000251
840.833457,-0.000229
842.761974,-0.000194
844.690491,-0.000163
846.619008,-0.000148
848.547525,-0.000157
850.476043,-0.000181
852.404560,-0.000190
854.333077,-0.000182
856.261594,-0.000183
858.190111,-0.000184
860.118628,-0.000167
862.047145,-0.000144
863.975662,-0.000130
865.904179,-0.000134
867.832696,-0.000162
869.761214,-0.000189
871.689731,-0.000171
873.618248,-0.000122
875.546765,-0.000095
877.475282,-0.000094
879.403799,-0.000083
881.332316,-0.000063
883.260833,-0.000073
885.189350,-0.000116
887.117867,-0.000144
889.046385,-0.000131
890.974902,-0.000096
892.903419,-0.000088
894.831936,-0.000126
896.760453,-0.000177
898.688970,-0.000207
900.617487,-0.000224
902.546004,-0.000228
904.474521,-0.000207
906.403039,-0.000191
908.331556,-0.000211
910.260073,-0.000243
912.188590,-0.000240
914.117107,-0.000204
916.045624,-0.000187
917.974141,-0.000219
919.902658,-0.000258
921.831175,-0.000256
923.759692,-0.000226
925.688210,-0.000210
927.616727,-0.000217
929.545244,-0.000216
931.473761,-0.000186
933.402278,-0.000145
935.330795,-0.000140
937.259312,-0.000185
939.187829,-0.000240
941.116346,-0.000252
943.044863,-0.000223
944.973381,-0.000194
946.901898,-0.000182
948.830415,-0.000180
950.758932,-0.000191
952.687449,-0.000209
954.615966,-0.000215
956.544483,-0.000199
958.473000,-0.000182
960.401517,-0.000173
962.330034,-0.000151
964.258552,-0.000102
966.187069,-0.000047
968.115586,-0.000022
970.044103,-0.000035
971.972620,-0.000066
973.901137,-0.000084
975.829654,-0.000085
977.758171,-0.000082
979.686688,-0.000081
981.615206,-0.000088
983.543723,-0.000108
985.472240,-0.000124
987.400757,-0.000121
989.329274,-0.000120
991.257791,-0.000137
993.186308,-0.000153
995.114825,-0.000150
997.043342,-0.000137
998.971859,-0.000129
1000.900377,-0.000133
1002.828894,-0.000144
1004.757411,-0.000153
1006.685928,-0.000148
1008.614445,-0.000131
1010.542962,-0.000120
1012.471479,-0.000128
1014.399996,-0.000147
1016.328513,-0.000156
1018.257030,-0.000151
1020.185548,-0.000141
1022.114065,-0.000106
1024.042582,-0.000018
1025.971099,0.000072
1027.899616,0.000069
1029.828133,-0.000043
1031.756650,-0.000186
1033.685167,-0.000288
1035.613684,-0.000336
1037.542202,-0.000355
1039.470719,-0.000368
1041.399236,-0.000373
1043.327753,-0.000374
1045.256270,-0.000383
1047.184787,-0.000400
1049.113304,-0.000402
1051.041821,-0.000377
1052.970338,-0.000350
1054.898855,-0.000355
1056.827373,-0.000391
1058.755890,-0.000412
1060.684407,-0.000372
1062.612924,-0.000292
1064.541441,-0.000217
1066.469958,-0.000126
1068.398475,-0.000005
1070.326992,0.000057
1072.255509,-0.000022
1074.184026,-0.000171
1076.112544,-0.000271
1078.041061,-0.000294
1079.969578,-0.000281
1081.898095,-0.000271
1083.826612,-0.000254
1085.755129,-0.000213
1087.683646,-0.000168
1089.612163,-0.000130
1091.540680,-0.000085
1093.469198,-0.000034
1095.397715,0.000018
1097.326232,0.000072
1099.254749,0.000104
1101.183266,0.000098
1103.111783,0.000118
1105.040300,0.000245
1106.968817,0.000497
1108.897334,0.000791
1110.825851,0.000979
1112.754369,0.001017
1114.682886,0.001005
1116.611403,0.000994
1118.539920,0.000918
1120.468437,0.000710
1122.396954,0.000418
1124.325471,0.000172
1126.253988,0.000046
1128.182505,-0.000025
1130.111022,-0.000143
1132.039540,-0.000272
1133.968057,-0.000285
1135.896574,-0.000190
1137.825091,-0.000142
1139.753608,-0.000189
1141.682125,-0.000228
1143.610642,-0.000197
1145.539159,-0.000162
1147.467676,-0.000179
1149.396194,-0.000224
1151.324711,-0.000254
1153.253228,-0.000250
1155.181745,-0.000224
1157.110262,-0.000221
1159.038779,-0.000262
1160.967296,-0.000329
1162.895813,-0.000377
1164.824330,-0.000360
1166.752847,-0.000285
1168.681365,-0.000205
1170.609882,-0.000145
1172.538399,-0.000084
1174.466916,-0.000020
1176.395433,-0.000008
1178.323950,-0.000083
1180.252467,-0.000197
1182.180984,-0.000280
1184.109501,-0.000303
1186.038018,-0.000283
1187.966536,-0.000253
1189.895053,-0.000247
1191.823570,-0.000280
1193.752087,-0.000368
1195.680604,-0.000461
1197.609121,-0.000444
1199.537638,-0.000318
1201.466155,-0.000234
1203.394672,-0.000239
1205.323189,-0.000238
1207.251707,-0.000216
1209.180224,-0.000233
1211.108741,-0.000277
1213.037258,-0.000274
1214.965775,-0.000214
1216.894292,-0.000179
1218.822809,-0.000211
1220.751326,-0.000267
1222.679843,-0.000299
1224.608361,-0.000295
1226.536878,-0.000271
1228.465395,-0.000248
1230.393912,-0.000230
1232.322429,-0.000201
1234.250946,-0.000174
1236.179463,-0.000167
1238.107980,-0.000160
1240.036497,-0.000111
1241.965014,-0.000016
1243.893532,0.000077
1245.822049,0.000122
1247.750566,0.000117
1249.679083,0.000091
1251.607600,0.000085
1253.536117,0.000111
1255.464634,0.000146
1257.393151,0.000181
1259.321668,0.000252
1261.250185,0.000393
1263.178703,0.000630
1265.107220,0.000981
1267.035737,0.001454
1268.964254,0.002024
1270.892771,0.002598
1272.821288,0.003018
1274.749805,0.003174
1276.678322,0.003045
1278.606839,0.002689
1280.535357,0.002218
1282.463874,0.001715
1284.392391,0.001225
1286.320908,0.000807
1288.249425,0.000508
1290.177942,0.000329
1292.106459,0.000236
1294.034976,0.000167
1295.963493,0.000081
1297.892010,-0.000001
1299.820528,-0.000047
1301.749045,-0.000068
1303.677562,-0.000078
1305.606079,-0.000086
1307.534596,-0.000076
1309.463113,-0.000003
1311.391630,0.000140
1313.320147,0.000286
1315.248664,0.000333
1317.177181,0.000254
1319.105699,0.000120
1321.034216,0.000005
1322.962733,-0.000075
1324.891250,-0.000121
1326.819767,-0.000140
1328.748284,-0.000153
1330.676801,-0.000171
1332.605318,-0.000179
1334.533835,-0.000161
1336.462353,-0.000116
1338.390870,-0.000077
1340.319387,-0.000106
1342.247904,-0.000190
1344.176421,-0.000257
1346.104938,-0.000276
1348.033455,-0.000270
1349.961972,-0.000272
1351.890489,-0.000288
1353.819006,-0.000304
1355.747524,-0.000313
1357.676041,-0.000305
1359.604558,-0.000268
1361.533075,-0.000207
1363.461592,-0.000163
1365.390109,-0.000152
1367.318626,-0.000139
1369.247143,-0.000117
1371.175660,-0.000088
1373.104177,-0.000052
1375.032695,-0.000024
1376.961212,-0.000016
1378.889729,-0.000011
1380.818246,-0.000009
1382.746763,-0.000020
1384.675280,-0.000038
1386.603797,-0.000063
1388.532314,-0.000112
1390.460831,-0.000175
1392.389349,-0.000219
1394.317866,-0.000219
1396.246383,-0.000196
1398.174900,-0.000215
1400.103417,-0.000264
1402.031934,-0.000285
1403.960451,-0.000293
1405.888968,-0.000337
1407.817485,-0.000395
1409.746002,-0.000412
1411.674520,-0.000392
1413.603037,-0.000364
1415.531554,-0.000320
1417.460071,-0.000247
1419.388588,-0.000197
1421.317105,-0.000226
1423.245622,-0.000297
1425.174139,-0.000354
1427.102656,-0.000364
1429.031173,-0.000325
1430.959691,-0.000273
1432.888208,-0.000240
1434.816725,-0.000212
1436.745242,-0.000180
1438.673759,-0.000171
1440.602276,-0.000185
1442.530793,-0.000191
1444.459310,-0.000150
1446.387827,-0.000017
1448.316344,0.000188
1450.244862,0.000366
1452.173379,0.000476
1454.101896,0.000554
1456.030413,0.000625
1457.958930,0.000602
1459.887447,0.000505
1461.815964,0.000440
1463.744481,0.000392
1465.672998,0.000319
1467.601516,0.000249
1469.530033,0.000218
1471.458550,0.000204
1473.387067,0.000135
1475.315584,-0.000004
1477.244101,-0.000132
1479.172618,-0.000214
1481.101135,-0.000257
1483.029652,-0.000266
1484.958169,-0.000237
1486.886687,-0.000178
1488.815204,-0.000129
1490.743721,-0.000139
1492.672238,-0.000182
1494.600755,-0.000222
1496.529272,-0.000252
1498.457789,-0.000289
1500.386306,-0.000338
1502.314823,-0.000364
1504.243340,-0.000299
1506.171858,-0.000087
1508.100375,0.000006
1510.028892,-0.000166
1511.957409,-0.000300
1513.885926,-0.000329
1515.814443,-0.000304
1517.742960,-0.000288
1519.671477,-0.000267
1521.599994,-0.000215
1523.528512,-0.000195
1525.457029,-0.000232
1527.385546,-0.000297
1529.314063,-0.000352
1531.242580,-0.000362
1533.171097,-0.000328
1535.099614,-0.000294
1537.028131,-0.000249
1538.956648,-0.000131
1540.885165,0.000008
1542.813683,-0.000030
1544.742200,-0.000156
1546.670717,-0.000254
1548.599234,-0.000306
1550.527751,-0.000329
1552.456268,-0.000328
1554.384785,-0.000272
1556.313302,-0.000126
1558.241819,0.000003
1560.170336,-0.000126
1562.098854,-0.000284
1564.027371,-0.000345
1565.955888,-0.000354
1567.884405,-0.000365
1569.812922,-0.000408
1571.741439,-0.000442
1573.669956,-0.000418
1575.598473,-0.000367
1577.526990,-0.000380
1579.455508,-0.000440
1581.384025,-0.000479
1583.312542,-0.000493
1585.241059,-0.000504
1587.169576,-0.000523
1589.098093,-0.000555
1591.026610,-0.000599
1592.955127,-0.000632
1594.883644,-0.000623
1596.812161,-0.000576
1598.740679,-0.000510
1600.669196,-0.000442
1602.597713,-0.000407
1604.526230,-0.000426
1606.454747,-0.000472
1608.383264,-0.000516
1610.311781,-0.000545
1612.240298,-0.000548
1614.168815,-0.000527
1616.097332,-0.000509
1618.025850,-0.000517
1619.954367,-0.000529
1621.882884,-0.000543
1623.811401,-0.000576
1625.739918,-0.000614
1627.668435,-0.000642
1629.596952,-0.000668
1631.525469,-0.000688
1633.453986,-0.000668
1635.382504,-0.000583
1637.311021,-0.000538
1639.239538,-0.000597
1641.168055,-0.000655
1643.096572,-0.000638
1645.025089,-0.000520
1646.953606,-0.000370
1648.882123,-0.000325
1650.810640,-0.000333
1652.739157,-0.000341
1654.667675,-0.000426
1656.596192,-0.000524
1658.524709,-0.000572
1660.453226,-0.000578
1662.381743,-0.000573
1664.310260,-0.000570
1666.238777,-0.000537
1668.167294,-0.000458
1670.095811,-0.000376
1672.024328,-0.000350
1673.952846,-0.000367
1675.881363,-0.000407
1677.809880,-0.000436
1679.738397,-0.000427
1681.666914,-0.000379
1683.595431,-0.000307
1685.523948,-0.000285
1687.452465,-0.000325
1689.380982,-0.000371
1691.309500,-0.000379
1693.238017,-0.000319
1695.166534,-0.000186
1697.095051,-0.000058
1699.023568,-0.000043
1700.952085,-0.000075
1702.880602,-0.000068
1704.809119,-0.000037
1706.737636,0.000007
1708.666153,0.000091
1710.594671,0.000240
1712.523188,0.000492
1714.451705,0.000975
1716.380222,0.001869
1718.308739,0.002776
1720.237256,0.003209
1722.165773,0.003342
1724.094290,0.003262
1726.022807,0.002931
1727.951324,0.002387
1729.879842,0.001750
1731.808359,0.001126
1733.736876,0.000577
1735.665393,0.000225
1737.593910,0.000063
1739.522427,-0.000029
1741.450944,-0.000103
1743.379461,-0.000158
1745.307978,-0.000195
1747.236495,-0.000228
1749.165013,-0.000301
1751.093530,-0.000418
1753.022047,-0.000497
1754.950564,-0.000517
1756.879081,-0.000519
1758.807598,-0.000538
1760.736115,-0.000574
1762.664632,-0.000614
1764.593149,-0.000639
1766.521667,-0.000627
1768.450184,-0.000574
1770.378701,-0.000505
1772.307218,-0.000475
1774.235735,-0.000509
1776.164252,-0.000550
1778.092769,-0.000568
1780.021286,-0.000581
1781.949803,-0.000607
1783.878320,-0.000639
1785.806838,-0.000654
1787.735355,-0.000630
1789.663872,-0.000563
1791.592389,-0.000493
1793.520906,-0.000487
1795.449423,-0.000524
1797.377940,-0.000554
1799.306457,-0.000580
1801.234974,-0.000630
1803.163491,-0.000699
1805.092009,-0.000748
1807.020526,-0.000747
1808.949043,-0.000702
1810.877560,-0.000669
1812.806077,-0.000688
1814.734594,-0.000734
1816.663111,-0.000766
1818.591628,-0.000772
1820.520145,-0.000759
1822.448663,-0.000749
1824.377180,-0.000749
1826.305697,-0.000741
1828.234214,-0.000728
1830.162731,-0.000745
1832.091248,-0.000804
1834.019765,-0.000865
1835.948282,-0.000890
1837.876799,-0.000871
1839.805316,-0.000827
1841.733834,-0.000784
1843.662351,-0.000765
1845.590868,-0.000788
1847.519385,-0.000835
1849.447902,-0.000876
1851.376419,-0.000898
1853.304936,-0.000900
1855.233453,-0.000891
1857.161970,-0.000877
1859.090487,-0.000861
1861.019005,-0.000851
1862.947522,-0.000857
1864.876039,-0.000863
1866.804556,-0.000849
1868.733073,-0.000836
1870.661590,-0.000852
1872.590107,-0.000874
1874.518624,-0.000887
1876.447141,-0.000899
1878.375659,-0.000900
1880.304176,-0.000884
1882.232693,-0.000869
1884.161210,-0.000876
1886.089727,-0.000889
1888.018244,-0.000876
1889.946761,-0.000836
1891.875278,-0.000802
1893.803795,-0.000792
1895.732312,-0.000807
1897.660830,-0.000836
1899.589347,-0.000852
1901.517864,-0.000842
1903.446381,-0.000815
1905.374898,-0.000789
1907.303415,-0.000778
1909.231932,-0.000801
1911.160449,-0.000854
1913.088966,-0.000890
1915.017483,-0.000873
1916.946001,-0.000826
1918.874518,-0.000799
1920.803035,-0.000801
1922.731552,-0.000815
1924.660069,-0.000841
1926.588586,-0.000874
1928.517103,-0.000896
1930.445620,-0.000907
1932.374137,-0.000925
1934.302655,-0.000954
1936.231172,-0.000974
1938.159689,-0.000972
1940.088206,-0.000955
1942.016723,-0.000942
1943.945240,-0.000951
1945.873757,-0.000973
1947.802274,-0.001004
1949.730791,-0.001041
1951.659308,-0.001060
1953.587826,-0.001039
1955.516343,-0.000995
1957.444860,-0.000971
1959.373377,-0.000974
1961.301894,-0.000982
1963.230411,-0.000978
1965.158928,-0.000973
1967.087445,-0.000991
1969.015962,-0.001039
1970.944479,-0.001083
1972.872997,-0.001098
1974.801514,-0.001098
1976.730031,-0.001098
1978.658548,-0.001097
1980.587065,-0.001092
1982.515582,-0.001088
1984.444099,-0.001080
1986.372616,-0.001049
1988.301133,-0.000998
1990.229650,-0.000971
1992.158168,-0.000998
1994.086685,-0.001044
1996.015202,-0.001054
1997.943719,-0.001035
1999.872236,-0.001032
2001.800753,-0.001056
2003.729270,-0.001074
2005.657787,-0.001068
2007.586304,-0.001053
2009.514822,-0.001043
2011.443339,-0.001035
2013.371856,-0.001024
2015.300373,-0.001021
2017.228890,-0.001039
2019.157407,-0.001073
2021.085924,-0.001098
2023.014441,-0.001093
2024.942958,-0.001075
2026.871475,-0.001072
2028.799993,-0.001084
2030.728510,-0.001091
2032.657027,-0.001090
2034.585544,-0.001092
2036.514061,-0.001101
2038.442578,-0.001106
2040.371095,-0.001103
2042.299612,-0.001101
2044.228129,-0.001105
2046.156646,-0.001114
2048.085164,-0.001129
